          date  data
0   2021-02-01    47
1   2021-02-02    39
2   2021-02-03    25
3   2021-02-04    14
4   2021-02-05    15
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     4
8   2021-02-09    12
9   2021-02-10    39
10  2021-02-11    49
11  2021-02-12    32
12  2021-02-13     7
13  2021-02-14     0
14  2021-02-15     4
15  2021-02-16     2
16  2021-02-17    15
17  2021-02-18    39
18  2021-02-19    35
19  2021-02-20    60
20  2021-02-21    72
21  2021-02-22    39
22  2021-02-23    27
23  2021-02-24     9
24  2021-02-25     4
25  2021-02-26     9
26  2021-02-27    30
27  2021-02-28    17
28  2021-03-01    25
29  2021-03-02    22
30  2021-03-03    15
31  2021-03-04    12
32  2021-03-05    25
33  2021-03-06     7
34  2021-03-07    15
35  2021-03-08     9
36  2021-03-09    55
37  2021-03-10    60
38  2021-03-11    47
39  2021-03-12    35
40  2021-03-13    12
41  2021-03-14    12
42  2021-03-15    20
43  2021-03-16    20
44  2021-03-17    47
45  2021-03-18    79
46  2021-03-19    42
47  2021-03-20    74
48  2021-03-21    89
49  2021-03-22    55
50  2021-03-23    42
51  2021-03-24    35
52  2021-03-25    94
53  2021-03-26    35
54  2021-03-27    52
55  2021-03-28    44
56  2021-03-29   122
57  2021-03-30    67
58  2021-03-31    67
59  2021-04-01    32
60  2021-04-02    20
61  2021-04-03    15
62  2021-04-04    12
63  2021-04-05    20
64  2021-04-06    39
65  2021-04-07    12
66  2021-04-08     7
67  2021-04-09    74
68  2021-04-10    35
69  2021-04-11    52
70  2021-04-12    47
71  2021-04-13    30
72  2021-04-14    12
73  2021-04-15    17
74  2021-04-16     9
75  2021-04-17    22
76  2021-04-18    15
77  2021-04-19    25
78  2021-04-20    17
79  2021-04-21    12
80  2021-04-22    17
81  2021-04-23     9
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    25
85  2021-04-27    92
86  2021-04-28   109
87  2021-04-29   100
88  2021-04-30    92
89  2021-05-01    70
90  2021-05-02    55
91  2021-05-03    60
92  2021-05-04   170
93  2021-05-05     0
94  2021-05-06     4
95  2021-05-07     2
96  2021-05-08     4
97  2021-05-09    12
98  2021-05-10     4
99  2021-05-11     7
100 2021-05-12     0
101 2021-05-13     7
102 2021-05-14    35
103 2021-05-15   742
104 2021-05-16     0
105 2021-05-17     7
106 2021-05-18     7
107 2021-05-19     9
108 2021-05-20   247
109 2021-05-21   109
110 2021-05-22    57
111 2021-05-23   137
112 2021-05-24   132
113 2021-05-25    60
114 2021-05-26    65
115 2021-05-27    92
116 2021-05-28    52
117 2021-05-29    74
118 2021-05-30    60
119 2021-05-31    30
120 2021-06-01    22
121 2021-06-02    35
122 2021-06-03    12
123 2021-06-04    35
124 2021-06-05    77
125 2021-06-06    44
126 2021-06-07   377
127 2021-06-08  1317
128 2021-06-09   537
129 2021-06-10   210
130 2021-06-11  2187
131 2021-06-12   280
132 2021-06-13   167
133 2021-06-14   147
134 2021-06-15   117
135 2021-06-16   157
136 2021-06-17    85
137 2021-06-18    87
138 2021-06-19   135
139 2021-06-20   149
140 2021-06-21   105
141 2021-06-22    85
142 2021-06-23    72
143 2021-06-24   170
144 2021-06-25    60
145 2021-06-26    62
146 2021-06-27    32
147 2021-06-28    15
148 2021-06-29     7
149 2021-06-30    44
150 2021-07-01   112
151 2021-07-02   304
152 2021-07-03   400
153 2021-07-04   320
154 2021-07-05   237
155 2021-07-06    79
156 2021-07-07    77
157 2021-07-08    70
158 2021-07-09    97
159 2021-07-10    72
160 2021-07-11    65
161 2021-07-12    60
162 2021-07-13    47
163 2021-07-14    17
164 2021-07-15    39
