          date data
0   2021-02-01   20
1   2021-02-02   17
2   2021-02-03    4
3   2021-02-04    8
4   2021-02-05    7
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    9
9   2021-02-10   12
10  2021-02-11   22
11  2021-02-12   17
12  2021-02-13   12
13  2021-02-14    2
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    7
17  2021-02-18    0
18  2021-02-19   25
19  2021-02-20   27
20  2021-02-21   30
21  2021-02-22   12
22  2021-02-23   15
23  2021-02-24    2
24  2021-02-25    7
25  2021-02-26    0
26  2021-02-27   15
27  2021-02-28    9
28  2021-03-01    2
29  2021-03-02    7
30  2021-03-03    7
31  2021-03-04    2
32  2021-03-05    7
33  2021-03-06    2
34  2021-03-07    9
35  2021-03-08    7
36  2021-03-09   22
37  2021-03-10   32
38  2021-03-11   15
39  2021-03-12    7
40  2021-03-13    7
41  2021-03-14    7
42  2021-03-15    9
43  2021-03-16   17
44  2021-03-17   27
45  2021-03-18   22
46  2021-03-19   12
47  2021-03-20   25
48  2021-03-21   20
49  2021-03-22   17
50  2021-03-23   15
51  2021-03-24    7
52  2021-03-25   30
53  2021-03-26   20
54  2021-03-27    9
55  2021-03-28   15
56  2021-03-29   55
57  2021-03-30   25
58  2021-03-31    9
59  2021-04-01    9
60  2021-04-02    4
61  2021-04-03   15
62  2021-04-04    4
63  2021-04-05   20
64  2021-04-06   15
65  2021-04-07    2
66  2021-04-08    7
67  2021-04-09    7
68  2021-04-10    7
69  2021-04-11   22
70  2021-04-12    2
71  2021-04-13   12
72  2021-04-14    4
73  2021-04-15    4
74  2021-04-16    7
75  2021-04-17    4
76  2021-04-18    7
77  2021-04-19    7
78  2021-04-20    7
79  2021-04-21    2
80  2021-04-22    7
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   15
85  2021-04-27   55
86  2021-04-28   35
87  2021-04-29   37
88  2021-04-30   72
89  2021-05-01   25
90  2021-05-02   37
91  2021-05-03   27
92  2021-05-04   74
93  2021-05-05    0
94  2021-05-06    2
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14   17
103 2021-05-15  235
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    4
107 2021-05-19    4
108 2021-05-20   79
109 2021-05-21   22
110 2021-05-22   12
111 2021-05-23   92
112 2021-05-24   77
113 2021-05-25   35
114 2021-05-26   22
115 2021-05-27   17
116 2021-05-28   25
117 2021-05-29   42
118 2021-05-30   30
119 2021-05-31   17
120 2021-06-01    9
121 2021-06-02    4
122 2021-06-03    2
123 2021-06-04   12
124 2021-06-05   20
125 2021-06-06   15
126 2021-06-07  227
127 2021-06-08  722
128 2021-06-09  334
129 2021-06-10   97
130 2021-06-11  824
131 2021-06-12  130
132 2021-06-13   60
133 2021-06-14   77
134 2021-06-15   55
135 2021-06-16   72
136 2021-06-17   27
137 2021-06-18   65
138 2021-06-19   72
139 2021-06-20   57
140 2021-06-21   37
141 2021-06-22   27
142 2021-06-23   55
143 2021-06-24   65
144 2021-06-25   32
145 2021-06-26   42
146 2021-06-27    4
147 2021-06-28    2
148 2021-06-29    7
149 2021-06-30    7
150 2021-07-01   35
151 2021-07-02   79
152 2021-07-03  132
153 2021-07-04  165
154 2021-07-05   65
155 2021-07-06   35
156 2021-07-07   25
157 2021-07-08   15
158 2021-07-09   55
159 2021-07-10   12
160 2021-07-11   25
161 2021-07-12   20
162 2021-07-13   20
163 2021-07-14   12
164 2021-07-15   20
