   desc     tgi  word_rate  all_rate                 period
0  影视音乐  105.17      98.66     93.81  2021-06-01|2021-06-30
1  教育培训  113.59      97.41     85.76  2021-06-01|2021-06-30
2  书籍阅读  117.99      95.48     80.92  2021-06-01|2021-06-30
3  软件应用  110.45      95.23     86.21  2021-06-01|2021-06-30
4    资讯  110.59      94.95     85.86  2021-06-01|2021-06-30
5  医疗健康  109.46      93.67     85.57  2021-06-01|2021-06-30
6    游戏  123.03      88.41     71.86  2021-06-01|2021-06-30
7  餐饮美食  114.65      87.97     76.72  2021-06-01|2021-06-30
8  旅游出行  118.25      87.80     74.25  2021-06-01|2021-06-30
9  休闲爱好  118.58      87.59     73.86  2021-06-01|2021-06-30
