          word      pv  ratio             period   sim
0         觉醒时代   52346     92  20200719|20210425  2798
1          张晚意   25260     90  20200719|20210425  2235
2   觉醒年代免费观看全集   71670     84  20200719|20210425  2108
3           觉醒   26702    100  20200719|20210425  1899
4      觉醒年代观后感   34326    119  20200719|20210425  1873
5           张桐   40166    124  20200719|20210425  1501
6          王鹏凯    7004    118  20200719|20210425  1477
7          陈独秀  581922     92  20200719|20210425  1450
8      觉醒年代演员表   26112     81  20200719|20210425  1352
9          陈延年  182284     84  20200719|20210425  1255
10        朱刚日尧    9398     96  20200719|20210425  1181
11         马少骅   11854     86  20200719|20210425  1028
12         周显欣    9496     81  20200719|20210425   983
13         张永新    4678    107  20200719|20210425   949
14         张丰载   52282    101  20200719|20210425   936
15         李大钊  468924     66  20200719|20210425   846
16         夏德俊    3398     83  20200719|20210425   808
17         于和伟  172220    110  20200719|20210425   772
18          胡适  280300     99  20200719|20210425   727
19         辜鸿铭  161764    100  20200719|20210425   716
20         侯京健   10854    102  20200719|20210425   705
21         蔡元培  169696     94  20200719|20210425   669
22          曹磊   30514    118  20200719|20210425   665
23        走向共和   33020     88  20200719|20210425   652
24         陈乔年   65574     76  20200719|20210425   648
25    我们的法兰西岁月   13306     93  20200719|20210425   614
26         央视频  125810    104  20200719|20210425   584
27        狂人日记   78520    144  20200719|20210425   558
28          年代    4190     98  20200719|20210425   511
29         赵世炎   57470     85  20200719|20210425   452
