          date data
0   2021-02-01    2
1   2021-02-02   25
2   2021-02-03    4
3   2021-02-04    4
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    4
10  2021-02-11    9
11  2021-02-12    2
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    4
16  2021-02-17    2
17  2021-02-18    0
18  2021-02-19    7
19  2021-02-20    2
20  2021-02-21   15
21  2021-02-22   12
22  2021-02-23    0
23  2021-02-24    2
24  2021-02-25    4
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    7
28  2021-03-01    9
29  2021-03-02    2
30  2021-03-03    9
31  2021-03-04    7
32  2021-03-05    9
33  2021-03-06    7
34  2021-03-07    0
35  2021-03-08    2
36  2021-03-09   20
37  2021-03-10   17
38  2021-03-11   15
39  2021-03-12    2
40  2021-03-13    9
41  2021-03-14    9
42  2021-03-15    2
43  2021-03-16    0
44  2021-03-17    9
45  2021-03-18   12
46  2021-03-19    9
47  2021-03-20   17
48  2021-03-21    4
49  2021-03-22    7
50  2021-03-23    2
51  2021-03-24   12
52  2021-03-25   14
53  2021-03-26    4
54  2021-03-27    0
55  2021-03-28    4
56  2021-03-29   20
57  2021-03-30    2
58  2021-03-31   15
59  2021-04-01    2
60  2021-04-02    0
61  2021-04-03    4
62  2021-04-04    0
63  2021-04-05    2
64  2021-04-06    0
65  2021-04-07    2
66  2021-04-08    4
67  2021-04-09   12
68  2021-04-10    4
69  2021-04-11    7
70  2021-04-12    4
71  2021-04-13    4
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    2
76  2021-04-18    4
77  2021-04-19    4
78  2021-04-20    2
79  2021-04-21    7
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    4
85  2021-04-27    7
86  2021-04-28    9
87  2021-04-29   15
88  2021-04-30   12
89  2021-05-01   22
90  2021-05-02   12
91  2021-05-03   12
92  2021-05-04    9
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    7
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15   89
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   35
109 2021-05-21    9
110 2021-05-22    2
111 2021-05-23   25
112 2021-05-24   32
113 2021-05-25   32
114 2021-05-26    4
115 2021-05-27   15
116 2021-05-28   12
117 2021-05-29    9
118 2021-05-30    7
119 2021-05-31    0
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03    2
123 2021-06-04    4
124 2021-06-05    7
125 2021-06-06    9
126 2021-06-07   74
127 2021-06-08  192
128 2021-06-09  107
129 2021-06-10   27
130 2021-06-11  252
131 2021-06-12  100
132 2021-06-13   42
133 2021-06-14   44
134 2021-06-15   17
135 2021-06-16   30
136 2021-06-17   22
137 2021-06-18   32
138 2021-06-19   35
139 2021-06-20   42
140 2021-06-21    7
141 2021-06-22   20
142 2021-06-23   27
143 2021-06-24   22
144 2021-06-25   12
145 2021-06-26    9
146 2021-06-27    4
147 2021-06-28    4
148 2021-06-29    7
149 2021-06-30    2
150 2021-07-01   17
151 2021-07-02   47
152 2021-07-03   52
153 2021-07-04   55
154 2021-07-05   42
155 2021-07-06   32
156 2021-07-07   27
157 2021-07-08   12
158 2021-07-09    4
159 2021-07-10    7
160 2021-07-11   12
161 2021-07-12    2
162 2021-07-13   30
163 2021-07-14    4
164 2021-07-15    7
