          date   data
0   2021-02-01    142
1   2021-02-02    352
2   2021-02-03    304
3   2021-02-04    140
4   2021-02-05     49
5   2021-02-06     20
6   2021-02-07      0
7   2021-02-08      2
8   2021-02-09     74
9   2021-02-10    217
10  2021-02-11    257
11  2021-02-12    154
12  2021-02-13     70
13  2021-02-14     30
14  2021-02-15     15
15  2021-02-16      0
16  2021-02-17     47
17  2021-02-18    145
18  2021-02-19    219
19  2021-02-20    237
20  2021-02-21    272
21  2021-02-22    184
22  2021-02-23    124
23  2021-02-24     55
24  2021-02-25     42
25  2021-02-26     37
26  2021-02-27     74
27  2021-02-28     35
28  2021-03-01    117
29  2021-03-02    147
30  2021-03-03     57
31  2021-03-04    114
32  2021-03-05     74
33  2021-03-06     60
34  2021-03-07    140
35  2021-03-08     92
36  2021-03-09    182
37  2021-03-10    470
38  2021-03-11    337
39  2021-03-12    235
40  2021-03-13    170
41  2021-03-14    315
42  2021-03-15    192
43  2021-03-16    180
44  2021-03-17    267
45  2021-03-18    629
46  2021-03-19    409
47  2021-03-20    329
48  2021-03-21    377
49  2021-03-22    259
50  2021-03-23    294
51  2021-03-24    154
52  2021-03-25    510
53  2021-03-26    242
54  2021-03-27    269
55  2021-03-28    202
56  2021-03-29    290
57  2021-03-30    202
58  2021-03-31    285
59  2021-04-01    187
60  2021-04-02    149
61  2021-04-03    149
62  2021-04-04    140
63  2021-04-05    207
64  2021-04-06    212
65  2021-04-07     60
66  2021-04-08     89
67  2021-04-09    325
68  2021-04-10    212
69  2021-04-11    294
70  2021-04-12    272
71  2021-04-13    162
72  2021-04-14    117
73  2021-04-15     79
74  2021-04-16    124
75  2021-04-17    119
76  2021-04-18    114
77  2021-04-19    237
78  2021-04-20    135
79  2021-04-21     60
80  2021-04-22     65
81  2021-04-23     12
82  2021-04-24      4
83  2021-04-25      0
84  2021-04-26     79
85  2021-04-27    397
86  2021-04-28    484
87  2021-04-29    342
88  2021-04-30    575
89  2021-05-01    299
90  2021-05-02    207
91  2021-05-03    267
92  2021-05-04    622
93  2021-05-05     27
94  2021-05-06      9
95  2021-05-07     25
96  2021-05-08     22
97  2021-05-09     62
98  2021-05-10     47
99  2021-05-11     15
100 2021-05-12     25
101 2021-05-13     17
102 2021-05-14    167
103 2021-05-15   5185
104 2021-05-16     39
105 2021-05-17     47
106 2021-05-18     47
107 2021-05-19     60
108 2021-05-20   1587
109 2021-05-21    479
110 2021-05-22    467
111 2021-05-23   1122
112 2021-05-24   1130
113 2021-05-25    624
114 2021-05-26    400
115 2021-05-27    435
116 2021-05-28    317
117 2021-05-29    352
118 2021-05-30    262
119 2021-05-31    177
120 2021-06-01     67
121 2021-06-02    149
122 2021-06-03     79
123 2021-06-04    135
124 2021-06-05    400
125 2021-06-06    315
126 2021-06-07   1377
127 2021-06-08   4869
128 2021-06-09   2372
129 2021-06-10    949
130 2021-06-11  10567
131 2021-06-12   1467
132 2021-06-13    784
133 2021-06-14    707
134 2021-06-15    734
135 2021-06-16   1050
136 2021-06-17    540
137 2021-06-18    804
138 2021-06-19    790
139 2021-06-20    889
140 2021-06-21    692
141 2021-06-22    454
142 2021-06-23    640
143 2021-06-24   1099
144 2021-06-25    342
145 2021-06-26    317
146 2021-06-27    109
147 2021-06-28    135
148 2021-06-29    100
149 2021-06-30    245
150 2021-07-01    599
151 2021-07-02   1740
152 2021-07-03   1827
153 2021-07-04   1680
154 2021-07-05   1119
155 2021-07-06    994
156 2021-07-07    432
157 2021-07-08    390
158 2021-07-09    519
159 2021-07-10    334
160 2021-07-11    402
161 2021-07-12    427
162 2021-07-13    267
163 2021-07-14    142
164 2021-07-15    172
