          date data
0   2021-02-01    7
1   2021-02-02   25
2   2021-02-03   22
3   2021-02-04   24
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    2
7   2021-02-08    0
8   2021-02-09    9
9   2021-02-10    7
10  2021-02-11   27
11  2021-02-12   22
12  2021-02-13    7
13  2021-02-14    2
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18   22
18  2021-02-19    9
19  2021-02-20    9
20  2021-02-21    9
21  2021-02-22   32
22  2021-02-23   12
23  2021-02-24    7
24  2021-02-25    2
25  2021-02-26    2
26  2021-02-27   12
27  2021-02-28    4
28  2021-03-01    4
29  2021-03-02    7
30  2021-03-03    0
31  2021-03-04    9
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    7
36  2021-03-09   12
37  2021-03-10   27
38  2021-03-11   15
39  2021-03-12   25
40  2021-03-13    4
41  2021-03-14    7
42  2021-03-15   15
43  2021-03-16    7
44  2021-03-17    9
45  2021-03-18   44
46  2021-03-19   25
47  2021-03-20   20
48  2021-03-21   15
49  2021-03-22   20
50  2021-03-23   22
51  2021-03-24    2
52  2021-03-25   30
53  2021-03-26    4
54  2021-03-27   12
55  2021-03-28    9
56  2021-03-29   52
57  2021-03-30   52
58  2021-03-31   49
59  2021-04-01   22
60  2021-04-02   12
61  2021-04-03    4
62  2021-04-04   15
63  2021-04-05   20
64  2021-04-06   20
65  2021-04-07    0
66  2021-04-08    4
67  2021-04-09   27
68  2021-04-10   12
69  2021-04-11   12
70  2021-04-12   27
71  2021-04-13    7
72  2021-04-14   17
73  2021-04-15    4
74  2021-04-16    9
75  2021-04-17   12
76  2021-04-18    2
77  2021-04-19   17
78  2021-04-20   12
79  2021-04-21    4
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27    9
86  2021-04-28   35
87  2021-04-29   20
88  2021-04-30   39
89  2021-05-01   27
90  2021-05-02   30
91  2021-05-03   22
92  2021-05-04   35
93  2021-05-05    2
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    2
103 2021-05-15  247
104 2021-05-16    2
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    4
108 2021-05-20   57
109 2021-05-21   20
110 2021-05-22   12
111 2021-05-23   85
112 2021-05-24   89
113 2021-05-25   65
114 2021-05-26   27
115 2021-05-27   15
116 2021-05-28   20
117 2021-05-29   17
118 2021-05-30   12
119 2021-05-31   12
120 2021-06-01    7
121 2021-06-02    2
122 2021-06-03    9
123 2021-06-04    2
124 2021-06-05   27
125 2021-06-06    9
126 2021-06-07  107
127 2021-06-08  355
128 2021-06-09  187
129 2021-06-10   77
130 2021-06-11  817
131 2021-06-12  130
132 2021-06-13   77
133 2021-06-14   70
134 2021-06-15   47
135 2021-06-16   74
136 2021-06-17   39
137 2021-06-18   42
138 2021-06-19   49
139 2021-06-20   37
140 2021-06-21   35
141 2021-06-22   25
142 2021-06-23   37
143 2021-06-24   92
144 2021-06-25   27
145 2021-06-26   25
146 2021-06-27    9
147 2021-06-28    4
148 2021-06-29    7
149 2021-06-30   15
150 2021-07-01   37
151 2021-07-02  122
152 2021-07-03   87
153 2021-07-04  157
154 2021-07-05   52
155 2021-07-06   70
156 2021-07-07   42
157 2021-07-08   25
158 2021-07-09   52
159 2021-07-10   22
160 2021-07-11   27
161 2021-07-12   15
162 2021-07-13   20
163 2021-07-14    4
164 2021-07-15   15
