          date  data
0   2021-02-01    15
1   2021-02-02    27
2   2021-02-03    12
3   2021-02-04     8
4   2021-02-05     0
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    20
10  2021-02-11    42
11  2021-02-12    17
12  2021-02-13     4
13  2021-02-14     4
14  2021-02-15     2
15  2021-02-16     7
16  2021-02-17     2
17  2021-02-18    15
18  2021-02-19    17
19  2021-02-20     7
20  2021-02-21    32
21  2021-02-22    20
22  2021-02-23    15
23  2021-02-24     4
24  2021-02-25     7
25  2021-02-26     4
26  2021-02-27    12
27  2021-02-28     7
28  2021-03-01    12
29  2021-03-02    12
30  2021-03-03     4
31  2021-03-04     0
32  2021-03-05     9
33  2021-03-06     2
34  2021-03-07    12
35  2021-03-08    12
36  2021-03-09    20
37  2021-03-10    35
38  2021-03-11    32
39  2021-03-12     4
40  2021-03-13     7
41  2021-03-14    27
42  2021-03-15     9
43  2021-03-16    30
44  2021-03-17    15
45  2021-03-18    25
46  2021-03-19    35
47  2021-03-20    17
48  2021-03-21    17
49  2021-03-22    20
50  2021-03-23    22
51  2021-03-24    17
52  2021-03-25    14
53  2021-03-26    55
54  2021-03-27    30
55  2021-03-28    12
56  2021-03-29    57
57  2021-03-30    55
58  2021-03-31    49
59  2021-04-01    22
60  2021-04-02    22
61  2021-04-03     4
62  2021-04-04    15
63  2021-04-05    15
64  2021-04-06    27
65  2021-04-07     4
66  2021-04-08     2
67  2021-04-09    25
68  2021-04-10    22
69  2021-04-11    27
70  2021-04-12    20
71  2021-04-13    12
72  2021-04-14    12
73  2021-04-15    17
74  2021-04-16     9
75  2021-04-17    12
76  2021-04-18    15
77  2021-04-19    32
78  2021-04-20     9
79  2021-04-21     7
80  2021-04-22     4
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     7
85  2021-04-27    20
86  2021-04-28    49
87  2021-04-29    49
88  2021-04-30    62
89  2021-05-01    32
90  2021-05-02    25
91  2021-05-03    22
92  2021-05-04    62
93  2021-05-05     4
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     4
97  2021-05-09     7
98  2021-05-10     2
99  2021-05-11     2
100 2021-05-12     4
101 2021-05-13     4
102 2021-05-14    20
103 2021-05-15   372
104 2021-05-16     4
105 2021-05-17     9
106 2021-05-18     7
107 2021-05-19     4
108 2021-05-20    97
109 2021-05-21    30
110 2021-05-22    35
111 2021-05-23    97
112 2021-05-24   127
113 2021-05-25    65
114 2021-05-26    35
115 2021-05-27    42
116 2021-05-28    25
117 2021-05-29    35
118 2021-05-30    15
119 2021-05-31     2
120 2021-06-01    12
121 2021-06-02     7
122 2021-06-03     0
123 2021-06-04     9
124 2021-06-05    27
125 2021-06-06    25
126 2021-06-07   154
127 2021-06-08   602
128 2021-06-09   302
129 2021-06-10    82
130 2021-06-11  1034
131 2021-06-12   175
132 2021-06-13    82
133 2021-06-14    95
134 2021-06-15    89
135 2021-06-16   132
136 2021-06-17    77
137 2021-06-18   105
138 2021-06-19   147
139 2021-06-20    87
140 2021-06-21    65
141 2021-06-22    44
142 2021-06-23    52
143 2021-06-24   122
144 2021-06-25    60
145 2021-06-26    35
146 2021-06-27     0
147 2021-06-28    22
148 2021-06-29     9
149 2021-06-30    32
150 2021-07-01    65
151 2021-07-02   140
152 2021-07-03   212
153 2021-07-04   184
154 2021-07-05   105
155 2021-07-06   107
156 2021-07-07    35
157 2021-07-08    30
158 2021-07-09    35
159 2021-07-10    47
160 2021-07-11    30
161 2021-07-12    42
162 2021-07-13    27
163 2021-07-14     9
164 2021-07-15    12
