          date   data
0   2021-02-01    294
1   2021-02-02    587
2   2021-02-03    530
3   2021-02-04    374
4   2021-02-05     92
5   2021-02-06     37
6   2021-02-07      9
7   2021-02-08     12
8   2021-02-09    147
9   2021-02-10    382
10  2021-02-11    519
11  2021-02-12    340
12  2021-02-13    170
13  2021-02-14     49
14  2021-02-15     49
15  2021-02-16     20
16  2021-02-17     87
17  2021-02-18    275
18  2021-02-19    342
19  2021-02-20    387
20  2021-02-21    502
21  2021-02-22    385
22  2021-02-23    227
23  2021-02-24    122
24  2021-02-25     87
25  2021-02-26     65
26  2021-02-27    165
27  2021-02-28    112
28  2021-03-01    217
29  2021-03-02    262
30  2021-03-03    124
31  2021-03-04    199
32  2021-03-05    182
33  2021-03-06     82
34  2021-03-07    229
35  2021-03-08    172
36  2021-03-09    392
37  2021-03-10    837
38  2021-03-11    580
39  2021-03-12    400
40  2021-03-13    257
41  2021-03-14    505
42  2021-03-15    374
43  2021-03-16    294
44  2021-03-17    479
45  2021-03-18    952
46  2021-03-19    652
47  2021-03-20    607
48  2021-03-21    647
49  2021-03-22    454
50  2021-03-23    522
51  2021-03-24    297
52  2021-03-25    848
53  2021-03-26    462
54  2021-03-27    435
55  2021-03-28    377
56  2021-03-29    914
57  2021-03-30    559
58  2021-03-31    655
59  2021-04-01    385
60  2021-04-02    285
61  2021-04-03    239
62  2021-04-04    239
63  2021-04-05    372
64  2021-04-06    369
65  2021-04-07    105
66  2021-04-08    194
67  2021-04-09    577
68  2021-04-10    390
69  2021-04-11    514
70  2021-04-12    517
71  2021-04-13    317
72  2021-04-14    224
73  2021-04-15    162
74  2021-04-16    229
75  2021-04-17    232
76  2021-04-18    252
77  2021-04-19    395
78  2021-04-20    264
79  2021-04-21    130
80  2021-04-22    117
81  2021-04-23     25
82  2021-04-24      4
83  2021-04-25      0
84  2021-04-26    135
85  2021-04-27    572
86  2021-04-28    857
87  2021-04-29    677
88  2021-04-30   1012
89  2021-05-01    575
90  2021-05-02    462
91  2021-05-03    542
92  2021-05-04   1087
93  2021-05-05     47
94  2021-05-06     17
95  2021-05-07     32
96  2021-05-08     72
97  2021-05-09    105
98  2021-05-10     65
99  2021-05-11     22
100 2021-05-12     32
101 2021-05-13     39
102 2021-05-14    277
103 2021-05-15   9032
104 2021-05-16     82
105 2021-05-17     72
106 2021-05-18    102
107 2021-05-19    109
108 2021-05-20   2467
109 2021-05-21    772
110 2021-05-22    722
111 2021-05-23   2059
112 2021-05-24   2107
113 2021-05-25   1205
114 2021-05-26    730
115 2021-05-27    807
116 2021-05-28    634
117 2021-05-29    687
118 2021-05-30    427
119 2021-05-31    299
120 2021-06-01    117
121 2021-06-02    215
122 2021-06-03    140
123 2021-06-04    229
124 2021-06-05    720
125 2021-06-06    549
126 2021-06-07   2872
127 2021-06-08   9822
128 2021-06-09   4885
129 2021-06-10   1925
130 2021-06-11  19389
131 2021-06-12   3057
132 2021-06-13   1652
133 2021-06-14   1544
134 2021-06-15   1394
135 2021-06-16   2089
136 2021-06-17   1082
137 2021-06-18   1429
138 2021-06-19   1555
139 2021-06-20   1659
140 2021-06-21   1229
141 2021-06-22    849
142 2021-06-23   1109
143 2021-06-24   2082
144 2021-06-25    774
145 2021-06-26    554
146 2021-06-27    182
147 2021-06-28    282
148 2021-06-29    222
149 2021-06-30    514
150 2021-07-01   1207
151 2021-07-02   3132
152 2021-07-03   3245
153 2021-07-04   3167
154 2021-07-05   2094
155 2021-07-06   1902
156 2021-07-07    875
157 2021-07-08    745
158 2021-07-09    929
159 2021-07-10    645
160 2021-07-11    667
161 2021-07-12    717
162 2021-07-13    554
163 2021-07-14    299
164 2021-07-15    355
