          date data
0   2021-02-01   12
1   2021-02-02    4
2   2021-02-03    4
3   2021-02-04    0
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10    0
10  2021-02-11    4
11  2021-02-12    9
12  2021-02-13    2
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    4
18  2021-02-19    9
19  2021-02-20   17
20  2021-02-21    2
21  2021-02-22    0
22  2021-02-23    4
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    2
28  2021-03-01    7
29  2021-03-02    4
30  2021-03-03    0
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    0
36  2021-03-09    2
37  2021-03-10   17
38  2021-03-11    2
39  2021-03-12    4
40  2021-03-13    0
41  2021-03-14    7
42  2021-03-15    4
43  2021-03-16    2
44  2021-03-17    7
45  2021-03-18    9
46  2021-03-19    7
47  2021-03-20    9
48  2021-03-21   15
49  2021-03-22    7
50  2021-03-23   12
51  2021-03-24    2
52  2021-03-25    4
53  2021-03-26   12
54  2021-03-27    4
55  2021-03-28   15
56  2021-03-29   44
57  2021-03-30   12
58  2021-03-31    9
59  2021-04-01   15
60  2021-04-02    4
61  2021-04-03    2
62  2021-04-04    7
63  2021-04-05    9
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09    7
68  2021-04-10    4
69  2021-04-11    2
70  2021-04-12   12
71  2021-04-13    9
72  2021-04-14    0
73  2021-04-15    2
74  2021-04-16    0
75  2021-04-17    9
76  2021-04-18    9
77  2021-04-19   12
78  2021-04-20    4
79  2021-04-21    2
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27   20
86  2021-04-28    2
87  2021-04-29    9
88  2021-04-30   27
89  2021-05-01    9
90  2021-05-02    0
91  2021-05-03    4
92  2021-05-04   44
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  109
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   47
109 2021-05-21    9
110 2021-05-22   17
111 2021-05-23   35
112 2021-05-24   39
113 2021-05-25   22
114 2021-05-26    2
115 2021-05-27   15
116 2021-05-28   12
117 2021-05-29    7
118 2021-05-30   20
119 2021-05-31    2
120 2021-06-01    7
121 2021-06-02    4
122 2021-06-03   15
123 2021-06-04   12
124 2021-06-05   27
125 2021-06-06   12
126 2021-06-07   67
127 2021-06-08  180
128 2021-06-09  109
129 2021-06-10   27
130 2021-06-11  325
131 2021-06-12   42
132 2021-06-13   30
133 2021-06-14   35
134 2021-06-15   25
135 2021-06-16   25
136 2021-06-17   12
137 2021-06-18   25
138 2021-06-19   20
139 2021-06-20   22
140 2021-06-21   25
141 2021-06-22    7
142 2021-06-23   20
143 2021-06-24   42
144 2021-06-25   22
145 2021-06-26   15
146 2021-06-27    2
147 2021-06-28    0
148 2021-06-29    4
149 2021-06-30   12
150 2021-07-01    7
151 2021-07-02   35
152 2021-07-03   55
153 2021-07-04   55
154 2021-07-05   37
155 2021-07-06    7
156 2021-07-07   27
157 2021-07-08    4
158 2021-07-09   17
159 2021-07-10    2
160 2021-07-11   12
161 2021-07-12    2
162 2021-07-13   12
163 2021-07-14   17
164 2021-07-15    2
