          date  data
0   2021-02-01    55
1   2021-02-02   149
2   2021-02-03    89
3   2021-02-04    60
4   2021-02-05    27
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09    25
9   2021-02-10   112
10  2021-02-11   112
11  2021-02-12    72
12  2021-02-13    25
13  2021-02-14    15
14  2021-02-15     7
15  2021-02-16     0
16  2021-02-17    20
17  2021-02-18    67
18  2021-02-19   100
19  2021-02-20   114
20  2021-02-21   130
21  2021-02-22    67
22  2021-02-23    60
23  2021-02-24     2
24  2021-02-25    25
25  2021-02-26     7
26  2021-02-27    27
27  2021-02-28     2
28  2021-03-01    35
29  2021-03-02    20
30  2021-03-03    35
31  2021-03-04    39
32  2021-03-05    12
33  2021-03-06    35
34  2021-03-07    47
35  2021-03-08    82
36  2021-03-09    89
37  2021-03-10   124
38  2021-03-11   105
39  2021-03-12   117
40  2021-03-13    72
41  2021-03-14    89
42  2021-03-15    67
43  2021-03-16    49
44  2021-03-17   105
45  2021-03-18   207
46  2021-03-19   192
47  2021-03-20   152
48  2021-03-21   170
49  2021-03-22   114
50  2021-03-23   154
51  2021-03-24    74
52  2021-03-25   200
53  2021-03-26    92
54  2021-03-27    72
55  2021-03-28   112
56  2021-03-29   100
57  2021-03-30   100
58  2021-03-31   117
59  2021-04-01    97
60  2021-04-02    65
61  2021-04-03    47
62  2021-04-04    39
63  2021-04-05    89
64  2021-04-06    62
65  2021-04-07    37
66  2021-04-08    44
67  2021-04-09   159
68  2021-04-10    97
69  2021-04-11    97
70  2021-04-12   114
71  2021-04-13    95
72  2021-04-14    49
73  2021-04-15    49
74  2021-04-16    65
75  2021-04-17    60
76  2021-04-18    49
77  2021-04-19    89
78  2021-04-20    79
79  2021-04-21    55
80  2021-04-22    12
81  2021-04-23    17
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26   147
85  2021-04-27   222
86  2021-04-28   170
87  2021-04-29   152
88  2021-04-30   322
89  2021-05-01   167
90  2021-05-02   102
91  2021-05-03   159
92  2021-05-04   332
93  2021-05-05     7
94  2021-05-06     4
95  2021-05-07     0
96  2021-05-08    27
97  2021-05-09    32
98  2021-05-10     9
99  2021-05-11     7
100 2021-05-12     7
101 2021-05-13     9
102 2021-05-14    95
103 2021-05-15  1855
104 2021-05-16    12
105 2021-05-17     9
106 2021-05-18    22
107 2021-05-19    35
108 2021-05-20   570
109 2021-05-21   215
110 2021-05-22   322
111 2021-05-23   365
112 2021-05-24   390
113 2021-05-25   145
114 2021-05-26   122
115 2021-05-27   165
116 2021-05-28   180
117 2021-05-29   184
118 2021-05-30   112
119 2021-05-31    95
120 2021-06-01    49
121 2021-06-02    44
122 2021-06-03    27
123 2021-06-04    49
124 2021-06-05   130
125 2021-06-06    82
126 2021-06-07   702
127 2021-06-08  2510
128 2021-06-09   942
129 2021-06-10   497
130 2021-06-11  4689
131 2021-06-12   697
132 2021-06-13   424
133 2021-06-14   280
134 2021-06-15   245
135 2021-06-16   317
136 2021-06-17   189
137 2021-06-18   317
138 2021-06-19   304
139 2021-06-20   350
140 2021-06-21   207
141 2021-06-22   147
142 2021-06-23   207
143 2021-06-24   337
144 2021-06-25   197
145 2021-06-26   117
146 2021-06-27    65
147 2021-06-28    39
148 2021-06-29    49
149 2021-06-30    97
150 2021-07-01   242
151 2021-07-02   674
152 2021-07-03   722
153 2021-07-04   739
154 2021-07-05   362
155 2021-07-06   227
156 2021-07-07   152
157 2021-07-08   145
158 2021-07-09   172
159 2021-07-10   114
160 2021-07-11    89
161 2021-07-12   159
162 2021-07-13   102
163 2021-07-14    52
164 2021-07-15    70
