          date data
0   2021-02-01   27
1   2021-02-02   25
2   2021-02-03   12
3   2021-02-04   18
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    7
9   2021-02-10   12
10  2021-02-11   20
11  2021-02-12    9
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    4
16  2021-02-17    4
17  2021-02-18   17
18  2021-02-19   27
19  2021-02-20   17
20  2021-02-21   22
21  2021-02-22    9
22  2021-02-23    4
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    2
28  2021-03-01    7
29  2021-03-02    2
30  2021-03-03    2
31  2021-03-04    0
32  2021-03-05    4
33  2021-03-06    9
34  2021-03-07    4
35  2021-03-08    2
36  2021-03-09    0
37  2021-03-10   37
38  2021-03-11    7
39  2021-03-12   15
40  2021-03-13   12
41  2021-03-14    9
42  2021-03-15    9
43  2021-03-16    2
44  2021-03-17   15
45  2021-03-18   25
46  2021-03-19   20
47  2021-03-20   30
48  2021-03-21   25
49  2021-03-22   20
50  2021-03-23   17
51  2021-03-24    9
52  2021-03-25   44
53  2021-03-26   22
54  2021-03-27   12
55  2021-03-28   15
56  2021-03-29   44
57  2021-03-30   20
58  2021-03-31   30
59  2021-04-01    7
60  2021-04-02   17
61  2021-04-03    0
62  2021-04-04   12
63  2021-04-05    9
64  2021-04-06   12
65  2021-04-07    2
66  2021-04-08    4
67  2021-04-09    9
68  2021-04-10    7
69  2021-04-11    9
70  2021-04-12   15
71  2021-04-13   25
72  2021-04-14    9
73  2021-04-15    2
74  2021-04-16    9
75  2021-04-17   17
76  2021-04-18    9
77  2021-04-19   15
78  2021-04-20    2
79  2021-04-21    4
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    2
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27   55
86  2021-04-28   32
87  2021-04-29   22
88  2021-04-30   32
89  2021-05-01   32
90  2021-05-02   17
91  2021-05-03   37
92  2021-05-04   52
93  2021-05-05    0
94  2021-05-06    4
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    7
103 2021-05-15  235
104 2021-05-16    4
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   77
109 2021-05-21   12
110 2021-05-22   22
111 2021-05-23   42
112 2021-05-24   25
113 2021-05-25   22
114 2021-05-26   12
115 2021-05-27   27
116 2021-05-28   27
117 2021-05-29   32
118 2021-05-30   30
119 2021-05-31    9
120 2021-06-01   12
121 2021-06-02    9
122 2021-06-03    7
123 2021-06-04    2
124 2021-06-05   25
125 2021-06-06    9
126 2021-06-07  107
127 2021-06-08  449
128 2021-06-09  245
129 2021-06-10   67
130 2021-06-11  767
131 2021-06-12   67
132 2021-06-13   70
133 2021-06-14   57
134 2021-06-15   39
135 2021-06-16   55
136 2021-06-17   32
137 2021-06-18   25
138 2021-06-19   65
139 2021-06-20   44
140 2021-06-21   42
141 2021-06-22   25
142 2021-06-23   42
143 2021-06-24   55
144 2021-06-25   15
145 2021-06-26   20
146 2021-06-27    4
147 2021-06-28   15
148 2021-06-29    4
149 2021-06-30   25
150 2021-07-01   22
151 2021-07-02  114
152 2021-07-03  109
153 2021-07-04  137
154 2021-07-05   70
155 2021-07-06   35
156 2021-07-07   47
157 2021-07-08   15
158 2021-07-09   17
159 2021-07-10   30
160 2021-07-11   22
161 2021-07-12   20
162 2021-07-13   25
163 2021-07-14    7
164 2021-07-15    4
