          date data
0   2021-02-01    9
1   2021-02-02   12
2   2021-02-03    7
3   2021-02-04    4
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    2
10  2021-02-11    7
11  2021-02-12   12
12  2021-02-13    4
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    9
17  2021-02-18    2
18  2021-02-19    4
19  2021-02-20    9
20  2021-02-21    9
21  2021-02-22    4
22  2021-02-23    4
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    2
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02   15
30  2021-03-03    0
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    2
36  2021-03-09   20
37  2021-03-10   15
38  2021-03-11    2
39  2021-03-12   12
40  2021-03-13    4
41  2021-03-14    9
42  2021-03-15    4
43  2021-03-16    2
44  2021-03-17   12
45  2021-03-18   12
46  2021-03-19   12
47  2021-03-20   17
48  2021-03-21   25
49  2021-03-22   39
50  2021-03-23    4
51  2021-03-24   20
52  2021-03-25   24
53  2021-03-26    7
54  2021-03-27    4
55  2021-03-28    9
56  2021-03-29   39
57  2021-03-30   22
58  2021-03-31   22
59  2021-04-01    0
60  2021-04-02    0
61  2021-04-03    4
62  2021-04-04    0
63  2021-04-05    0
64  2021-04-06    7
65  2021-04-07    2
66  2021-04-08    2
67  2021-04-09    2
68  2021-04-10    0
69  2021-04-11    2
70  2021-04-12   15
71  2021-04-13   15
72  2021-04-14    2
73  2021-04-15    0
74  2021-04-16    9
75  2021-04-17    4
76  2021-04-18    7
77  2021-04-19    2
78  2021-04-20    4
79  2021-04-21    7
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27    7
86  2021-04-28   22
87  2021-04-29   15
88  2021-04-30   35
89  2021-05-01   12
90  2021-05-02    2
91  2021-05-03    7
92  2021-05-04   22
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  122
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    7
107 2021-05-19    2
108 2021-05-20   27
109 2021-05-21    4
110 2021-05-22   15
111 2021-05-23   20
112 2021-05-24   20
113 2021-05-25   15
114 2021-05-26   12
115 2021-05-27   15
116 2021-05-28    2
117 2021-05-29   25
118 2021-05-30   12
119 2021-05-31    7
120 2021-06-01    7
121 2021-06-02    7
122 2021-06-03    2
123 2021-06-04    0
124 2021-06-05    7
125 2021-06-06    4
126 2021-06-07   62
127 2021-06-08  262
128 2021-06-09  117
129 2021-06-10   77
130 2021-06-11  315
131 2021-06-12   72
132 2021-06-13   22
133 2021-06-14   12
134 2021-06-15   15
135 2021-06-16   25
136 2021-06-17    4
137 2021-06-18   15
138 2021-06-19   22
139 2021-06-20   35
140 2021-06-21   22
141 2021-06-22   12
142 2021-06-23   30
143 2021-06-24   20
144 2021-06-25   12
145 2021-06-26    7
146 2021-06-27    7
147 2021-06-28    0
148 2021-06-29    2
149 2021-06-30    0
150 2021-07-01   30
151 2021-07-02   39
152 2021-07-03   60
153 2021-07-04   47
154 2021-07-05   47
155 2021-07-06   39
156 2021-07-07    9
157 2021-07-08    9
158 2021-07-09    9
159 2021-07-10    9
160 2021-07-11   25
161 2021-07-12    0
162 2021-07-13    9
163 2021-07-14    7
164 2021-07-15   12
