          date data
0   2021-02-01    0
1   2021-02-02    4
2   2021-02-03    7
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    2
10  2021-02-11    7
11  2021-02-12    2
12  2021-02-13    0
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    0
17  2021-02-18    0
18  2021-02-19    2
19  2021-02-20    2
20  2021-02-21    2
21  2021-02-22    7
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    0
29  2021-03-02    0
30  2021-03-03    2
31  2021-03-04    0
32  2021-03-05    0
33  2021-03-06    0
34  2021-03-07    0
35  2021-03-08    0
36  2021-03-09    2
37  2021-03-10    4
38  2021-03-11    0
39  2021-03-12    2
40  2021-03-13    0
41  2021-03-14    0
42  2021-03-15    9
43  2021-03-16    2
44  2021-03-17    2
45  2021-03-18    4
46  2021-03-19    2
47  2021-03-20    9
48  2021-03-21    7
49  2021-03-22    2
50  2021-03-23    4
51  2021-03-24    4
52  2021-03-25    4
53  2021-03-26    0
54  2021-03-27    4
55  2021-03-28   12
56  2021-03-29   20
57  2021-03-30    4
58  2021-03-31    4
59  2021-04-01    0
60  2021-04-02    7
61  2021-04-03    7
62  2021-04-04    0
63  2021-04-05   12
64  2021-04-06    2
65  2021-04-07    2
66  2021-04-08    4
67  2021-04-09    2
68  2021-04-10    2
69  2021-04-11   12
70  2021-04-12    7
71  2021-04-13    0
72  2021-04-14    2
73  2021-04-15    2
74  2021-04-16    0
75  2021-04-17    0
76  2021-04-18    0
77  2021-04-19    0
78  2021-04-20    2
79  2021-04-21    0
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    2
86  2021-04-28    2
87  2021-04-29    4
88  2021-04-30    2
89  2021-05-01    7
90  2021-05-02    0
91  2021-05-03    4
92  2021-05-04    9
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15   47
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   15
109 2021-05-21    4
110 2021-05-22    2
111 2021-05-23    4
112 2021-05-24    4
113 2021-05-25    9
114 2021-05-26    4
115 2021-05-27    9
116 2021-05-28    7
117 2021-05-29    2
118 2021-05-30    0
119 2021-05-31    2
120 2021-06-01    2
121 2021-06-02    2
122 2021-06-03    0
123 2021-06-04    2
124 2021-06-05    9
125 2021-06-06    4
126 2021-06-07   22
127 2021-06-08   74
128 2021-06-09   22
129 2021-06-10    9
130 2021-06-11  117
131 2021-06-12   30
132 2021-06-13   15
133 2021-06-14    4
134 2021-06-15    4
135 2021-06-16   15
136 2021-06-17    4
137 2021-06-18    4
138 2021-06-19    4
139 2021-06-20    7
140 2021-06-21    0
141 2021-06-22    4
142 2021-06-23    0
143 2021-06-24   22
144 2021-06-25    9
145 2021-06-26    0
146 2021-06-27    0
147 2021-06-28    0
148 2021-06-29    0
149 2021-06-30    7
150 2021-07-01   12
151 2021-07-02   25
152 2021-07-03   20
153 2021-07-04   37
154 2021-07-05    7
155 2021-07-06    7
156 2021-07-07    0
157 2021-07-08    2
158 2021-07-09   20
159 2021-07-10    0
160 2021-07-11    7
161 2021-07-12    2
162 2021-07-13    4
163 2021-07-14    0
164 2021-07-15    0
