          date   data
0   2021-02-01    247
1   2021-02-02    365
2   2021-02-03    222
3   2021-02-04    154
4   2021-02-05     89
5   2021-02-06     17
6   2021-02-07      4
7   2021-02-08      9
8   2021-02-09    105
9   2021-02-10    277
10  2021-02-11    377
11  2021-02-12    245
12  2021-02-13     82
13  2021-02-14     60
14  2021-02-15     22
15  2021-02-16     15
16  2021-02-17     97
17  2021-02-18    229
18  2021-02-19    292
19  2021-02-20    320
20  2021-02-21    355
21  2021-02-22    207
22  2021-02-23    127
23  2021-02-24     32
24  2021-02-25     39
25  2021-02-26     22
26  2021-02-27     77
27  2021-02-28     25
28  2021-03-01    107
29  2021-03-02     82
30  2021-03-03     82
31  2021-03-04     82
32  2021-03-05     57
33  2021-03-06     95
34  2021-03-07    149
35  2021-03-08    149
36  2021-03-09    275
37  2021-03-10    470
38  2021-03-11    297
39  2021-03-12    302
40  2021-03-13    210
41  2021-03-14    345
42  2021-03-15    157
43  2021-03-16    167
44  2021-03-17    347
45  2021-03-18    530
46  2021-03-19    402
47  2021-03-20    474
48  2021-03-21    449
49  2021-03-22    365
50  2021-03-23    365
51  2021-03-24    202
52  2021-03-25    518
53  2021-03-26    297
54  2021-03-27    245
55  2021-03-28    292
56  2021-03-29    790
57  2021-03-30    482
58  2021-03-31    454
59  2021-04-01    257
60  2021-04-02    170
61  2021-04-03    132
62  2021-04-04    130
63  2021-04-05    229
64  2021-04-06    154
65  2021-04-07     79
66  2021-04-08    117
67  2021-04-09    342
68  2021-04-10    217
69  2021-04-11    317
70  2021-04-12    282
71  2021-04-13    249
72  2021-04-14    109
73  2021-04-15     95
74  2021-04-16    122
75  2021-04-17    187
76  2021-04-18    157
77  2021-04-19    212
78  2021-04-20    170
79  2021-04-21    109
80  2021-04-22     47
81  2021-04-23     30
82  2021-04-24      2
83  2021-04-25      0
84  2021-04-26    249
85  2021-04-27    637
86  2021-04-28    494
87  2021-04-29    477
88  2021-04-30    832
89  2021-05-01    447
90  2021-05-02    334
91  2021-05-03    454
92  2021-05-04    967
93  2021-05-05     25
94  2021-05-06     35
95  2021-05-07      4
96  2021-05-08     49
97  2021-05-09     74
98  2021-05-10     35
99  2021-05-11     22
100 2021-05-12      9
101 2021-05-13     22
102 2021-05-14    197
103 2021-05-15   4869
104 2021-05-16     44
105 2021-05-17     35
106 2021-05-18    105
107 2021-05-19     77
108 2021-05-20   1630
109 2021-05-21    487
110 2021-05-22    747
111 2021-05-23    954
112 2021-05-24   1055
113 2021-05-25    489
114 2021-05-26    334
115 2021-05-27    505
116 2021-05-28    492
117 2021-05-29    567
118 2021-05-30    352
119 2021-05-31    199
120 2021-06-01    135
121 2021-06-02    119
122 2021-06-03    159
123 2021-06-04    152
124 2021-06-05    449
125 2021-06-06    327
126 2021-06-07   2274
127 2021-06-08   7907
128 2021-06-09   3322
129 2021-06-10   1502
130 2021-06-11  12482
131 2021-06-12   1960
132 2021-06-13   1262
133 2021-06-14    982
134 2021-06-15    757
135 2021-06-16   1087
136 2021-06-17    592
137 2021-06-18    802
138 2021-06-19    932
139 2021-06-20    939
140 2021-06-21    707
141 2021-06-22    484
142 2021-06-23    629
143 2021-06-24   1097
144 2021-06-25    497
145 2021-06-26    332
146 2021-06-27    180
147 2021-06-28    100
148 2021-06-29    105
149 2021-06-30    247
150 2021-07-01    727
151 2021-07-02   1862
152 2021-07-03   2152
153 2021-07-04   2162
154 2021-07-05   1249
155 2021-07-06    772
156 2021-07-07    487
157 2021-07-08    400
158 2021-07-09    540
159 2021-07-10    390
160 2021-07-11    367
161 2021-07-12    419
162 2021-07-13    312
163 2021-07-14    189
164 2021-07-15    212
