          date data
0   2021-02-01    0
1   2021-02-02  NaT
2   2021-02-03  NaT
3   2021-02-04  NaT
4   2021-02-05  NaT
5   2021-02-06  NaT
6   2021-02-07  NaT
7   2021-02-08  NaT
8   2021-02-09  NaT
9   2021-02-10  NaT
10  2021-02-11  NaT
11  2021-02-12  NaT
12  2021-02-13  NaT
13  2021-02-14  NaT
14  2021-02-15  NaT
15  2021-02-16  NaT
16  2021-02-17  NaT
17  2021-02-18  NaT
18  2021-02-19  NaT
19  2021-02-20  NaT
20  2021-02-21  NaT
21  2021-02-22  NaT
22  2021-02-23  NaT
23  2021-02-24  NaT
24  2021-02-25  NaT
25  2021-02-26  NaT
26  2021-02-27  NaT
27  2021-02-28  NaT
28  2021-03-01  NaT
29  2021-03-02  NaT
30  2021-03-03  NaT
31  2021-03-04  NaT
32  2021-03-05  NaT
33  2021-03-06  NaT
34  2021-03-07  NaT
35  2021-03-08  NaT
36  2021-03-09  NaT
37  2021-03-10  NaT
38  2021-03-11  NaT
39  2021-03-12  NaT
40  2021-03-13  NaT
41  2021-03-14  NaT
42  2021-03-15  NaT
43  2021-03-16  NaT
44  2021-03-17  NaT
45  2021-03-18  NaT
46  2021-03-19  NaT
47  2021-03-20  NaT
48  2021-03-21  NaT
49  2021-03-22  NaT
50  2021-03-23  NaT
51  2021-03-24  NaT
52  2021-03-25  NaT
53  2021-03-26  NaT
54  2021-03-27  NaT
55  2021-03-28  NaT
56  2021-03-29  NaT
57  2021-03-30  NaT
58  2021-03-31  NaT
59  2021-04-01  NaT
60  2021-04-02  NaT
61  2021-04-03  NaT
62  2021-04-04  NaT
63  2021-04-05  NaT
64  2021-04-06  NaT
65  2021-04-07  NaT
66  2021-04-08  NaT
67  2021-04-09  NaT
68  2021-04-10  NaT
69  2021-04-11  NaT
70  2021-04-12  NaT
71  2021-04-13  NaT
72  2021-04-14  NaT
73  2021-04-15  NaT
74  2021-04-16  NaT
75  2021-04-17  NaT
76  2021-04-18  NaT
77  2021-04-19  NaT
78  2021-04-20  NaT
79  2021-04-21  NaT
80  2021-04-22  NaT
81  2021-04-23  NaT
82  2021-04-24  NaT
83  2021-04-25  NaT
84  2021-04-26  NaT
85  2021-04-27  NaT
86  2021-04-28  NaT
87  2021-04-29  NaT
88  2021-04-30  NaT
89  2021-05-01  NaT
90  2021-05-02  NaT
91  2021-05-03  NaT
92  2021-05-04  NaT
93  2021-05-05  NaT
94  2021-05-06  NaT
95  2021-05-07  NaT
96  2021-05-08  NaT
97  2021-05-09  NaT
98  2021-05-10  NaT
99  2021-05-11  NaT
100 2021-05-12  NaT
101 2021-05-13  NaT
102 2021-05-14  NaT
103 2021-05-15  NaT
104 2021-05-16  NaT
105 2021-05-17  NaT
106 2021-05-18  NaT
107 2021-05-19  NaT
108 2021-05-20  NaT
109 2021-05-21  NaT
110 2021-05-22  NaT
111 2021-05-23  NaT
112 2021-05-24  NaT
113 2021-05-25  NaT
114 2021-05-26  NaT
115 2021-05-27  NaT
116 2021-05-28  NaT
117 2021-05-29  NaT
118 2021-05-30  NaT
119 2021-05-31  NaT
120 2021-06-01  NaT
121 2021-06-02  NaT
122 2021-06-03  NaT
123 2021-06-04  NaT
124 2021-06-05  NaT
125 2021-06-06  NaT
126 2021-06-07  NaT
127 2021-06-08  NaT
128 2021-06-09  NaT
129 2021-06-10  NaT
130 2021-06-11  NaT
131 2021-06-12  NaT
132 2021-06-13  NaT
133 2021-06-14  NaT
134 2021-06-15  NaT
135 2021-06-16  NaT
136 2021-06-17  NaT
137 2021-06-18  NaT
138 2021-06-19  NaT
139 2021-06-20  NaT
140 2021-06-21  NaT
141 2021-06-22  NaT
142 2021-06-23  NaT
143 2021-06-24  NaT
144 2021-06-25  NaT
145 2021-06-26  NaT
146 2021-06-27  NaT
147 2021-06-28  NaT
148 2021-06-29  NaT
149 2021-06-30  NaT
150 2021-07-01  NaT
151 2021-07-02  NaT
152 2021-07-03  NaT
153 2021-07-04  NaT
154 2021-07-05  NaT
155 2021-07-06  NaT
156 2021-07-07  NaT
157 2021-07-08  NaT
158 2021-07-09  NaT
159 2021-07-10  NaT
160 2021-07-11  NaT
161 2021-07-12  NaT
162 2021-07-13  NaT
163 2021-07-14  NaT
164 2021-07-15  NaT
