          date data
0   2021-02-01   15
1   2021-02-02   15
2   2021-02-03    7
3   2021-02-04    4
4   2021-02-05    0
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10   12
10  2021-02-11   12
11  2021-02-12    0
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17   12
17  2021-02-18   12
18  2021-02-19   17
19  2021-02-20    2
20  2021-02-21   15
21  2021-02-22    4
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27   12
27  2021-02-28    4
28  2021-03-01    2
29  2021-03-02    4
30  2021-03-03    7
31  2021-03-04    2
32  2021-03-05    7
33  2021-03-06    0
34  2021-03-07    0
35  2021-03-08    2
36  2021-03-09   15
37  2021-03-10    9
38  2021-03-11    4
39  2021-03-12   25
40  2021-03-13   15
41  2021-03-14   17
42  2021-03-15    4
43  2021-03-16   15
44  2021-03-17   27
45  2021-03-18   42
46  2021-03-19   17
47  2021-03-20   30
48  2021-03-21   15
49  2021-03-22   22
50  2021-03-23   17
51  2021-03-24   15
52  2021-03-25    0
53  2021-03-26   20
54  2021-03-27   15
55  2021-03-28    4
56  2021-03-29   52
57  2021-03-30   12
58  2021-03-31    9
59  2021-04-01    4
60  2021-04-02    4
61  2021-04-03    4
62  2021-04-04    7
63  2021-04-05   22
64  2021-04-06    9
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09   12
68  2021-04-10    7
69  2021-04-11   15
70  2021-04-12    9
71  2021-04-13    7
72  2021-04-14    0
73  2021-04-15    7
74  2021-04-16    2
75  2021-04-17    2
76  2021-04-18    9
77  2021-04-19    9
78  2021-04-20    2
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    4
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    9
85  2021-04-27   27
86  2021-04-28   22
87  2021-04-29   25
88  2021-04-30   27
89  2021-05-01   20
90  2021-05-02   22
91  2021-05-03   12
92  2021-05-04   57
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    4
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  210
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   49
109 2021-05-21   20
110 2021-05-22   30
111 2021-05-23   32
112 2021-05-24   39
113 2021-05-25   15
114 2021-05-26    4
115 2021-05-27    9
116 2021-05-28   12
117 2021-05-29   22
118 2021-05-30   12
119 2021-05-31   17
120 2021-06-01    7
121 2021-06-02    0
122 2021-06-03    2
123 2021-06-04    7
124 2021-06-05   20
125 2021-06-06   20
126 2021-06-07  109
127 2021-06-08  462
128 2021-06-09  142
129 2021-06-10   72
130 2021-06-11  655
131 2021-06-12   72
132 2021-06-13   57
133 2021-06-14   65
134 2021-06-15   39
135 2021-06-16   42
136 2021-06-17   47
137 2021-06-18   52
138 2021-06-19   35
139 2021-06-20   60
140 2021-06-21   30
141 2021-06-22   30
142 2021-06-23   27
143 2021-06-24   57
144 2021-06-25   25
145 2021-06-26   22
146 2021-06-27   12
147 2021-06-28    4
148 2021-06-29    9
149 2021-06-30    7
150 2021-07-01   27
151 2021-07-02   74
152 2021-07-03  100
153 2021-07-04   97
154 2021-07-05   65
155 2021-07-06   12
156 2021-07-07   15
157 2021-07-08    4
158 2021-07-09   17
159 2021-07-10    9
160 2021-07-11    9
161 2021-07-12   17
162 2021-07-13   12
163 2021-07-14    9
164 2021-07-15    2
