          date data
0   2021-02-01   17
1   2021-02-02   17
2   2021-02-03    9
3   2021-02-04   14
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    4
9   2021-02-10   12
10  2021-02-11   22
11  2021-02-12    7
12  2021-02-13    2
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    2
17  2021-02-18   20
18  2021-02-19   15
19  2021-02-20   20
20  2021-02-21   27
21  2021-02-22   17
22  2021-02-23    9
23  2021-02-24    0
24  2021-02-25   12
25  2021-02-26    7
26  2021-02-27    7
27  2021-02-28    0
28  2021-03-01    2
29  2021-03-02    7
30  2021-03-03    2
31  2021-03-04    2
32  2021-03-05   12
33  2021-03-06    7
34  2021-03-07    9
35  2021-03-08    4
36  2021-03-09    2
37  2021-03-10   12
38  2021-03-11    4
39  2021-03-12    4
40  2021-03-13    9
41  2021-03-14   12
42  2021-03-15    9
43  2021-03-16    0
44  2021-03-17   12
45  2021-03-18   22
46  2021-03-19    9
47  2021-03-20   39
48  2021-03-21   20
49  2021-03-22   12
50  2021-03-23   15
51  2021-03-24    9
52  2021-03-25    8
53  2021-03-26   25
54  2021-03-27   25
55  2021-03-28    7
56  2021-03-29   17
57  2021-03-30   22
58  2021-03-31   20
59  2021-04-01   12
60  2021-04-02    9
61  2021-04-03    4
62  2021-04-04    4
63  2021-04-05    4
64  2021-04-06    7
65  2021-04-07    2
66  2021-04-08    4
67  2021-04-09   17
68  2021-04-10   12
69  2021-04-11    9
70  2021-04-12    9
71  2021-04-13    4
72  2021-04-14    7
73  2021-04-15    0
74  2021-04-16    4
75  2021-04-17   17
76  2021-04-18    2
77  2021-04-19    4
78  2021-04-20    9
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    9
85  2021-04-27   39
86  2021-04-28   27
87  2021-04-29    9
88  2021-04-30   35
89  2021-05-01    9
90  2021-05-02    7
91  2021-05-03    7
92  2021-05-04   42
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    4
97  2021-05-09   15
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14   22
103 2021-05-15  245
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   77
109 2021-05-21    9
110 2021-05-22   15
111 2021-05-23   47
112 2021-05-24   35
113 2021-05-25   15
114 2021-05-26   25
115 2021-05-27    9
116 2021-05-28   22
117 2021-05-29   17
118 2021-05-30    9
119 2021-05-31    2
120 2021-06-01    7
121 2021-06-02   12
122 2021-06-03    7
123 2021-06-04    4
124 2021-06-05   20
125 2021-06-06    7
126 2021-06-07  124
127 2021-06-08  357
128 2021-06-09  122
129 2021-06-10   74
130 2021-06-11  514
131 2021-06-12   87
132 2021-06-13   74
133 2021-06-14   42
134 2021-06-15   39
135 2021-06-16   55
136 2021-06-17   44
137 2021-06-18   22
138 2021-06-19   47
139 2021-06-20   32
140 2021-06-21   37
141 2021-06-22   20
142 2021-06-23   32
143 2021-06-24   49
144 2021-06-25   20
145 2021-06-26   15
146 2021-06-27    4
147 2021-06-28    7
148 2021-06-29    2
149 2021-06-30   15
150 2021-07-01   15
151 2021-07-02   74
152 2021-07-03   97
153 2021-07-04   89
154 2021-07-05   52
155 2021-07-06   22
156 2021-07-07   15
157 2021-07-08   15
158 2021-07-09   17
159 2021-07-10    7
160 2021-07-11   30
161 2021-07-12    2
162 2021-07-13    9
163 2021-07-14   17
164 2021-07-15    4
