          date   data
0   2021-02-01    407
1   2021-02-02    607
2   2021-02-03    322
3   2021-02-04    178
4   2021-02-05    114
5   2021-02-06     51
6   2021-02-07      0
7   2021-02-08      7
8   2021-02-09    113
9   2021-02-10    314
10  2021-02-11    504
11  2021-02-12    214
12  2021-02-13     72
13  2021-02-14     61
14  2021-02-15     24
15  2021-02-16     20
16  2021-02-17    139
17  2021-02-18    259
18  2021-02-19    437
19  2021-02-20    486
20  2021-02-21    553
21  2021-02-22    302
22  2021-02-23    205
23  2021-02-24     46
24  2021-02-25     64
25  2021-02-26     49
26  2021-02-27    157
27  2021-02-28     56
28  2021-03-01    145
29  2021-03-02    124
30  2021-03-03    152
31  2021-03-04     74
32  2021-03-05    152
33  2021-03-06     71
34  2021-03-07    142
35  2021-03-08    136
36  2021-03-09    264
37  2021-03-10    561
38  2021-03-11    351
39  2021-03-12    270
40  2021-03-13    166
41  2021-03-14    375
42  2021-03-15    214
43  2021-03-16    194
44  2021-03-17    457
45  2021-03-18    772
46  2021-03-19    456
47  2021-03-20    706
48  2021-03-21    643
49  2021-03-22    394
50  2021-03-23    424
51  2021-03-24    224
52  2021-03-25    744
53  2021-03-26    484
54  2021-03-27    451
55  2021-03-28    280
56  2021-03-29   1019
57  2021-03-30    444
58  2021-03-31    454
59  2021-04-01    382
60  2021-04-02    240
61  2021-04-03    194
62  2021-04-04    172
63  2021-04-05    319
64  2021-04-06    314
65  2021-04-07    144
66  2021-04-08    132
67  2021-04-09    534
68  2021-04-10    321
69  2021-04-11    434
70  2021-04-12    354
71  2021-04-13    370
72  2021-04-14    124
73  2021-04-15    112
74  2021-04-16    179
75  2021-04-17    297
76  2021-04-18    261
77  2021-04-19    312
78  2021-04-20    214
79  2021-04-21    116
80  2021-04-22     62
81  2021-04-23     34
82  2021-04-24      4
83  2021-04-25      0
84  2021-04-26    189
85  2021-04-27    761
86  2021-04-28    654
87  2021-04-29    659
88  2021-04-30    897
89  2021-05-01    420
90  2021-05-02    348
91  2021-05-03    479
92  2021-05-04   1302
93  2021-05-05     48
94  2021-05-06      7
95  2021-05-07     22
96  2021-05-08     89
97  2021-05-09     98
98  2021-05-10     44
99  2021-05-11     27
100 2021-05-12      2
101 2021-05-13     48
102 2021-05-14    269
103 2021-05-15   7311
104 2021-05-16     34
105 2021-05-17     57
106 2021-05-18     52
107 2021-05-19    114
108 2021-05-20   2868
109 2021-05-21    628
110 2021-05-22    872
111 2021-05-23   1291
112 2021-05-24   1341
113 2021-05-25    659
114 2021-05-26    428
115 2021-05-27    570
116 2021-05-28    572
117 2021-05-29    607
118 2021-05-30    364
119 2021-05-31    274
120 2021-06-01    174
121 2021-06-02    209
122 2021-06-03    139
123 2021-06-04    239
124 2021-06-05    549
125 2021-06-06    392
126 2021-06-07   3019
127 2021-06-08   9434
128 2021-06-09   3882
129 2021-06-10   1717
130 2021-06-11  19351
131 2021-06-12   2532
132 2021-06-13   1386
133 2021-06-14   1268
134 2021-06-15   1024
135 2021-06-16   1405
136 2021-06-17    826
137 2021-06-18   1001
138 2021-06-19   1427
139 2021-06-20   1461
140 2021-06-21    919
141 2021-06-22    662
142 2021-06-23    739
143 2021-06-24   1441
144 2021-06-25    598
145 2021-06-26    429
146 2021-06-27    214
147 2021-06-28    179
148 2021-06-29    136
149 2021-06-30    374
150 2021-07-01    783
151 2021-07-02   2609
152 2021-07-03   3107
153 2021-07-04   2732
154 2021-07-05   1866
155 2021-07-06   1044
156 2021-07-07    549
157 2021-07-08    564
158 2021-07-09    716
159 2021-07-10    509
160 2021-07-11    496
161 2021-07-12    472
162 2021-07-13    302
163 2021-07-14    264
164 2021-07-15    242
