          date data
0   2021-02-01    4
1   2021-02-02   35
2   2021-02-03    9
3   2021-02-04    4
4   2021-02-05    2
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    9
9   2021-02-10   22
10  2021-02-11   37
11  2021-02-12   12
12  2021-02-13   15
13  2021-02-14    4
14  2021-02-15    0
15  2021-02-16    4
16  2021-02-17    2
17  2021-02-18    4
18  2021-02-19    7
19  2021-02-20   27
20  2021-02-21   27
21  2021-02-22    7
22  2021-02-23    4
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    0
28  2021-03-01    0
29  2021-03-02    9
30  2021-03-03    9
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    4
34  2021-03-07    4
35  2021-03-08    0
36  2021-03-09   15
37  2021-03-10   39
38  2021-03-11   22
39  2021-03-12    9
40  2021-03-13    4
41  2021-03-14   20
42  2021-03-15   17
43  2021-03-16   15
44  2021-03-17   25
45  2021-03-18   30
46  2021-03-19   22
47  2021-03-20   20
48  2021-03-21   25
49  2021-03-22   25
50  2021-03-23   17
51  2021-03-24   17
52  2021-03-25   34
53  2021-03-26   32
54  2021-03-27   32
55  2021-03-28   15
56  2021-03-29   72
57  2021-03-30   30
58  2021-03-31   35
59  2021-04-01   20
60  2021-04-02    4
61  2021-04-03    7
62  2021-04-04    4
63  2021-04-05   20
64  2021-04-06    7
65  2021-04-07    2
66  2021-04-08    9
67  2021-04-09   27
68  2021-04-10   17
69  2021-04-11   20
70  2021-04-12   35
71  2021-04-13   20
72  2021-04-14    2
73  2021-04-15    4
74  2021-04-16    2
75  2021-04-17    4
76  2021-04-18    4
77  2021-04-19    2
78  2021-04-20    2
79  2021-04-21    4
80  2021-04-22    2
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27    9
86  2021-04-28   22
87  2021-04-29   37
88  2021-04-30   25
89  2021-05-01   47
90  2021-05-02   25
91  2021-05-03   39
92  2021-05-04   39
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    9
97  2021-05-09    7
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    4
101 2021-05-13    2
102 2021-05-14    7
103 2021-05-15  492
104 2021-05-16    0
105 2021-05-17    4
106 2021-05-18    7
107 2021-05-19    7
108 2021-05-20  119
109 2021-05-21   25
110 2021-05-22   35
111 2021-05-23   74
112 2021-05-24   97
113 2021-05-25   42
114 2021-05-26   12
115 2021-05-27   15
116 2021-05-28   39
117 2021-05-29   20
118 2021-05-30   20
119 2021-05-31    9
120 2021-06-01    0
121 2021-06-02    4
122 2021-06-03   15
123 2021-06-04    9
124 2021-06-05   39
125 2021-06-06   20
126 2021-06-07  167
127 2021-06-08  474
128 2021-06-09  157
129 2021-06-10   72
130 2021-06-11  769
131 2021-06-12  142
132 2021-06-13   77
133 2021-06-14   62
134 2021-06-15   35
135 2021-06-16   57
136 2021-06-17   27
137 2021-06-18   30
138 2021-06-19   82
139 2021-06-20   60
140 2021-06-21   17
141 2021-06-22   25
142 2021-06-23   30
143 2021-06-24  334
144 2021-06-25   37
145 2021-06-26   17
146 2021-06-27    4
147 2021-06-28    7
148 2021-06-29    4
149 2021-06-30   20
150 2021-07-01   49
151 2021-07-02  140
152 2021-07-03  152
153 2021-07-04  130
154 2021-07-05   82
155 2021-07-06  112
156 2021-07-07   47
157 2021-07-08   39
158 2021-07-09   44
159 2021-07-10   39
160 2021-07-11   42
161 2021-07-12   37
162 2021-07-13   25
163 2021-07-14   15
164 2021-07-15   12
