          date  data
0   2021-02-01    44
1   2021-02-02    70
2   2021-02-03    47
3   2021-02-04     8
4   2021-02-05     9
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09     9
9   2021-02-10    35
10  2021-02-11   124
11  2021-02-12    62
12  2021-02-13    20
13  2021-02-14     9
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17    12
17  2021-02-18    37
18  2021-02-19    35
19  2021-02-20    37
20  2021-02-21    55
21  2021-02-22    55
22  2021-02-23    52
23  2021-02-24    12
24  2021-02-25     7
25  2021-02-26     4
26  2021-02-27     9
27  2021-02-28     7
28  2021-03-01    25
29  2021-03-02    32
30  2021-03-03    17
31  2021-03-04     7
32  2021-03-05    17
33  2021-03-06     9
34  2021-03-07    37
35  2021-03-08    30
36  2021-03-09    72
37  2021-03-10   107
38  2021-03-11    67
39  2021-03-12    57
40  2021-03-13    32
41  2021-03-14    70
42  2021-03-15    47
43  2021-03-16    30
44  2021-03-17    57
45  2021-03-18    72
46  2021-03-19    65
47  2021-03-20    89
48  2021-03-21    77
49  2021-03-22    39
50  2021-03-23    79
51  2021-03-24    27
52  2021-03-25    70
53  2021-03-26    62
54  2021-03-27    52
55  2021-03-28    60
56  2021-03-29   142
57  2021-03-30    89
58  2021-03-31    92
59  2021-04-01    74
60  2021-04-02    39
61  2021-04-03    27
62  2021-04-04    20
63  2021-04-05    47
64  2021-04-06    42
65  2021-04-07    12
66  2021-04-08    25
67  2021-04-09    49
68  2021-04-10    37
69  2021-04-11    47
70  2021-04-12    35
71  2021-04-13    27
72  2021-04-14    22
73  2021-04-15    12
74  2021-04-16    15
75  2021-04-17    20
76  2021-04-18    25
77  2021-04-19    27
78  2021-04-20    17
79  2021-04-21    17
80  2021-04-22     7
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    15
85  2021-04-27    67
86  2021-04-28    72
87  2021-04-29    74
88  2021-04-30   162
89  2021-05-01    82
90  2021-05-02    55
91  2021-05-03    77
92  2021-05-04   154
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08    12
97  2021-05-09    15
98  2021-05-10     2
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13    15
102 2021-05-14    42
103 2021-05-15  1460
104 2021-05-16     7
105 2021-05-17     2
106 2021-05-18     4
107 2021-05-19    17
108 2021-05-20   327
109 2021-05-21    97
110 2021-05-22   109
111 2021-05-23   222
112 2021-05-24   264
113 2021-05-25   197
114 2021-05-26    72
115 2021-05-27   102
116 2021-05-28   119
117 2021-05-29   130
118 2021-05-30    62
119 2021-05-31    15
120 2021-06-01    17
121 2021-06-02    25
122 2021-06-03    22
123 2021-06-04    22
124 2021-06-05    87
125 2021-06-06    57
126 2021-06-07   437
127 2021-06-08  1549
128 2021-06-09   584
129 2021-06-10   264
130 2021-06-11  2472
131 2021-06-12   332
132 2021-06-13   237
133 2021-06-14   167
134 2021-06-15   149
135 2021-06-16   219
136 2021-06-17   119
137 2021-06-18   172
138 2021-06-19   255
139 2021-06-20   245
140 2021-06-21   132
141 2021-06-22   127
142 2021-06-23   162
143 2021-06-24  1130
144 2021-06-25   112
145 2021-06-26    57
146 2021-06-27    30
147 2021-06-28    22
148 2021-06-29    32
149 2021-06-30    67
150 2021-07-01   145
151 2021-07-02   447
152 2021-07-03   449
153 2021-07-04   467
154 2021-07-05   269
155 2021-07-06   207
156 2021-07-07   100
157 2021-07-08    79
158 2021-07-09   109
159 2021-07-10    97
160 2021-07-11    62
161 2021-07-12   122
162 2021-07-13    70
163 2021-07-14    52
164 2021-07-15    47
