          date data
0   2021-02-01    0
1   2021-02-02    7
2   2021-02-03    2
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    4
10  2021-02-11    4
11  2021-02-12    0
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    0
18  2021-02-19    0
19  2021-02-20    2
20  2021-02-21    2
21  2021-02-22    2
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    0
29  2021-03-02    0
30  2021-03-03    0
31  2021-03-04    2
32  2021-03-05    0
33  2021-03-06    4
34  2021-03-07    2
35  2021-03-08    2
36  2021-03-09    0
37  2021-03-10   17
38  2021-03-11    2
39  2021-03-12    2
40  2021-03-13    0
41  2021-03-14    0
42  2021-03-15    0
43  2021-03-16    2
44  2021-03-17    7
45  2021-03-18    4
46  2021-03-19    2
47  2021-03-20    7
48  2021-03-21    4
49  2021-03-22    2
50  2021-03-23    9
51  2021-03-24    4
52  2021-03-25    0
53  2021-03-26    0
54  2021-03-27    4
55  2021-03-28    0
56  2021-03-29   15
57  2021-03-30    0
58  2021-03-31    9
59  2021-04-01    2
60  2021-04-02    0
61  2021-04-03    0
62  2021-04-04    0
63  2021-04-05    2
64  2021-04-06    0
65  2021-04-07    2
66  2021-04-08    0
67  2021-04-09    2
68  2021-04-10    0
69  2021-04-11    0
70  2021-04-12    0
71  2021-04-13    9
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17    4
76  2021-04-18    0
77  2021-04-19    0
78  2021-04-20    0
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    2
86  2021-04-28    9
87  2021-04-29    7
88  2021-04-30   15
89  2021-05-01    0
90  2021-05-02    2
91  2021-05-03    7
92  2021-05-04    4
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    2
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15   72
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20    9
109 2021-05-21    2
110 2021-05-22    7
111 2021-05-23   20
112 2021-05-24   37
113 2021-05-25    7
114 2021-05-26    9
115 2021-05-27    0
116 2021-05-28    2
117 2021-05-29    2
118 2021-05-30    4
119 2021-05-31    2
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03    2
123 2021-06-04    0
124 2021-06-05    2
125 2021-06-06    9
126 2021-06-07   32
127 2021-06-08   77
128 2021-06-09   42
129 2021-06-10   12
130 2021-06-11  142
131 2021-06-12   37
132 2021-06-13   22
133 2021-06-14    9
134 2021-06-15    2
135 2021-06-16    9
136 2021-06-17    9
137 2021-06-18    0
138 2021-06-19   17
139 2021-06-20    4
140 2021-06-21   12
141 2021-06-22   22
142 2021-06-23    7
143 2021-06-24   57
144 2021-06-25    9
145 2021-06-26    7
146 2021-06-27    2
147 2021-06-28    0
148 2021-06-29    0
149 2021-06-30    4
150 2021-07-01    7
151 2021-07-02   20
152 2021-07-03   35
153 2021-07-04   32
154 2021-07-05   15
155 2021-07-06   12
156 2021-07-07    7
157 2021-07-08    0
158 2021-07-09   15
159 2021-07-10    7
160 2021-07-11    4
161 2021-07-12    4
162 2021-07-13    7
163 2021-07-14    0
164 2021-07-15    0
