          date data
0   2021-02-01    7
1   2021-02-02   42
2   2021-02-03   12
3   2021-02-04    0
4   2021-02-05    9
5   2021-02-06    0
6   2021-02-07    4
7   2021-02-08    4
8   2021-02-09    7
9   2021-02-10   30
10  2021-02-11   37
11  2021-02-12   22
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    2
16  2021-02-17    4
17  2021-02-18    7
18  2021-02-19    7
19  2021-02-20   17
20  2021-02-21   17
21  2021-02-22   12
22  2021-02-23    4
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    9
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    0
30  2021-03-03    7
31  2021-03-04    9
32  2021-03-05    4
33  2021-03-06    7
34  2021-03-07    7
35  2021-03-08    0
36  2021-03-09    9
37  2021-03-10   17
38  2021-03-11    7
39  2021-03-12   32
40  2021-03-13   20
41  2021-03-14   22
42  2021-03-15    0
43  2021-03-16   17
44  2021-03-17   15
45  2021-03-18   44
46  2021-03-19   22
47  2021-03-20   27
48  2021-03-21   12
49  2021-03-22    9
50  2021-03-23   22
51  2021-03-24    9
52  2021-03-25   60
53  2021-03-26   22
54  2021-03-27   20
55  2021-03-28   17
56  2021-03-29   55
57  2021-03-30   27
58  2021-03-31   37
59  2021-04-01    4
60  2021-04-02    4
61  2021-04-03   15
62  2021-04-04   25
63  2021-04-05    7
64  2021-04-06    2
65  2021-04-07    4
66  2021-04-08    2
67  2021-04-09   22
68  2021-04-10   17
69  2021-04-11   42
70  2021-04-12   12
71  2021-04-13    7
72  2021-04-14   12
73  2021-04-15    4
74  2021-04-16    4
75  2021-04-17    0
76  2021-04-18    4
77  2021-04-19    7
78  2021-04-20    2
79  2021-04-21    7
80  2021-04-22    7
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   12
85  2021-04-27   17
86  2021-04-28   27
87  2021-04-29   32
88  2021-04-30   30
89  2021-05-01   25
90  2021-05-02   17
91  2021-05-03   27
92  2021-05-04   32
93  2021-05-05    0
94  2021-05-06    4
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    7
103 2021-05-15  239
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   30
109 2021-05-21   27
110 2021-05-22   12
111 2021-05-23   65
112 2021-05-24   60
113 2021-05-25   17
114 2021-05-26   27
115 2021-05-27   30
116 2021-05-28   35
117 2021-05-29   15
118 2021-05-30    7
119 2021-05-31   15
120 2021-06-01    0
121 2021-06-02    7
122 2021-06-03    4
123 2021-06-04    2
124 2021-06-05   17
125 2021-06-06   15
126 2021-06-07  159
127 2021-06-08  355
128 2021-06-09  189
129 2021-06-10  117
130 2021-06-11  589
131 2021-06-12  105
132 2021-06-13   70
133 2021-06-14   79
134 2021-06-15   44
135 2021-06-16   74
136 2021-06-17   25
137 2021-06-18   32
138 2021-06-19   39
139 2021-06-20   49
140 2021-06-21   42
141 2021-06-22   22
142 2021-06-23   49
143 2021-06-24   62
144 2021-06-25   12
145 2021-06-26   20
146 2021-06-27    7
147 2021-06-28    4
148 2021-06-29   25
149 2021-06-30   17
150 2021-07-01   47
151 2021-07-02   82
152 2021-07-03  100
153 2021-07-04  105
154 2021-07-05   77
155 2021-07-06   49
156 2021-07-07   15
157 2021-07-08   15
158 2021-07-09   30
159 2021-07-10   22
160 2021-07-11   22
161 2021-07-12   39
162 2021-07-13   25
163 2021-07-14   12
164 2021-07-15   17
