          date  data
0   2021-02-01    49
1   2021-02-02   217
2   2021-02-03    97
3   2021-02-04    84
4   2021-02-05    27
5   2021-02-06    20
6   2021-02-07     0
7   2021-02-08    12
8   2021-02-09    22
9   2021-02-10   102
10  2021-02-11   145
11  2021-02-12    55
12  2021-02-13     2
13  2021-02-14     9
14  2021-02-15     2
15  2021-02-16     4
16  2021-02-17     9
17  2021-02-18    52
18  2021-02-19    44
19  2021-02-20    79
20  2021-02-21    79
21  2021-02-22   105
22  2021-02-23    65
23  2021-02-24    15
24  2021-02-25    12
25  2021-02-26    12
26  2021-02-27    17
27  2021-02-28     9
28  2021-03-01    39
29  2021-03-02    49
30  2021-03-03    35
31  2021-03-04    47
32  2021-03-05    27
33  2021-03-06    27
34  2021-03-07    49
35  2021-03-08    32
36  2021-03-09    35
37  2021-03-10   180
38  2021-03-11    74
39  2021-03-12    55
40  2021-03-13    60
41  2021-03-14   140
42  2021-03-15    52
43  2021-03-16    42
44  2021-03-17   112
45  2021-03-18   177
46  2021-03-19   157
47  2021-03-20   105
48  2021-03-21   137
49  2021-03-22    92
50  2021-03-23   124
51  2021-03-24    55
52  2021-03-25   140
53  2021-03-26   100
54  2021-03-27    82
55  2021-03-28    87
56  2021-03-29    74
57  2021-03-30    47
58  2021-03-31    89
59  2021-04-01    72
60  2021-04-02    70
61  2021-04-03    39
62  2021-04-04    35
63  2021-04-05    52
64  2021-04-06    37
65  2021-04-07    12
66  2021-04-08    27
67  2021-04-09   124
68  2021-04-10   100
69  2021-04-11    92
70  2021-04-12   105
71  2021-04-13    87
72  2021-04-14    44
73  2021-04-15    20
74  2021-04-16    39
75  2021-04-17    30
76  2021-04-18    17
77  2021-04-19    74
78  2021-04-20    55
79  2021-04-21    17
80  2021-04-22    22
81  2021-04-23     7
82  2021-04-24     4
83  2021-04-25     2
84  2021-04-26    57
85  2021-04-27   210
86  2021-04-28   147
87  2021-04-29    97
88  2021-04-30   204
89  2021-05-01    79
90  2021-05-02    82
91  2021-05-03   114
92  2021-05-04   262
93  2021-05-05     0
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     9
97  2021-05-09    27
98  2021-05-10     4
99  2021-05-11     4
100 2021-05-12     4
101 2021-05-13     4
102 2021-05-14    62
103 2021-05-15  1422
104 2021-05-16     9
105 2021-05-17     9
106 2021-05-18    17
107 2021-05-19    25
108 2021-05-20   489
109 2021-05-21   227
110 2021-05-22   232
111 2021-05-23   285
112 2021-05-24   320
113 2021-05-25   130
114 2021-05-26    82
115 2021-05-27   189
116 2021-05-28    97
117 2021-05-29   147
118 2021-05-30    95
119 2021-05-31    79
120 2021-06-01    32
121 2021-06-02    35
122 2021-06-03    22
123 2021-06-04    49
124 2021-06-05    85
125 2021-06-06    67
126 2021-06-07   527
127 2021-06-08  1612
128 2021-06-09   629
129 2021-06-10   320
130 2021-06-11  3315
131 2021-06-12   447
132 2021-06-13   287
133 2021-06-14   192
134 2021-06-15   182
135 2021-06-16   204
136 2021-06-17   189
137 2021-06-18   204
138 2021-06-19   255
139 2021-06-20   219
140 2021-06-21   197
141 2021-06-22   127
142 2021-06-23   135
143 2021-06-24   287
144 2021-06-25    92
145 2021-06-26    87
146 2021-06-27    25
147 2021-06-28    17
148 2021-06-29    25
149 2021-06-30    65
150 2021-07-01   157
151 2021-07-02   524
152 2021-07-03   542
153 2021-07-04   435
154 2021-07-05   329
155 2021-07-06   247
156 2021-07-07   124
157 2021-07-08    82
158 2021-07-09   107
159 2021-07-10    89
160 2021-07-11    92
161 2021-07-12    95
162 2021-07-13    79
163 2021-07-14    44
164 2021-07-15    39
