          date  data
0   2021-02-01    70
1   2021-02-02   292
2   2021-02-03   119
3   2021-02-04    88
4   2021-02-05    42
5   2021-02-06    20
6   2021-02-07     4
7   2021-02-08    20
8   2021-02-09    37
9   2021-02-10   152
10  2021-02-11   229
11  2021-02-12    95
12  2021-02-13    27
13  2021-02-14    12
14  2021-02-15    12
15  2021-02-16    12
16  2021-02-17    20
17  2021-02-18    74
18  2021-02-19    57
19  2021-02-20   105
20  2021-02-21   127
21  2021-02-22   135
22  2021-02-23    74
23  2021-02-24    20
24  2021-02-25    15
25  2021-02-26    22
26  2021-02-27    20
27  2021-02-28    15
28  2021-03-01    65
29  2021-03-02    52
30  2021-03-03    42
31  2021-03-04    62
32  2021-03-05    39
33  2021-03-06    32
34  2021-03-07    70
35  2021-03-08    32
36  2021-03-09    70
37  2021-03-10   239
38  2021-03-11    92
39  2021-03-12    89
40  2021-03-13    89
41  2021-03-14   180
42  2021-03-15    57
43  2021-03-16    77
44  2021-03-17   154
45  2021-03-18   307
46  2021-03-19   219
47  2021-03-20   167
48  2021-03-21   177
49  2021-03-22   137
50  2021-03-23   177
51  2021-03-24    89
52  2021-03-25   260
53  2021-03-26   140
54  2021-03-27   122
55  2021-03-28   114
56  2021-03-29   180
57  2021-03-30   117
58  2021-03-31   197
59  2021-04-01    89
60  2021-04-02    79
61  2021-04-03    70
62  2021-04-04    77
63  2021-04-05    85
64  2021-04-06    72
65  2021-04-07    20
66  2021-04-08    44
67  2021-04-09   162
68  2021-04-10   117
69  2021-04-11   152
70  2021-04-12   152
71  2021-04-13   107
72  2021-04-14    72
73  2021-04-15    32
74  2021-04-16    52
75  2021-04-17    49
76  2021-04-18    39
77  2021-04-19    97
78  2021-04-20    77
79  2021-04-21    27
80  2021-04-22    30
81  2021-04-23     9
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    95
85  2021-04-27   282
86  2021-04-28   227
87  2021-04-29   177
88  2021-04-30   287
89  2021-05-01   135
90  2021-05-02   124
91  2021-05-03   182
92  2021-05-04   337
93  2021-05-05     0
94  2021-05-06     7
95  2021-05-07     0
96  2021-05-08    15
97  2021-05-09    42
98  2021-05-10    12
99  2021-05-11     7
100 2021-05-12     4
101 2021-05-13    12
102 2021-05-14    85
103 2021-05-15  2042
104 2021-05-16    15
105 2021-05-17    25
106 2021-05-18    32
107 2021-05-19    27
108 2021-05-20   597
109 2021-05-21   272
110 2021-05-22   307
111 2021-05-23   435
112 2021-05-24   457
113 2021-05-25   189
114 2021-05-26   137
115 2021-05-27   312
116 2021-05-28   167
117 2021-05-29   199
118 2021-05-30   114
119 2021-05-31   119
120 2021-06-01    39
121 2021-06-02    49
122 2021-06-03    49
123 2021-06-04    60
124 2021-06-05   152
125 2021-06-06   122
126 2021-06-07   889
127 2021-06-08  2665
128 2021-06-09  1087
129 2021-06-10   532
130 2021-06-11  4805
131 2021-06-12   679
132 2021-06-13   419
133 2021-06-14   392
134 2021-06-15   287
135 2021-06-16   372
136 2021-06-17   269
137 2021-06-18   304
138 2021-06-19   372
139 2021-06-20   357
140 2021-06-21   315
141 2021-06-22   199
142 2021-06-23   222
143 2021-06-24   444
144 2021-06-25   147
145 2021-06-26   132
146 2021-06-27    37
147 2021-06-28    37
148 2021-06-29    62
149 2021-06-30   117
150 2021-07-01   262
151 2021-07-02   797
152 2021-07-03   802
153 2021-07-04   720
154 2021-07-05   547
155 2021-07-06   397
156 2021-07-07   165
157 2021-07-08   119
158 2021-07-09   192
159 2021-07-10   172
160 2021-07-11   137
161 2021-07-12   165
162 2021-07-13   127
163 2021-07-14    82
164 2021-07-15    65
