          date   data
0   2021-02-01     89
1   2021-02-02    580
2   2021-02-03    379
3   2021-02-04    190
4   2021-02-05     57
5   2021-02-06     15
6   2021-02-07      2
7   2021-02-08      2
8   2021-02-09     55
9   2021-02-10    252
10  2021-02-11    415
11  2021-02-12    255
12  2021-02-13     97
13  2021-02-14     37
14  2021-02-15     22
15  2021-02-16      2
16  2021-02-17     55
17  2021-02-18    189
18  2021-02-19    217
19  2021-02-20    294
20  2021-02-21    345
21  2021-02-22    334
22  2021-02-23    152
23  2021-02-24     97
24  2021-02-25     72
25  2021-02-26     85
26  2021-02-27    127
27  2021-02-28     67
28  2021-03-01    109
29  2021-03-02    102
30  2021-03-03    130
31  2021-03-04    100
32  2021-03-05    122
33  2021-03-06    100
34  2021-03-07    219
35  2021-03-08    112
36  2021-03-09    257
37  2021-03-10    527
38  2021-03-11    402
39  2021-03-12    360
40  2021-03-13    202
41  2021-03-14    367
42  2021-03-15    264
43  2021-03-16    202
44  2021-03-17    500
45  2021-03-18    772
46  2021-03-19    637
47  2021-03-20    587
48  2021-03-21    645
49  2021-03-22    407
50  2021-03-23    502
51  2021-03-24    282
52  2021-03-25    608
53  2021-03-26    357
54  2021-03-27    470
55  2021-03-28    342
56  2021-03-29    599
57  2021-03-30    360
58  2021-03-31    565
59  2021-04-01    435
60  2021-04-02    304
61  2021-04-03    325
62  2021-04-04    210
63  2021-04-05    367
64  2021-04-06    337
65  2021-04-07    215
66  2021-04-08    212
67  2021-04-09    632
68  2021-04-10    449
69  2021-04-11    552
70  2021-04-12    554
71  2021-04-13    387
72  2021-04-14    285
73  2021-04-15    172
74  2021-04-16    175
75  2021-04-17    239
76  2021-04-18    245
77  2021-04-19    385
78  2021-04-20    312
79  2021-04-21    157
80  2021-04-22    162
81  2021-04-23     47
82  2021-04-24      9
83  2021-04-25     20
84  2021-04-26    207
85  2021-04-27    699
86  2021-04-28    907
87  2021-04-29    739
88  2021-04-30   1192
89  2021-05-01    597
90  2021-05-02    502
91  2021-05-03    572
92  2021-05-04   1637
93  2021-05-05     39
94  2021-05-06     20
95  2021-05-07     22
96  2021-05-08     87
97  2021-05-09     95
98  2021-05-10     35
99  2021-05-11     30
100 2021-05-12     30
101 2021-05-13     52
102 2021-05-14    342
103 2021-05-15   7602
104 2021-05-16     74
105 2021-05-17     70
106 2021-05-18    142
107 2021-05-19    100
108 2021-05-20   2282
109 2021-05-21    650
110 2021-05-22    804
111 2021-05-23   1912
112 2021-05-24   2017
113 2021-05-25    929
114 2021-05-26    672
115 2021-05-27    882
116 2021-05-28    849
117 2021-05-29    912
118 2021-05-30    467
119 2021-05-31    465
120 2021-06-01    172
121 2021-06-02    204
122 2021-06-03    204
123 2021-06-04    264
124 2021-06-05    720
125 2021-06-06    677
126 2021-06-07   3385
127 2021-06-08  11942
128 2021-06-09   4607
129 2021-06-10   1735
130 2021-06-11  20549
131 2021-06-12   2749
132 2021-06-13   1772
133 2021-06-14   2049
134 2021-06-15   2347
135 2021-06-16   1600
136 2021-06-17   1059
137 2021-06-18   1445
138 2021-06-19   1577
139 2021-06-20   1837
140 2021-06-21   1555
141 2021-06-22   1107
142 2021-06-23   1252
143 2021-06-24   2749
144 2021-06-25   1062
145 2021-06-26    652
146 2021-06-27    259
147 2021-06-28    224
148 2021-06-29    184
149 2021-06-30    510
150 2021-07-01   1142
151 2021-07-02   2789
152 2021-07-03   4094
153 2021-07-04   4424
154 2021-07-05   2552
155 2021-07-06   1759
156 2021-07-07    947
157 2021-07-08    882
158 2021-07-09   1085
159 2021-07-10    674
160 2021-07-11    844
161 2021-07-12    737
162 2021-07-13    512
163 2021-07-14    377
164 2021-07-15    739
