          date  data
0   2021-02-01    12
1   2021-02-02    22
2   2021-02-03     9
3   2021-02-04     8
4   2021-02-05     0
5   2021-02-06     4
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10    17
10  2021-02-11    39
11  2021-02-12    20
12  2021-02-13    12
13  2021-02-14     2
14  2021-02-15     4
15  2021-02-16     4
16  2021-02-17     9
17  2021-02-18    20
18  2021-02-19    12
19  2021-02-20    17
20  2021-02-21    20
21  2021-02-22    25
22  2021-02-23    30
23  2021-02-24     4
24  2021-02-25     7
25  2021-02-26     0
26  2021-02-27    12
27  2021-02-28     4
28  2021-03-01    12
29  2021-03-02    12
30  2021-03-03     7
31  2021-03-04     4
32  2021-03-05     4
33  2021-03-06     7
34  2021-03-07     2
35  2021-03-08     0
36  2021-03-09    32
37  2021-03-10    44
38  2021-03-11    25
39  2021-03-12    30
40  2021-03-13    22
41  2021-03-14    27
42  2021-03-15    15
43  2021-03-16    17
44  2021-03-17    30
45  2021-03-18    32
46  2021-03-19    32
47  2021-03-20    55
48  2021-03-21    55
49  2021-03-22    25
50  2021-03-23    37
51  2021-03-24    22
52  2021-03-25    54
53  2021-03-26    35
54  2021-03-27    37
55  2021-03-28    25
56  2021-03-29    72
57  2021-03-30    47
58  2021-03-31    44
59  2021-04-01    32
60  2021-04-02    17
61  2021-04-03    20
62  2021-04-04    12
63  2021-04-05    12
64  2021-04-06    32
65  2021-04-07    15
66  2021-04-08     7
67  2021-04-09    12
68  2021-04-10    25
69  2021-04-11    30
70  2021-04-12    37
71  2021-04-13    25
72  2021-04-14    12
73  2021-04-15     4
74  2021-04-16     9
75  2021-04-17     9
76  2021-04-18     9
77  2021-04-19     9
78  2021-04-20    22
79  2021-04-21     2
80  2021-04-22     2
81  2021-04-23     0
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    12
85  2021-04-27    39
86  2021-04-28    52
87  2021-04-29    47
88  2021-04-30    55
89  2021-05-01    42
90  2021-05-02    25
91  2021-05-03    47
92  2021-05-04   112
93  2021-05-05     4
94  2021-05-06     2
95  2021-05-07     2
96  2021-05-08     4
97  2021-05-09     4
98  2021-05-10     4
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    15
103 2021-05-15   507
104 2021-05-16     4
105 2021-05-17     7
106 2021-05-18     9
107 2021-05-19     7
108 2021-05-20   107
109 2021-05-21    37
110 2021-05-22    37
111 2021-05-23   135
112 2021-05-24   132
113 2021-05-25    49
114 2021-05-26    47
115 2021-05-27    55
116 2021-05-28    52
117 2021-05-29    57
118 2021-05-30    39
119 2021-05-31    12
120 2021-06-01    12
121 2021-06-02    12
122 2021-06-03     7
123 2021-06-04    37
124 2021-06-05    44
125 2021-06-06    39
126 2021-06-07   337
127 2021-06-08   992
128 2021-06-09   315
129 2021-06-10   147
130 2021-06-11  1254
131 2021-06-12   249
132 2021-06-13   170
133 2021-06-14   170
134 2021-06-15   114
135 2021-06-16   107
136 2021-06-17    77
137 2021-06-18    79
138 2021-06-19   140
139 2021-06-20   124
140 2021-06-21   117
141 2021-06-22    72
142 2021-06-23    57
143 2021-06-24   127
144 2021-06-25    70
145 2021-06-26    32
146 2021-06-27    15
147 2021-06-28    20
148 2021-06-29     7
149 2021-06-30    42
150 2021-07-01    82
151 2021-07-02   207
152 2021-07-03   257
153 2021-07-04   242
154 2021-07-05   165
155 2021-07-06   100
156 2021-07-07    62
157 2021-07-08    52
158 2021-07-09    79
159 2021-07-10    67
160 2021-07-11    57
161 2021-07-12    42
162 2021-07-13    47
163 2021-07-14    42
164 2021-07-15    25
