          date data
0   2021-02-01   17
1   2021-02-02   22
2   2021-02-03    2
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10    0
10  2021-02-11   17
11  2021-02-12   15
12  2021-02-13    2
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    9
17  2021-02-18   15
18  2021-02-19    4
19  2021-02-20   25
20  2021-02-21    9
21  2021-02-22   12
22  2021-02-23    7
23  2021-02-24   17
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    4
28  2021-03-01   12
29  2021-03-02    4
30  2021-03-03   12
31  2021-03-04    4
32  2021-03-05    2
33  2021-03-06    7
34  2021-03-07    7
35  2021-03-08   15
36  2021-03-09   17
37  2021-03-10   30
38  2021-03-11    9
39  2021-03-12   20
40  2021-03-13   15
41  2021-03-14   20
42  2021-03-15    4
43  2021-03-16   15
44  2021-03-17   22
45  2021-03-18   39
46  2021-03-19   15
47  2021-03-20   25
48  2021-03-21   17
49  2021-03-22   15
50  2021-03-23   25
51  2021-03-24    2
52  2021-03-25   14
53  2021-03-26   20
54  2021-03-27    4
55  2021-03-28    9
56  2021-03-29   47
57  2021-03-30   15
58  2021-03-31   22
59  2021-04-01    7
60  2021-04-02   12
61  2021-04-03    7
62  2021-04-04    4
63  2021-04-05   20
64  2021-04-06   35
65  2021-04-07   12
66  2021-04-08    0
67  2021-04-09   12
68  2021-04-10   20
69  2021-04-11   20
70  2021-04-12   27
71  2021-04-13   15
72  2021-04-14   12
73  2021-04-15    2
74  2021-04-16   12
75  2021-04-17   12
76  2021-04-18   12
77  2021-04-19    4
78  2021-04-20   15
79  2021-04-21    0
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   47
86  2021-04-28   32
87  2021-04-29   44
88  2021-04-30   35
89  2021-05-01   25
90  2021-05-02   25
91  2021-05-03   20
92  2021-05-04   72
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09    7
98  2021-05-10    4
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  287
104 2021-05-16    2
105 2021-05-17    2
106 2021-05-18    4
107 2021-05-19    2
108 2021-05-20   67
109 2021-05-21   20
110 2021-05-22   20
111 2021-05-23   47
112 2021-05-24   44
113 2021-05-25   30
114 2021-05-26   25
115 2021-05-27   27
116 2021-05-28   35
117 2021-05-29   30
118 2021-05-30    9
119 2021-05-31    2
120 2021-06-01    2
121 2021-06-02    9
122 2021-06-03    4
123 2021-06-04    4
124 2021-06-05   17
125 2021-06-06   20
126 2021-06-07  162
127 2021-06-08  640
128 2021-06-09  294
129 2021-06-10   55
130 2021-06-11  739
131 2021-06-12  119
132 2021-06-13  102
133 2021-06-14   55
134 2021-06-15   67
135 2021-06-16   97
136 2021-06-17   39
137 2021-06-18   47
138 2021-06-19   87
139 2021-06-20   95
140 2021-06-21   42
141 2021-06-22   44
142 2021-06-23   67
143 2021-06-24   97
144 2021-06-25   49
145 2021-06-26    9
146 2021-06-27    9
147 2021-06-28    4
148 2021-06-29    9
149 2021-06-30   25
150 2021-07-01   65
151 2021-07-02  105
152 2021-07-03  177
153 2021-07-04  235
154 2021-07-05   87
155 2021-07-06   62
156 2021-07-07   17
157 2021-07-08   47
158 2021-07-09   35
159 2021-07-10   27
160 2021-07-11   49
161 2021-07-12   52
162 2021-07-13   32
163 2021-07-14   27
164 2021-07-15   27
