          date  data
0   2021-02-01     9
1   2021-02-02    65
2   2021-02-03    30
3   2021-02-04     8
4   2021-02-05     0
5   2021-02-06     0
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    37
10  2021-02-11    74
11  2021-02-12    44
12  2021-02-13     0
13  2021-02-14     2
14  2021-02-15     2
15  2021-02-16     4
16  2021-02-17    17
17  2021-02-18    25
18  2021-02-19    35
19  2021-02-20    27
20  2021-02-21    52
21  2021-02-22    60
22  2021-02-23    12
23  2021-02-24     9
24  2021-02-25     4
25  2021-02-26     7
26  2021-02-27    15
27  2021-02-28    20
28  2021-03-01    20
29  2021-03-02    20
30  2021-03-03    25
31  2021-03-04     2
32  2021-03-05     9
33  2021-03-06    12
34  2021-03-07    27
35  2021-03-08    17
36  2021-03-09    39
37  2021-03-10    60
38  2021-03-11    44
39  2021-03-12    32
40  2021-03-13    27
41  2021-03-14    62
42  2021-03-15    37
43  2021-03-16    22
44  2021-03-17    74
45  2021-03-18    92
46  2021-03-19    42
47  2021-03-20    82
48  2021-03-21    77
49  2021-03-22    32
50  2021-03-23    30
51  2021-03-24    30
52  2021-03-25    50
53  2021-03-26    52
54  2021-03-27    52
55  2021-03-28    32
56  2021-03-29   177
57  2021-03-30    72
58  2021-03-31    95
59  2021-04-01    42
60  2021-04-02    44
61  2021-04-03    42
62  2021-04-04    32
63  2021-04-05    42
64  2021-04-06    37
65  2021-04-07    17
66  2021-04-08    17
67  2021-04-09    67
68  2021-04-10    47
69  2021-04-11    65
70  2021-04-12    35
71  2021-04-13    22
72  2021-04-14    25
73  2021-04-15    17
74  2021-04-16    39
75  2021-04-17    20
76  2021-04-18    17
77  2021-04-19    30
78  2021-04-20    30
79  2021-04-21     7
80  2021-04-22    20
81  2021-04-23     7
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    32
85  2021-04-27   119
86  2021-04-28    49
87  2021-04-29    89
88  2021-04-30   112
89  2021-05-01    65
90  2021-05-02    57
91  2021-05-03    52
92  2021-05-04   172
93  2021-05-05     4
94  2021-05-06     2
95  2021-05-07     2
96  2021-05-08     4
97  2021-05-09    12
98  2021-05-10     9
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    39
103 2021-05-15   844
104 2021-05-16     2
105 2021-05-17     2
106 2021-05-18    15
107 2021-05-19     2
108 2021-05-20   252
109 2021-05-21    62
110 2021-05-22    79
111 2021-05-23   267
112 2021-05-24   217
113 2021-05-25   112
114 2021-05-26    79
115 2021-05-27   109
116 2021-05-28    79
117 2021-05-29   107
118 2021-05-30    82
119 2021-05-31    25
120 2021-06-01     9
121 2021-06-02    35
122 2021-06-03    27
123 2021-06-04    30
124 2021-06-05    92
125 2021-06-06    55
126 2021-06-07   577
127 2021-06-08  1754
128 2021-06-09   582
129 2021-06-10   267
130 2021-06-11  2202
131 2021-06-12   334
132 2021-06-13   275
133 2021-06-14   262
134 2021-06-15   259
135 2021-06-16   237
136 2021-06-17   157
137 2021-06-18   182
138 2021-06-19   187
139 2021-06-20   249
140 2021-06-21   175
141 2021-06-22   114
142 2021-06-23   162
143 2021-06-24   320
144 2021-06-25   142
145 2021-06-26    74
146 2021-06-27    39
147 2021-06-28    47
148 2021-06-29    22
149 2021-06-30    82
150 2021-07-01   149
151 2021-07-02   287
152 2021-07-03   494
153 2021-07-04   517
154 2021-07-05   312
155 2021-07-06   199
156 2021-07-07    82
157 2021-07-08    74
158 2021-07-09   122
159 2021-07-10   122
160 2021-07-11   105
161 2021-07-12   107
162 2021-07-13    49
163 2021-07-14    60
164 2021-07-15    47
