          date  data
0   2021-02-01    17
1   2021-02-02    32
2   2021-02-03    30
3   2021-02-04    14
4   2021-02-05     9
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    39
10  2021-02-11    52
11  2021-02-12    20
12  2021-02-13     4
13  2021-02-14     4
14  2021-02-15    12
15  2021-02-16     4
16  2021-02-17     7
17  2021-02-18    30
18  2021-02-19    25
19  2021-02-20    17
20  2021-02-21    30
21  2021-02-22    32
22  2021-02-23    17
23  2021-02-24     4
24  2021-02-25     9
25  2021-02-26    12
26  2021-02-27     7
27  2021-02-28     4
28  2021-03-01    20
29  2021-03-02    12
30  2021-03-03     9
31  2021-03-04     2
32  2021-03-05     7
33  2021-03-06    15
34  2021-03-07     9
35  2021-03-08     9
36  2021-03-09    32
37  2021-03-10    44
38  2021-03-11    22
39  2021-03-12    20
40  2021-03-13    12
41  2021-03-14    35
42  2021-03-15    15
43  2021-03-16    20
44  2021-03-17    25
45  2021-03-18    65
46  2021-03-19    22
47  2021-03-20    42
48  2021-03-21    65
49  2021-03-22    27
50  2021-03-23    60
51  2021-03-24    12
52  2021-03-25    64
53  2021-03-26    44
54  2021-03-27    37
55  2021-03-28    30
56  2021-03-29   102
57  2021-03-30    44
58  2021-03-31    74
59  2021-04-01    37
60  2021-04-02    25
61  2021-04-03    15
62  2021-04-04    39
63  2021-04-05    39
64  2021-04-06    32
65  2021-04-07    17
66  2021-04-08     4
67  2021-04-09    42
68  2021-04-10    25
69  2021-04-11    47
70  2021-04-12    20
71  2021-04-13    17
72  2021-04-14    22
73  2021-04-15     7
74  2021-04-16     7
75  2021-04-17    22
76  2021-04-18    20
77  2021-04-19    30
78  2021-04-20     7
79  2021-04-21    22
80  2021-04-22     4
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    32
85  2021-04-27    60
86  2021-04-28    62
87  2021-04-29    72
88  2021-04-30    92
89  2021-05-01    72
90  2021-05-02    42
91  2021-05-03    39
92  2021-05-04   132
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     0
97  2021-05-09    12
98  2021-05-10     4
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    27
103 2021-05-15   620
104 2021-05-16    17
105 2021-05-17     2
106 2021-05-18     9
107 2021-05-19    20
108 2021-05-20   149
109 2021-05-21    49
110 2021-05-22    77
111 2021-05-23   145
112 2021-05-24   165
113 2021-05-25    57
114 2021-05-26    52
115 2021-05-27    67
116 2021-05-28    87
117 2021-05-29    67
118 2021-05-30    60
119 2021-05-31    35
120 2021-06-01     7
121 2021-06-02    12
122 2021-06-03     9
123 2021-06-04    30
124 2021-06-05    85
125 2021-06-06    37
126 2021-06-07   292
127 2021-06-08  1130
128 2021-06-09   432
129 2021-06-10   165
130 2021-06-11  1630
131 2021-06-12   239
132 2021-06-13   194
133 2021-06-14   145
134 2021-06-15   124
135 2021-06-16   170
136 2021-06-17    89
137 2021-06-18    82
138 2021-06-19   152
139 2021-06-20   182
140 2021-06-21   137
141 2021-06-22    89
142 2021-06-23    77
143 2021-06-24   229
144 2021-06-25    89
145 2021-06-26    35
146 2021-06-27    35
147 2021-06-28    20
148 2021-06-29    12
149 2021-06-30    52
150 2021-07-01    92
151 2021-07-02   207
152 2021-07-03   365
153 2021-07-04   379
154 2021-07-05   217
155 2021-07-06   170
156 2021-07-07    79
157 2021-07-08    67
158 2021-07-09   105
159 2021-07-10    57
160 2021-07-11    74
161 2021-07-12    70
162 2021-07-13    32
163 2021-07-14    37
164 2021-07-15    35
