          date  data
0   2021-02-01    30
1   2021-02-02    27
2   2021-02-03    44
3   2021-02-04     4
4   2021-02-05     0
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10    17
10  2021-02-11    22
11  2021-02-12    32
12  2021-02-13     4
13  2021-02-14     2
14  2021-02-15     2
15  2021-02-16     2
16  2021-02-17     4
17  2021-02-18     7
18  2021-02-19     7
19  2021-02-20    22
20  2021-02-21    15
21  2021-02-22    17
22  2021-02-23     9
23  2021-02-24     2
24  2021-02-25     2
25  2021-02-26     0
26  2021-02-27    17
27  2021-02-28     4
28  2021-03-01     0
29  2021-03-02     7
30  2021-03-03     4
31  2021-03-04     4
32  2021-03-05     4
33  2021-03-06     0
34  2021-03-07    17
35  2021-03-08     0
36  2021-03-09    25
37  2021-03-10    44
38  2021-03-11    30
39  2021-03-12     9
40  2021-03-13    12
41  2021-03-14    20
42  2021-03-15    20
43  2021-03-16     4
44  2021-03-17    22
45  2021-03-18    35
46  2021-03-19    25
47  2021-03-20    27
48  2021-03-21    32
49  2021-03-22    22
50  2021-03-23    35
51  2021-03-24     9
52  2021-03-25    34
53  2021-03-26    37
54  2021-03-27    22
55  2021-03-28    30
56  2021-03-29    79
57  2021-03-30    52
58  2021-03-31    47
59  2021-04-01    37
60  2021-04-02    25
61  2021-04-03    12
62  2021-04-04     7
63  2021-04-05    17
64  2021-04-06    15
65  2021-04-07    15
66  2021-04-08     4
67  2021-04-09    42
68  2021-04-10     9
69  2021-04-11    27
70  2021-04-12    17
71  2021-04-13     4
72  2021-04-14    17
73  2021-04-15     2
74  2021-04-16    12
75  2021-04-17    17
76  2021-04-18     0
77  2021-04-19    12
78  2021-04-20    22
79  2021-04-21     7
80  2021-04-22     2
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    25
85  2021-04-27    62
86  2021-04-28    55
87  2021-04-29    42
88  2021-04-30    74
89  2021-05-01    44
90  2021-05-02    49
91  2021-05-03    44
92  2021-05-04    95
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08    12
97  2021-05-09     4
98  2021-05-10     4
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    25
103 2021-05-15   462
104 2021-05-16     2
105 2021-05-17     7
106 2021-05-18     9
107 2021-05-19     9
108 2021-05-20   149
109 2021-05-21    65
110 2021-05-22    62
111 2021-05-23   140
112 2021-05-24   162
113 2021-05-25    67
114 2021-05-26    47
115 2021-05-27    39
116 2021-05-28    55
117 2021-05-29    97
118 2021-05-30    30
119 2021-05-31    20
120 2021-06-01    37
121 2021-06-02    22
122 2021-06-03    15
123 2021-06-04    25
124 2021-06-05    87
125 2021-06-06    42
126 2021-06-07   327
127 2021-06-08  1207
128 2021-06-09   500
129 2021-06-10   217
130 2021-06-11  1520
131 2021-06-12   255
132 2021-06-13   269
133 2021-06-14   197
134 2021-06-15   177
135 2021-06-16   170
136 2021-06-17   122
137 2021-06-18   119
138 2021-06-19   149
139 2021-06-20   157
140 2021-06-21   159
141 2021-06-22    95
142 2021-06-23   109
143 2021-06-24   194
144 2021-06-25    74
145 2021-06-26    52
146 2021-06-27    20
147 2021-06-28     9
148 2021-06-29    20
149 2021-06-30    62
150 2021-07-01   114
151 2021-07-02   210
152 2021-07-03   249
153 2021-07-04   355
154 2021-07-05   285
155 2021-07-06   154
156 2021-07-07    79
157 2021-07-08    72
158 2021-07-09   124
159 2021-07-10    82
160 2021-07-11    74
161 2021-07-12    72
162 2021-07-13    57
163 2021-07-14    44
164 2021-07-15    39
