          date  data
0   2021-02-01     7
1   2021-02-02    35
2   2021-02-03     9
3   2021-02-04     4
4   2021-02-05     7
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     7
9   2021-02-10    20
10  2021-02-11    42
11  2021-02-12    17
12  2021-02-13     4
13  2021-02-14     7
14  2021-02-15     4
15  2021-02-16     0
16  2021-02-17     9
17  2021-02-18    30
18  2021-02-19    22
19  2021-02-20    30
20  2021-02-21    55
21  2021-02-22    25
22  2021-02-23    42
23  2021-02-24     4
24  2021-02-25     7
25  2021-02-26     9
26  2021-02-27     9
27  2021-02-28     7
28  2021-03-01    15
29  2021-03-02     9
30  2021-03-03     2
31  2021-03-04     4
32  2021-03-05     7
33  2021-03-06     0
34  2021-03-07    27
35  2021-03-08    12
36  2021-03-09    37
37  2021-03-10    37
38  2021-03-11    30
39  2021-03-12    20
40  2021-03-13    17
41  2021-03-14    22
42  2021-03-15    35
43  2021-03-16    12
44  2021-03-17    32
45  2021-03-18    65
46  2021-03-19    55
47  2021-03-20    52
48  2021-03-21    25
49  2021-03-22    42
50  2021-03-23    32
51  2021-03-24    20
52  2021-03-25    74
53  2021-03-26    47
54  2021-03-27    30
55  2021-03-28    25
56  2021-03-29   114
57  2021-03-30    92
58  2021-03-31    42
59  2021-04-01    35
60  2021-04-02    30
61  2021-04-03    27
62  2021-04-04    15
63  2021-04-05    39
64  2021-04-06    55
65  2021-04-07    25
66  2021-04-08    15
67  2021-04-09    57
68  2021-04-10    12
69  2021-04-11    47
70  2021-04-12    17
71  2021-04-13    15
72  2021-04-14     4
73  2021-04-15    20
74  2021-04-16    20
75  2021-04-17    15
76  2021-04-18    37
77  2021-04-19    22
78  2021-04-20    25
79  2021-04-21    17
80  2021-04-22     4
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    15
85  2021-04-27    74
86  2021-04-28    22
87  2021-04-29    49
88  2021-04-30    82
89  2021-05-01    42
90  2021-05-02    35
91  2021-05-03    32
92  2021-05-04   107
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     4
97  2021-05-09     0
98  2021-05-10     4
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    20
103 2021-05-15   494
104 2021-05-16     4
105 2021-05-17     0
106 2021-05-18     7
107 2021-05-19     4
108 2021-05-20   175
109 2021-05-21    49
110 2021-05-22    35
111 2021-05-23   114
112 2021-05-24   102
113 2021-05-25    44
114 2021-05-26    44
115 2021-05-27    62
116 2021-05-28    44
117 2021-05-29    62
118 2021-05-30    30
119 2021-05-31    15
120 2021-06-01     9
121 2021-06-02    17
122 2021-06-03    17
123 2021-06-04    20
124 2021-06-05    57
125 2021-06-06    62
126 2021-06-07   287
127 2021-06-08   867
128 2021-06-09   294
129 2021-06-10   145
130 2021-06-11  1114
131 2021-06-12   194
132 2021-06-13   135
133 2021-06-14   119
134 2021-06-15    87
135 2021-06-16   142
136 2021-06-17    77
137 2021-06-18    89
138 2021-06-19   119
139 2021-06-20   107
140 2021-06-21    82
141 2021-06-22    57
142 2021-06-23    97
143 2021-06-24   227
144 2021-06-25    95
145 2021-06-26    49
146 2021-06-27    15
147 2021-06-28    20
148 2021-06-29    17
149 2021-06-30    17
150 2021-07-01    74
151 2021-07-02   154
152 2021-07-03   287
153 2021-07-04   310
154 2021-07-05   162
155 2021-07-06   112
156 2021-07-07    47
157 2021-07-08    49
158 2021-07-09    57
159 2021-07-10    55
160 2021-07-11    70
161 2021-07-12    85
162 2021-07-13    32
163 2021-07-14    30
164 2021-07-15    32
