          date data
0   2021-02-01    4
1   2021-02-02   20
2   2021-02-03   15
3   2021-02-04    4
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10    4
10  2021-02-11   20
11  2021-02-12    2
12  2021-02-13    0
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18    7
18  2021-02-19    9
19  2021-02-20   12
20  2021-02-21    9
21  2021-02-22   12
22  2021-02-23   15
23  2021-02-24    4
24  2021-02-25    2
25  2021-02-26    7
26  2021-02-27    0
27  2021-02-28    7
28  2021-03-01    2
29  2021-03-02    0
30  2021-03-03    0
31  2021-03-04   15
32  2021-03-05    2
33  2021-03-06    4
34  2021-03-07    0
35  2021-03-08    7
36  2021-03-09   17
37  2021-03-10   20
38  2021-03-11   17
39  2021-03-12   12
40  2021-03-13    4
41  2021-03-14    0
42  2021-03-15    4
43  2021-03-16   17
44  2021-03-17   22
45  2021-03-18   30
46  2021-03-19    4
47  2021-03-20   17
48  2021-03-21   20
49  2021-03-22    4
50  2021-03-23   20
51  2021-03-24   20
52  2021-03-25   18
53  2021-03-26   27
54  2021-03-27   17
55  2021-03-28   27
56  2021-03-29  102
57  2021-03-30   37
58  2021-03-31   22
59  2021-04-01   12
60  2021-04-02    9
61  2021-04-03    7
62  2021-04-04    7
63  2021-04-05   12
64  2021-04-06   12
65  2021-04-07    7
66  2021-04-08    4
67  2021-04-09   27
68  2021-04-10   17
69  2021-04-11   20
70  2021-04-12   25
71  2021-04-13    7
72  2021-04-14    4
73  2021-04-15   12
74  2021-04-16   12
75  2021-04-17    7
76  2021-04-18   15
77  2021-04-19    7
78  2021-04-20   15
79  2021-04-21    2
80  2021-04-22    7
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   37
86  2021-04-28   25
87  2021-04-29   15
88  2021-04-30   39
89  2021-05-01   32
90  2021-05-02   17
91  2021-05-03   32
92  2021-05-04   47
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09    7
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14   17
103 2021-05-15  327
104 2021-05-16   12
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    9
108 2021-05-20   79
109 2021-05-21   15
110 2021-05-22   52
111 2021-05-23   97
112 2021-05-24   89
113 2021-05-25   35
114 2021-05-26   22
115 2021-05-27   49
116 2021-05-28   17
117 2021-05-29   42
118 2021-05-30   12
119 2021-05-31   17
120 2021-06-01    7
121 2021-06-02   12
122 2021-06-03   15
123 2021-06-04   20
124 2021-06-05   39
125 2021-06-06   35
126 2021-06-07  167
127 2021-06-08  522
128 2021-06-09  202
129 2021-06-10   74
130 2021-06-11  580
131 2021-06-12  130
132 2021-06-13  105
133 2021-06-14   77
134 2021-06-15   49
135 2021-06-16   72
136 2021-06-17   60
137 2021-06-18   57
138 2021-06-19   92
139 2021-06-20   79
140 2021-06-21   70
141 2021-06-22   22
142 2021-06-23   62
143 2021-06-24  135
144 2021-06-25   57
145 2021-06-26   32
146 2021-06-27   35
147 2021-06-28    0
148 2021-06-29    2
149 2021-06-30   42
150 2021-07-01   89
151 2021-07-02  109
152 2021-07-03  199
153 2021-07-04  140
154 2021-07-05   92
155 2021-07-06   74
156 2021-07-07   42
157 2021-07-08   52
158 2021-07-09   37
159 2021-07-10   39
160 2021-07-11   32
161 2021-07-12   22
162 2021-07-13   22
163 2021-07-14   15
164 2021-07-15    9
