          date   data
0   2021-02-01    347
1   2021-02-02   1169
2   2021-02-03    807
3   2021-02-04    384
4   2021-02-05    130
5   2021-02-06     47
6   2021-02-07     27
7   2021-02-08      7
8   2021-02-09    175
9   2021-02-10    670
10  2021-02-11   1109
11  2021-02-12    627
12  2021-02-13    204
13  2021-02-14     97
14  2021-02-15     72
15  2021-02-16     37
16  2021-02-17    237
17  2021-02-18    492
18  2021-02-19    500
19  2021-02-20    650
20  2021-02-21    794
21  2021-02-22    752
22  2021-02-23    432
23  2021-02-24    229
24  2021-02-25    142
25  2021-02-26    167
26  2021-02-27    290
27  2021-02-28    187
28  2021-03-01    302
29  2021-03-02    277
30  2021-03-03    272
31  2021-03-04    227
32  2021-03-05    235
33  2021-03-06    194
34  2021-03-07    454
35  2021-03-08    340
36  2021-03-09    765
37  2021-03-10   1317
38  2021-03-11    922
39  2021-03-12    717
40  2021-03-13    512
41  2021-03-14    849
42  2021-03-15    580
43  2021-03-16    530
44  2021-03-17   1152
45  2021-03-18   1735
46  2021-03-19   1270
47  2021-03-20   1345
48  2021-03-21   1370
49  2021-03-22    919
50  2021-03-23   1147
51  2021-03-24    582
52  2021-03-25   1490
53  2021-03-26    957
54  2021-03-27   1092
55  2021-03-28    782
56  2021-03-29   2349
57  2021-03-30   1300
58  2021-03-31   1460
59  2021-04-01   1010
60  2021-04-02    697
61  2021-04-03    685
62  2021-04-04    487
63  2021-04-05    835
64  2021-04-06    814
65  2021-04-07    447
66  2021-04-08    430
67  2021-04-09   1317
68  2021-04-10    860
69  2021-04-11   1179
70  2021-04-12   1107
71  2021-04-13    722
72  2021-04-14    535
73  2021-04-15    352
74  2021-04-16    432
75  2021-04-17    512
76  2021-04-18    537
77  2021-04-19    755
78  2021-04-20    667
79  2021-04-21    290
80  2021-04-22    297
81  2021-04-23     85
82  2021-04-24     27
83  2021-04-25     25
84  2021-04-26    554
85  2021-04-27   1804
86  2021-04-28   1892
87  2021-04-29   1697
88  2021-04-30   2575
89  2021-05-01   1474
90  2021-05-02   1200
91  2021-05-03   1392
92  2021-05-04   3530
93  2021-05-05     92
94  2021-05-06     60
95  2021-05-07     55
96  2021-05-08    162
97  2021-05-09    217
98  2021-05-10    107
99  2021-05-11     49
100 2021-05-12     44
101 2021-05-13     95
102 2021-05-14    749
103 2021-05-15  16272
104 2021-05-16    165
105 2021-05-17    135
106 2021-05-18    285
107 2021-05-19    217
108 2021-05-20   4727
109 2021-05-21   1392
110 2021-05-22   1719
111 2021-05-23   4329
112 2021-05-24   4572
113 2021-05-25   2054
114 2021-05-26   1532
115 2021-05-27   1944
116 2021-05-28   1827
117 2021-05-29   2234
118 2021-05-30   1155
119 2021-05-31    887
120 2021-06-01    432
121 2021-06-02    517
122 2021-06-03    519
123 2021-06-04    624
124 2021-06-05   1689
125 2021-06-06   1452
126 2021-06-07   9114
127 2021-06-08  29979
128 2021-06-09  11259
129 2021-06-10   4549
130 2021-06-11  45337
131 2021-06-12   6834
132 2021-06-13   4855
133 2021-06-14   4694
134 2021-06-15   4579
135 2021-06-16   4162
136 2021-06-17   2639
137 2021-06-18   3430
138 2021-06-19   3924
139 2021-06-20   4405
140 2021-06-21   3712
141 2021-06-22   2467
142 2021-06-23   2894
143 2021-06-24   6199
144 2021-06-25   2505
145 2021-06-26   1450
146 2021-06-27    714
147 2021-06-28    532
148 2021-06-29    472
149 2021-06-30   1287
150 2021-07-01   2824
151 2021-07-02   5917
152 2021-07-03   9044
153 2021-07-04   9934
154 2021-07-05   5717
155 2021-07-06   4067
156 2021-07-07   2040
157 2021-07-08   2030
158 2021-07-09   2502
159 2021-07-10   1677
160 2021-07-11   1920
161 2021-07-12   1780
162 2021-07-13   1317
163 2021-07-14   1095
164 2021-07-15   2587
