          date  data
0   2021-02-01     4
1   2021-02-02    32
2   2021-02-03    20
3   2021-02-04    18
4   2021-02-05     7
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09    30
9   2021-02-10    15
10  2021-02-11    39
11  2021-02-12    17
12  2021-02-13     7
13  2021-02-14     7
14  2021-02-15     4
15  2021-02-16     4
16  2021-02-17     7
17  2021-02-18    20
18  2021-02-19    12
19  2021-02-20    37
20  2021-02-21    22
21  2021-02-22    25
22  2021-02-23    22
23  2021-02-24     4
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27     4
27  2021-02-28     2
28  2021-03-01     7
29  2021-03-02    12
30  2021-03-03    12
31  2021-03-04     0
32  2021-03-05     0
33  2021-03-06    12
34  2021-03-07     7
35  2021-03-08     4
36  2021-03-09    30
37  2021-03-10    52
38  2021-03-11    42
39  2021-03-12    27
40  2021-03-13    22
41  2021-03-14    17
42  2021-03-15    12
43  2021-03-16    20
44  2021-03-17    39
45  2021-03-18    52
46  2021-03-19    32
47  2021-03-20    82
48  2021-03-21    65
49  2021-03-22    42
50  2021-03-23    82
51  2021-03-24     7
52  2021-03-25    54
53  2021-03-26    55
54  2021-03-27    44
55  2021-03-28     2
56  2021-03-29   112
57  2021-03-30    35
58  2021-03-31    49
59  2021-04-01    27
60  2021-04-02    15
61  2021-04-03    20
62  2021-04-04    12
63  2021-04-05     9
64  2021-04-06    12
65  2021-04-07     7
66  2021-04-08    17
67  2021-04-09    37
68  2021-04-10    35
69  2021-04-11    32
70  2021-04-12    39
71  2021-04-13    17
72  2021-04-14    15
73  2021-04-15     4
74  2021-04-16     7
75  2021-04-17    17
76  2021-04-18     4
77  2021-04-19     7
78  2021-04-20    12
79  2021-04-21     4
80  2021-04-22     7
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     4
85  2021-04-27    55
86  2021-04-28    47
87  2021-04-29    30
88  2021-04-30    97
89  2021-05-01    32
90  2021-05-02    27
91  2021-05-03    39
92  2021-05-04    85
93  2021-05-05     2
94  2021-05-06     0
95  2021-05-07     4
96  2021-05-08     0
97  2021-05-09    12
98  2021-05-10     2
99  2021-05-11     7
100 2021-05-12     2
101 2021-05-13     7
102 2021-05-14    25
103 2021-05-15   559
104 2021-05-16     2
105 2021-05-17     4
106 2021-05-18     2
107 2021-05-19     9
108 2021-05-20    92
109 2021-05-21    49
110 2021-05-22    37
111 2021-05-23    95
112 2021-05-24    77
113 2021-05-25    47
114 2021-05-26    30
115 2021-05-27    37
116 2021-05-28    44
117 2021-05-29    55
118 2021-05-30    35
119 2021-05-31    20
120 2021-06-01     7
121 2021-06-02    12
122 2021-06-03    32
123 2021-06-04    15
124 2021-06-05    37
125 2021-06-06    32
126 2021-06-07   237
127 2021-06-08   755
128 2021-06-09   297
129 2021-06-10   154
130 2021-06-11  1267
131 2021-06-12   215
132 2021-06-13    77
133 2021-06-14   124
134 2021-06-15    79
135 2021-06-16   112
136 2021-06-17    52
137 2021-06-18    77
138 2021-06-19   119
139 2021-06-20   117
140 2021-06-21    89
141 2021-06-22    60
142 2021-06-23    47
143 2021-06-24   182
144 2021-06-25    44
145 2021-06-26    55
146 2021-06-27    15
147 2021-06-28     7
148 2021-06-29    15
149 2021-06-30    30
150 2021-07-01    77
151 2021-07-02   172
152 2021-07-03   247
153 2021-07-04   227
154 2021-07-05   149
155 2021-07-06   114
156 2021-07-07    47
157 2021-07-08    72
158 2021-07-09    72
159 2021-07-10    44
160 2021-07-11    37
161 2021-07-12    57
162 2021-07-13    39
163 2021-07-14    22
164 2021-07-15    32
