          date  data
0   2021-02-01    97
1   2021-02-02   159
2   2021-02-03    74
3   2021-02-04    60
4   2021-02-05    32
5   2021-02-06     9
6   2021-02-07     4
7   2021-02-08     2
8   2021-02-09    17
9   2021-02-10    82
10  2021-02-11   124
11  2021-02-12    67
12  2021-02-13    32
13  2021-02-14     9
14  2021-02-15    17
15  2021-02-16     2
16  2021-02-17    22
17  2021-02-18    47
18  2021-02-19    60
19  2021-02-20    87
20  2021-02-21    95
21  2021-02-22   107
22  2021-02-23    65
23  2021-02-24    27
24  2021-02-25    17
25  2021-02-26    15
26  2021-02-27    39
27  2021-02-28    17
28  2021-03-01    25
29  2021-03-02    25
30  2021-03-03    30
31  2021-03-04    30
32  2021-03-05    17
33  2021-03-06    20
34  2021-03-07    32
35  2021-03-08    30
36  2021-03-09    52
37  2021-03-10   165
38  2021-03-11    92
39  2021-03-12    89
40  2021-03-13    60
41  2021-03-14    74
42  2021-03-15    47
43  2021-03-16    52
44  2021-03-17   117
45  2021-03-18   167
46  2021-03-19   107
47  2021-03-20   137
48  2021-03-21   105
49  2021-03-22    85
50  2021-03-23   117
51  2021-03-24    67
52  2021-03-25   154
53  2021-03-26   105
54  2021-03-27    97
55  2021-03-28    82
56  2021-03-29   315
57  2021-03-30   154
58  2021-03-31   180
59  2021-04-01    95
60  2021-04-02    57
61  2021-04-03    70
62  2021-04-04    47
63  2021-04-05    52
64  2021-04-06    67
65  2021-04-07    42
66  2021-04-08    27
67  2021-04-09   105
68  2021-04-10    82
69  2021-04-11   105
70  2021-04-12   105
71  2021-04-13    74
72  2021-04-14    65
73  2021-04-15    20
74  2021-04-16    25
75  2021-04-17    44
76  2021-04-18    67
77  2021-04-19    35
78  2021-04-20    35
79  2021-04-21    25
80  2021-04-22    15
81  2021-04-23    17
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    30
85  2021-04-27   172
86  2021-04-28   152
87  2021-04-29   177
88  2021-04-30   262
89  2021-05-01   182
90  2021-05-02   127
91  2021-05-03   165
92  2021-05-04   345
93  2021-05-05     9
94  2021-05-06     0
95  2021-05-07     9
96  2021-05-08    15
97  2021-05-09    20
98  2021-05-10     9
99  2021-05-11     9
100 2021-05-12     2
101 2021-05-13    22
102 2021-05-14    79
103 2021-05-15  1817
104 2021-05-16     7
105 2021-05-17     9
106 2021-05-18    12
107 2021-05-19    20
108 2021-05-20   484
109 2021-05-21   165
110 2021-05-22   199
111 2021-05-23   385
112 2021-05-24   402
113 2021-05-25   255
114 2021-05-26   140
115 2021-05-27   187
116 2021-05-28   207
117 2021-05-29   282
118 2021-05-30    85
119 2021-05-31    70
120 2021-06-01    22
121 2021-06-02    49
122 2021-06-03    55
123 2021-06-04    67
124 2021-06-05   154
125 2021-06-06   119
126 2021-06-07  1040
127 2021-06-08  3612
128 2021-06-09  1670
129 2021-06-10   650
130 2021-06-11  6792
131 2021-06-12   912
132 2021-06-13   479
133 2021-06-14   562
134 2021-06-15   457
135 2021-06-16   474
136 2021-06-17   282
137 2021-06-18   365
138 2021-06-19   442
139 2021-06-20   424
140 2021-06-21   302
141 2021-06-22   287
142 2021-06-23   272
143 2021-06-24   577
144 2021-06-25   262
145 2021-06-26   147
146 2021-06-27    70
147 2021-06-28    35
148 2021-06-29    35
149 2021-06-30   170
150 2021-07-01   285
151 2021-07-02   800
152 2021-07-03   929
153 2021-07-04   790
154 2021-07-05   552
155 2021-07-06   299
156 2021-07-07   207
157 2021-07-08   184
158 2021-07-09   269
159 2021-07-10   132
160 2021-07-11   130
161 2021-07-12   192
162 2021-07-13   154
163 2021-07-14   117
164 2021-07-15   112
