          date  data
0   2021-02-01     9
1   2021-02-02    37
2   2021-02-03    25
3   2021-02-04    18
4   2021-02-05     9
5   2021-02-06     0
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10    22
10  2021-02-11    37
11  2021-02-12    27
12  2021-02-13     4
13  2021-02-14     2
14  2021-02-15     2
15  2021-02-16     2
16  2021-02-17     2
17  2021-02-18     9
18  2021-02-19    15
19  2021-02-20     9
20  2021-02-21    25
21  2021-02-22    35
22  2021-02-23     4
23  2021-02-24     4
24  2021-02-25     7
25  2021-02-26     7
26  2021-02-27    22
27  2021-02-28     4
28  2021-03-01    17
29  2021-03-02    20
30  2021-03-03    15
31  2021-03-04     2
32  2021-03-05    12
33  2021-03-06     7
34  2021-03-07     4
35  2021-03-08    17
36  2021-03-09    22
37  2021-03-10    65
38  2021-03-11    22
39  2021-03-12    44
40  2021-03-13     7
41  2021-03-14    27
42  2021-03-15    17
43  2021-03-16    12
44  2021-03-17    27
45  2021-03-18    25
46  2021-03-19    39
47  2021-03-20    35
48  2021-03-21    22
49  2021-03-22    25
50  2021-03-23    35
51  2021-03-24    15
52  2021-03-25    40
53  2021-03-26    25
54  2021-03-27    25
55  2021-03-28    32
56  2021-03-29   127
57  2021-03-30    57
58  2021-03-31    47
59  2021-04-01    22
60  2021-04-02    12
61  2021-04-03    17
62  2021-04-04    15
63  2021-04-05    22
64  2021-04-06    27
65  2021-04-07     2
66  2021-04-08     7
67  2021-04-09    30
68  2021-04-10    49
69  2021-04-11    32
70  2021-04-12    15
71  2021-04-13     9
72  2021-04-14     9
73  2021-04-15     9
74  2021-04-16    25
75  2021-04-17    22
76  2021-04-18    12
77  2021-04-19    12
78  2021-04-20     9
79  2021-04-21     4
80  2021-04-22    12
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    25
85  2021-04-27    39
86  2021-04-28    49
87  2021-04-29    57
88  2021-04-30    79
89  2021-05-01    57
90  2021-05-02    70
91  2021-05-03    65
92  2021-05-04    95
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     4
96  2021-05-08     2
97  2021-05-09     4
98  2021-05-10     2
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    32
103 2021-05-15   522
104 2021-05-16    12
105 2021-05-17     2
106 2021-05-18     4
107 2021-05-19    17
108 2021-05-20   122
109 2021-05-21    32
110 2021-05-22    47
111 2021-05-23    87
112 2021-05-24    97
113 2021-05-25    82
114 2021-05-26    44
115 2021-05-27    35
116 2021-05-28    27
117 2021-05-29    67
118 2021-05-30    37
119 2021-05-31    12
120 2021-06-01     9
121 2021-06-02    15
122 2021-06-03     4
123 2021-06-04    12
124 2021-06-05    57
125 2021-06-06    39
126 2021-06-07   275
127 2021-06-08  1017
128 2021-06-09   447
129 2021-06-10   197
130 2021-06-11  1437
131 2021-06-12   329
132 2021-06-13   202
133 2021-06-14   197
134 2021-06-15   127
135 2021-06-16   142
136 2021-06-17    74
137 2021-06-18   114
138 2021-06-19    87
139 2021-06-20    85
140 2021-06-21   102
141 2021-06-22    77
142 2021-06-23    95
143 2021-06-24   149
144 2021-06-25    52
145 2021-06-26    52
146 2021-06-27    17
147 2021-06-28     7
148 2021-06-29     4
149 2021-06-30    35
150 2021-07-01    82
151 2021-07-02   204
152 2021-07-03   407
153 2021-07-04   229
154 2021-07-05   172
155 2021-07-06    89
156 2021-07-07    72
157 2021-07-08    62
158 2021-07-09    72
159 2021-07-10    89
160 2021-07-11    62
161 2021-07-12    44
162 2021-07-13    62
163 2021-07-14    35
164 2021-07-15    15
