          date  data
0   2021-02-01    57
1   2021-02-02   112
2   2021-02-03    35
3   2021-02-04    34
4   2021-02-05    20
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09    17
9   2021-02-10    65
10  2021-02-11    72
11  2021-02-12    55
12  2021-02-13    17
13  2021-02-14     7
14  2021-02-15     7
15  2021-02-16     7
16  2021-02-17    20
17  2021-02-18    70
18  2021-02-19    44
19  2021-02-20    52
20  2021-02-21    72
21  2021-02-22    72
22  2021-02-23    30
23  2021-02-24    32
24  2021-02-25    17
25  2021-02-26    25
26  2021-02-27    22
27  2021-02-28    25
28  2021-03-01    27
29  2021-03-02    15
30  2021-03-03     9
31  2021-03-04    27
32  2021-03-05    22
33  2021-03-06    20
34  2021-03-07    42
35  2021-03-08    27
36  2021-03-09    67
37  2021-03-10   117
38  2021-03-11    57
39  2021-03-12    37
40  2021-03-13    37
41  2021-03-14   112
42  2021-03-15    49
43  2021-03-16    32
44  2021-03-17    92
45  2021-03-18   137
46  2021-03-19    62
47  2021-03-20   147
48  2021-03-21   112
49  2021-03-22    57
50  2021-03-23    47
51  2021-03-24    30
52  2021-03-25   110
53  2021-03-26    47
54  2021-03-27   100
55  2021-03-28    44
56  2021-03-29   329
57  2021-03-30   137
58  2021-03-31   142
59  2021-04-01    57
60  2021-04-02    22
61  2021-04-03    35
62  2021-04-04    27
63  2021-04-05    72
64  2021-04-06    62
65  2021-04-07    22
66  2021-04-08    15
67  2021-04-09    77
68  2021-04-10    30
69  2021-04-11    95
70  2021-04-12   107
71  2021-04-13    44
72  2021-04-14    44
73  2021-04-15    15
74  2021-04-16    37
75  2021-04-17    42
76  2021-04-18    49
77  2021-04-19    27
78  2021-04-20    49
79  2021-04-21    12
80  2021-04-22     7
81  2021-04-23     2
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    15
85  2021-04-27    70
86  2021-04-28    92
87  2021-04-29    82
88  2021-04-30   132
89  2021-05-01    57
90  2021-05-02    55
91  2021-05-03    70
92  2021-05-04   157
93  2021-05-05    12
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08    17
97  2021-05-09    25
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     2
101 2021-05-13     9
102 2021-05-14    37
103 2021-05-15  1069
104 2021-05-16     7
105 2021-05-17     7
106 2021-05-18     4
107 2021-05-19     4
108 2021-05-20   267
109 2021-05-21    65
110 2021-05-22   102
111 2021-05-23   177
112 2021-05-24   202
113 2021-05-25    85
114 2021-05-26    39
115 2021-05-27    72
116 2021-05-28    74
117 2021-05-29   132
118 2021-05-30    37
119 2021-05-31    25
120 2021-06-01    20
121 2021-06-02    17
122 2021-06-03    22
123 2021-06-04    32
124 2021-06-05    89
125 2021-06-06    70
126 2021-06-07   379
127 2021-06-08  1457
128 2021-06-09   557
129 2021-06-10   292
130 2021-06-11  2522
131 2021-06-12   367
132 2021-06-13   237
133 2021-06-14   269
134 2021-06-15   175
135 2021-06-16   180
136 2021-06-17   145
137 2021-06-18   149
138 2021-06-19   170
139 2021-06-20   197
140 2021-06-21   152
141 2021-06-22    79
142 2021-06-23   109
143 2021-06-24   282
144 2021-06-25   137
145 2021-06-26    95
146 2021-06-27    42
147 2021-06-28    25
148 2021-06-29    42
149 2021-06-30    74
150 2021-07-01   145
151 2021-07-02   457
152 2021-07-03   575
153 2021-07-04   449
154 2021-07-05   320
155 2021-07-06   130
156 2021-07-07   142
157 2021-07-08    72
158 2021-07-09   112
159 2021-07-10    62
160 2021-07-11   107
161 2021-07-12   109
162 2021-07-13    70
163 2021-07-14    35
164 2021-07-15    39
