          date   data
0   2021-02-01    779
1   2021-02-02   1825
2   2021-02-03    964
3   2021-02-04    608
4   2021-02-05    317
5   2021-02-06    114
6   2021-02-07     42
7   2021-02-08     52
8   2021-02-09    327
9   2021-02-10   1130
10  2021-02-11   1777
11  2021-02-12   1057
12  2021-02-13    424
13  2021-02-14    170
14  2021-02-15    180
15  2021-02-16    107
16  2021-02-17    379
17  2021-02-18    945
18  2021-02-19    835
19  2021-02-20   1232
20  2021-02-21   1319
21  2021-02-22   1310
22  2021-02-23    745
23  2021-02-24    282
24  2021-02-25    219
25  2021-02-26    229
26  2021-02-27    535
27  2021-02-28    280
28  2021-03-01    522
29  2021-03-02    472
30  2021-03-03    387
31  2021-03-04    467
32  2021-03-05    352
33  2021-03-06    367
34  2021-03-07    629
35  2021-03-08    437
36  2021-03-09   1227
37  2021-03-10   2297
38  2021-03-11   1352
39  2021-03-12   1165
40  2021-03-13    790
41  2021-03-14   1424
42  2021-03-15    774
43  2021-03-16    745
44  2021-03-17   1727
45  2021-03-18   2592
46  2021-03-19   1747
47  2021-03-20   2242
48  2021-03-21   1960
49  2021-03-22   1407
50  2021-03-23   1597
51  2021-03-24    887
52  2021-03-25   2310
53  2021-03-26   1477
54  2021-03-27   1537
55  2021-03-28   1134
56  2021-03-29   4867
57  2021-03-30   2462
58  2021-03-31   2384
59  2021-04-01   1387
60  2021-04-02    897
61  2021-04-03    882
62  2021-04-04    702
63  2021-04-05   1307
64  2021-04-06   1059
65  2021-04-07    452
66  2021-04-08    565
67  2021-04-09   1965
68  2021-04-10   1310
69  2021-04-11   1769
70  2021-04-12   1729
71  2021-04-13   1069
72  2021-04-14    685
73  2021-04-15    407
74  2021-04-16    572
75  2021-04-17    787
76  2021-04-18    747
77  2021-04-19    872
78  2021-04-20    722
79  2021-04-21    352
80  2021-04-22    342
81  2021-04-23    112
82  2021-04-24     17
83  2021-04-25     27
84  2021-04-26    575
85  2021-04-27   2145
86  2021-04-28   2674
87  2021-04-29   2454
88  2021-04-30   4027
89  2021-05-01   2064
90  2021-05-02   1649
91  2021-05-03   2122
92  2021-05-04   4440
93  2021-05-05    140
94  2021-05-06    124
95  2021-05-07    105
96  2021-05-08    224
97  2021-05-09      0
98  2021-05-10    177
99  2021-05-11    119
100 2021-05-12     70
101 2021-05-13    170
102 2021-05-14   1032
103 2021-05-15  26084
104 2021-05-16    199
105 2021-05-17    207
106 2021-05-18    290
107 2021-05-19    285
108 2021-05-20   7359
109 2021-05-21   2300
110 2021-05-22   2767
111 2021-05-23   5180
112 2021-05-24   5002
113 2021-05-25   2740
114 2021-05-26   1877
115 2021-05-27   2532
116 2021-05-28   2532
117 2021-05-29   2937
118 2021-05-30   1457
119 2021-05-31   1109
120 2021-06-01    474
121 2021-06-02    709
122 2021-06-03    745
123 2021-06-04    865
124 2021-06-05   2122
125 2021-06-06   1742
126 2021-06-07  11424
127 2021-06-08  41292
128 2021-06-09  18517
129 2021-06-10   8347
130 2021-06-11  80412
131 2021-06-12  10564
132 2021-06-13   6297
133 2021-06-14   6474
134 2021-06-15   5269
135 2021-06-16   5952
136 2021-06-17   3615
137 2021-06-18   4529
138 2021-06-19   5399
139 2021-06-20   5667
140 2021-06-21   4197
141 2021-06-22   3205
142 2021-06-23   3472
143 2021-06-24   6997
144 2021-06-25   3117
145 2021-06-26   2327
146 2021-06-27    910
147 2021-06-28    760
148 2021-06-29    714
149 2021-06-30   1862
150 2021-07-01   3919
151 2021-07-02  11047
152 2021-07-03  12919
153 2021-07-04  11477
154 2021-07-05   7554
155 2021-07-06   4942
156 2021-07-07   2689
157 2021-07-08   2437
158 2021-07-09   3489
159 2021-07-10   2252
160 2021-07-11   2205
161 2021-07-12   2594
162 2021-07-13   1879
163 2021-07-14   1345
164 2021-07-15   1315
