          date  data
0   2021-02-01    20
1   2021-02-02    52
2   2021-02-03    30
3   2021-02-04    40
4   2021-02-05     9
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08    20
8   2021-02-09     0
9   2021-02-10    37
10  2021-02-11    62
11  2021-02-12    44
12  2021-02-13    15
13  2021-02-14     9
14  2021-02-15     2
15  2021-02-16     9
16  2021-02-17     9
17  2021-02-18    35
18  2021-02-19    20
19  2021-02-20    44
20  2021-02-21    35
21  2021-02-22    30
22  2021-02-23    17
23  2021-02-24     0
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27    17
27  2021-02-28     9
28  2021-03-01    25
29  2021-03-02    27
30  2021-03-03     9
31  2021-03-04    25
32  2021-03-05    17
33  2021-03-06    12
34  2021-03-07    15
35  2021-03-08    12
36  2021-03-09    25
37  2021-03-10   109
38  2021-03-11    47
39  2021-03-12    32
40  2021-03-13    20
41  2021-03-14    25
42  2021-03-15    32
43  2021-03-16    32
44  2021-03-17    44
45  2021-03-18    70
46  2021-03-19    47
47  2021-03-20    77
48  2021-03-21    72
49  2021-03-22    30
50  2021-03-23    27
51  2021-03-24    15
52  2021-03-25    50
53  2021-03-26    39
54  2021-03-27    22
55  2021-03-28    27
56  2021-03-29    77
57  2021-03-30    77
58  2021-03-31    55
59  2021-04-01    42
60  2021-04-02    17
61  2021-04-03     9
62  2021-04-04    17
63  2021-04-05    27
64  2021-04-06    32
65  2021-04-07     7
66  2021-04-08     7
67  2021-04-09    22
68  2021-04-10    17
69  2021-04-11    32
70  2021-04-12    25
71  2021-04-13    22
72  2021-04-14    15
73  2021-04-15    17
74  2021-04-16    17
75  2021-04-17    20
76  2021-04-18    12
77  2021-04-19    27
78  2021-04-20    25
79  2021-04-21     4
80  2021-04-22    12
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     4
84  2021-04-26     9
85  2021-04-27    49
86  2021-04-28    62
87  2021-04-29    30
88  2021-04-30    79
89  2021-05-01    57
90  2021-05-02    44
91  2021-05-03    44
92  2021-05-04   107
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     7
96  2021-05-08     0
97  2021-05-09    15
98  2021-05-10     4
99  2021-05-11     9
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    15
103 2021-05-15   589
104 2021-05-16     0
105 2021-05-17     0
106 2021-05-18     2
107 2021-05-19     2
108 2021-05-20   100
109 2021-05-21    39
110 2021-05-22    39
111 2021-05-23    74
112 2021-05-24    89
113 2021-05-25    72
114 2021-05-26    42
115 2021-05-27    47
116 2021-05-28    35
117 2021-05-29    49
118 2021-05-30    35
119 2021-05-31    22
120 2021-06-01     4
121 2021-06-02    17
122 2021-06-03    15
123 2021-06-04    30
124 2021-06-05    62
125 2021-06-06    44
126 2021-06-07   239
127 2021-06-08  1045
128 2021-06-09   457
129 2021-06-10   204
130 2021-06-11  1229
131 2021-06-12   199
132 2021-06-13   137
133 2021-06-14   165
134 2021-06-15    85
135 2021-06-16   137
136 2021-06-17   109
137 2021-06-18   107
138 2021-06-19   170
139 2021-06-20   137
140 2021-06-21   119
141 2021-06-22    95
142 2021-06-23    70
143 2021-06-24   145
144 2021-06-25    47
145 2021-06-26    49
146 2021-06-27    20
147 2021-06-28    20
148 2021-06-29     7
149 2021-06-30    52
150 2021-07-01    95
151 2021-07-02   232
152 2021-07-03   210
153 2021-07-04   304
154 2021-07-05   170
155 2021-07-06   117
156 2021-07-07    65
157 2021-07-08    49
158 2021-07-09    74
159 2021-07-10    52
160 2021-07-11    67
161 2021-07-12    55
162 2021-07-13    52
163 2021-07-14    47
164 2021-07-15    42
