          date  data
0   2021-02-01    42
1   2021-02-02    25
2   2021-02-03    15
3   2021-02-04    24
4   2021-02-05     2
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     9
9   2021-02-10    37
10  2021-02-11    39
11  2021-02-12    25
12  2021-02-13     4
13  2021-02-14     2
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17     7
17  2021-02-18    25
18  2021-02-19     9
19  2021-02-20    22
20  2021-02-21    12
21  2021-02-22    20
22  2021-02-23    15
23  2021-02-24     9
24  2021-02-25     4
25  2021-02-26     9
26  2021-02-27     4
27  2021-02-28     2
28  2021-03-01     2
29  2021-03-02     4
30  2021-03-03    15
31  2021-03-04     2
32  2021-03-05     4
33  2021-03-06     7
34  2021-03-07    25
35  2021-03-08     7
36  2021-03-09    35
37  2021-03-10    52
38  2021-03-11    27
39  2021-03-12    39
40  2021-03-13    12
41  2021-03-14    27
42  2021-03-15    22
43  2021-03-16    17
44  2021-03-17    20
45  2021-03-18    42
46  2021-03-19    37
47  2021-03-20    47
48  2021-03-21    30
49  2021-03-22     9
50  2021-03-23    30
51  2021-03-24    15
52  2021-03-25    40
53  2021-03-26    42
54  2021-03-27    27
55  2021-03-28    20
56  2021-03-29    82
57  2021-03-30    42
58  2021-03-31    32
59  2021-04-01    12
60  2021-04-02     7
61  2021-04-03    12
62  2021-04-04     7
63  2021-04-05    20
64  2021-04-06    27
65  2021-04-07    17
66  2021-04-08     7
67  2021-04-09    17
68  2021-04-10    12
69  2021-04-11    44
70  2021-04-12    20
71  2021-04-13    15
72  2021-04-14    25
73  2021-04-15    12
74  2021-04-16     2
75  2021-04-17     4
76  2021-04-18    17
77  2021-04-19    30
78  2021-04-20     7
79  2021-04-21     2
80  2021-04-22     2
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    25
85  2021-04-27    42
86  2021-04-28    42
87  2021-04-29    49
88  2021-04-30    89
89  2021-05-01    47
90  2021-05-02    37
91  2021-05-03    49
92  2021-05-04    52
93  2021-05-05     0
94  2021-05-06     7
95  2021-05-07     0
96  2021-05-08     7
97  2021-05-09     2
98  2021-05-10     4
99  2021-05-11     4
100 2021-05-12     2
101 2021-05-13     4
102 2021-05-14    22
103 2021-05-15   277
104 2021-05-16     0
105 2021-05-17     0
106 2021-05-18     2
107 2021-05-19     7
108 2021-05-20    70
109 2021-05-21    20
110 2021-05-22    52
111 2021-05-23    92
112 2021-05-24    89
113 2021-05-25    20
114 2021-05-26    32
115 2021-05-27    39
116 2021-05-28    37
117 2021-05-29    42
118 2021-05-30    37
119 2021-05-31     9
120 2021-06-01     4
121 2021-06-02    12
122 2021-06-03    12
123 2021-06-04    20
124 2021-06-05    20
125 2021-06-06    32
126 2021-06-07   367
127 2021-06-08  1024
128 2021-06-09   372
129 2021-06-10   130
130 2021-06-11   745
131 2021-06-12   199
132 2021-06-13   172
133 2021-06-14   124
134 2021-06-15    70
135 2021-06-16   107
136 2021-06-17    82
137 2021-06-18    87
138 2021-06-19   112
139 2021-06-20   109
140 2021-06-21   109
141 2021-06-22    70
142 2021-06-23    70
143 2021-06-24   100
144 2021-06-25    62
145 2021-06-26    35
146 2021-06-27    30
147 2021-06-28    17
148 2021-06-29    32
149 2021-06-30    42
150 2021-07-01   109
151 2021-07-02   182
152 2021-07-03   272
153 2021-07-04   322
154 2021-07-05   142
155 2021-07-06    85
156 2021-07-07    67
157 2021-07-08    62
158 2021-07-09    57
159 2021-07-10    39
160 2021-07-11    49
161 2021-07-12    49
162 2021-07-13    44
163 2021-07-14    25
164 2021-07-15    27
