          date   data
0   2021-02-01    107
1   2021-02-02    487
2   2021-02-03    272
3   2021-02-04    178
4   2021-02-05     74
5   2021-02-06     15
6   2021-02-07      2
7   2021-02-08      2
8   2021-02-09     55
9   2021-02-10    210
10  2021-02-11    322
11  2021-02-12    184
12  2021-02-13     65
13  2021-02-14     47
14  2021-02-15     17
15  2021-02-16      0
16  2021-02-17     27
17  2021-02-18    145
18  2021-02-19    177
19  2021-02-20    259
20  2021-02-21    282
21  2021-02-22    277
22  2021-02-23    157
23  2021-02-24     32
24  2021-02-25     32
25  2021-02-26     44
26  2021-02-27     87
27  2021-02-28     25
28  2021-03-01     95
29  2021-03-02     89
30  2021-03-03     97
31  2021-03-04    112
32  2021-03-05     79
33  2021-03-06     74
34  2021-03-07    107
35  2021-03-08     85
36  2021-03-09    175
37  2021-03-10    494
38  2021-03-11    285
39  2021-03-12    219
40  2021-03-13    204
41  2021-03-14    325
42  2021-03-15    162
43  2021-03-16    207
44  2021-03-17    312
45  2021-03-18    637
46  2021-03-19    562
47  2021-03-20    397
48  2021-03-21    404
49  2021-03-22    275
50  2021-03-23    275
51  2021-03-24    202
52  2021-03-25    404
53  2021-03-26    264
54  2021-03-27    245
55  2021-03-28    204
56  2021-03-29    350
57  2021-03-30    184
58  2021-03-31    340
59  2021-04-01    245
60  2021-04-02    199
61  2021-04-03    189
62  2021-04-04    140
63  2021-04-05    175
64  2021-04-06    207
65  2021-04-07    119
66  2021-04-08     65
67  2021-04-09    400
68  2021-04-10    275
69  2021-04-11    317
70  2021-04-12    294
71  2021-04-13    210
72  2021-04-14     97
73  2021-04-15    102
74  2021-04-16    157
75  2021-04-17    152
76  2021-04-18    159
77  2021-04-19    224
78  2021-04-20    194
79  2021-04-21    117
80  2021-04-22     72
81  2021-04-23     17
82  2021-04-24      9
83  2021-04-25      0
84  2021-04-26     95
85  2021-04-27    342
86  2021-04-28    479
87  2021-04-29    360
88  2021-04-30    720
89  2021-05-01    259
90  2021-05-02    242
91  2021-05-03    347
92  2021-05-04    767
93  2021-05-05     32
94  2021-05-06      4
95  2021-05-07     15
96  2021-05-08     30
97  2021-05-09     47
98  2021-05-10     37
99  2021-05-11     12
100 2021-05-12      9
101 2021-05-13     27
102 2021-05-14    152
103 2021-05-15   5110
104 2021-05-16     37
105 2021-05-17     39
106 2021-05-18     60
107 2021-05-19     57
108 2021-05-20   1389
109 2021-05-21    494
110 2021-05-22    640
111 2021-05-23    935
112 2021-05-24    910
113 2021-05-25    454
114 2021-05-26    290
115 2021-05-27    404
116 2021-05-28    412
117 2021-05-29    357
118 2021-05-30    219
119 2021-05-31    170
120 2021-06-01    117
121 2021-06-02    119
122 2021-06-03    122
123 2021-06-04    149
124 2021-06-05    355
125 2021-06-06    237
126 2021-06-07   1605
127 2021-06-08   5374
128 2021-06-09   2484
129 2021-06-10   1047
130 2021-06-11  10479
131 2021-06-12   1632
132 2021-06-13    854
133 2021-06-14    752
134 2021-06-15    690
135 2021-06-16    962
136 2021-06-17    547
137 2021-06-18    782
138 2021-06-19    914
139 2021-06-20    962
140 2021-06-21    709
141 2021-06-22    577
142 2021-06-23    492
143 2021-06-24    867
144 2021-06-25    462
145 2021-06-26    257
146 2021-06-27    105
147 2021-06-28    127
148 2021-06-29    102
149 2021-06-30    334
150 2021-07-01    584
151 2021-07-02   1780
152 2021-07-03   1930
153 2021-07-04   1687
154 2021-07-05   1097
155 2021-07-06    792
156 2021-07-07    427
157 2021-07-08    362
158 2021-07-09    492
159 2021-07-10    315
160 2021-07-11    282
161 2021-07-12    377
162 2021-07-13    247
163 2021-07-14    154
164 2021-07-15    140
