          date data
0   2021-02-01    9
1   2021-02-02   12
2   2021-02-03    4
3   2021-02-04    8
4   2021-02-05   12
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    4
9   2021-02-10   22
10  2021-02-11    9
11  2021-02-12   15
12  2021-02-13    2
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    0
17  2021-02-18    9
18  2021-02-19    0
19  2021-02-20   17
20  2021-02-21    0
21  2021-02-22   12
22  2021-02-23    4
23  2021-02-24    0
24  2021-02-25    4
25  2021-02-26    0
26  2021-02-27    2
27  2021-02-28    0
28  2021-03-01    7
29  2021-03-02    4
30  2021-03-03    7
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07    7
35  2021-03-08    0
36  2021-03-09    9
37  2021-03-10   30
38  2021-03-11    9
39  2021-03-12    4
40  2021-03-13    4
41  2021-03-14   12
42  2021-03-15    7
43  2021-03-16    4
44  2021-03-17   15
45  2021-03-18   39
46  2021-03-19   12
47  2021-03-20    7
48  2021-03-21   32
49  2021-03-22    7
50  2021-03-23   25
51  2021-03-24    4
52  2021-03-25    8
53  2021-03-26   20
54  2021-03-27    7
55  2021-03-28    9
56  2021-03-29   22
57  2021-03-30   30
58  2021-03-31   20
59  2021-04-01   12
60  2021-04-02    9
61  2021-04-03    9
62  2021-04-04    4
63  2021-04-05    4
64  2021-04-06    2
65  2021-04-07    2
66  2021-04-08    0
67  2021-04-09   12
68  2021-04-10    9
69  2021-04-11    7
70  2021-04-12   17
71  2021-04-13    7
72  2021-04-14    2
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    7
76  2021-04-18    0
77  2021-04-19    4
78  2021-04-20   15
79  2021-04-21    0
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   25
86  2021-04-28   25
87  2021-04-29   15
88  2021-04-30   35
89  2021-05-01    9
90  2021-05-02   12
91  2021-05-03   25
92  2021-05-04   35
93  2021-05-05    0
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    7
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    4
103 2021-05-15  132
104 2021-05-16    4
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   39
109 2021-05-21   12
110 2021-05-22   20
111 2021-05-23   32
112 2021-05-24   42
113 2021-05-25   12
114 2021-05-26    7
115 2021-05-27   17
116 2021-05-28   30
117 2021-05-29   15
118 2021-05-30    9
119 2021-05-31    7
120 2021-06-01    2
121 2021-06-02    0
122 2021-06-03    2
123 2021-06-04    7
124 2021-06-05    7
125 2021-06-06    9
126 2021-06-07  159
127 2021-06-08  442
128 2021-06-09  142
129 2021-06-10  102
130 2021-06-11  372
131 2021-06-12   97
132 2021-06-13   85
133 2021-06-14   42
134 2021-06-15   30
135 2021-06-16   49
136 2021-06-17   27
137 2021-06-18   25
138 2021-06-19   52
139 2021-06-20   42
140 2021-06-21   30
141 2021-06-22   25
142 2021-06-23   32
143 2021-06-24   47
144 2021-06-25   15
145 2021-06-26   15
146 2021-06-27    2
147 2021-06-28    2
148 2021-06-29    2
149 2021-06-30   15
150 2021-07-01   44
151 2021-07-02   79
152 2021-07-03   77
153 2021-07-04  102
154 2021-07-05   72
155 2021-07-06   35
156 2021-07-07   30
157 2021-07-08   20
158 2021-07-09   30
159 2021-07-10   30
160 2021-07-11   17
161 2021-07-12   22
162 2021-07-13   17
163 2021-07-14   12
164 2021-07-15   12
