          date   data
0   2021-02-01    100
1   2021-02-02    262
2   2021-02-03    170
3   2021-02-04     70
4   2021-02-05     17
5   2021-02-06     27
6   2021-02-07      4
7   2021-02-08     12
8   2021-02-09     44
9   2021-02-10    187
10  2021-02-11    239
11  2021-02-12    145
12  2021-02-13     57
13  2021-02-14      4
14  2021-02-15     30
15  2021-02-16     22
16  2021-02-17     60
17  2021-02-18    127
18  2021-02-19    117
19  2021-02-20    127
20  2021-02-21    189
21  2021-02-22    152
22  2021-02-23    102
23  2021-02-24     42
24  2021-02-25     22
25  2021-02-26     35
26  2021-02-27     55
27  2021-02-28     27
28  2021-03-01     65
29  2021-03-02     85
30  2021-03-03     32
31  2021-03-04     39
32  2021-03-05     52
33  2021-03-06     42
34  2021-03-07     79
35  2021-03-08     67
36  2021-03-09    165
37  2021-03-10    345
38  2021-03-11    215
39  2021-03-12    135
40  2021-03-13    114
41  2021-03-14    245
42  2021-03-15    117
43  2021-03-16    124
44  2021-03-17    224
45  2021-03-18    390
46  2021-03-19    217
47  2021-03-20    257
48  2021-03-21    310
49  2021-03-22    239
50  2021-03-23    310
51  2021-03-24    152
52  2021-03-25    298
53  2021-03-26    202
54  2021-03-27    194
55  2021-03-28    175
56  2021-03-29    622
57  2021-03-30    332
58  2021-03-31    322
59  2021-04-01    145
60  2021-04-02    117
61  2021-04-03    142
62  2021-04-04     87
63  2021-04-05    204
64  2021-04-06    130
65  2021-04-07     62
66  2021-04-08     70
67  2021-04-09    170
68  2021-04-10    157
69  2021-04-11    224
70  2021-04-12    162
71  2021-04-13     82
72  2021-04-14     62
73  2021-04-15     72
74  2021-04-16     65
75  2021-04-17     87
76  2021-04-18     97
77  2021-04-19    114
78  2021-04-20     92
79  2021-04-21     44
80  2021-04-22     37
81  2021-04-23     17
82  2021-04-24     17
83  2021-04-25      7
84  2021-04-26     49
85  2021-04-27    232
86  2021-04-28    320
87  2021-04-29    242
88  2021-04-30    502
89  2021-05-01    242
90  2021-05-02    215
91  2021-05-03    290
92  2021-05-04    547
93  2021-05-05     17
94  2021-05-06     17
95  2021-05-07     12
96  2021-05-08     42
97  2021-05-09     49
98  2021-05-10     35
99  2021-05-11     20
100 2021-05-12      4
101 2021-05-13     20
102 2021-05-14    132
103 2021-05-15   3392
104 2021-05-16     22
105 2021-05-17     20
106 2021-05-18     30
107 2021-05-19     39
108 2021-05-20   1242
109 2021-05-21    210
110 2021-05-22    285
111 2021-05-23    742
112 2021-05-24    749
113 2021-05-25    332
114 2021-05-26    210
115 2021-05-27    280
116 2021-05-28    222
117 2021-05-29    315
118 2021-05-30    177
119 2021-05-31    107
120 2021-06-01     79
121 2021-06-02     67
122 2021-06-03     87
123 2021-06-04     97
124 2021-06-05    275
125 2021-06-06    232
126 2021-06-07   1119
127 2021-06-08   4602
128 2021-06-09   1997
129 2021-06-10    917
130 2021-06-11  11404
131 2021-06-12   1600
132 2021-06-13   1087
133 2021-06-14    937
134 2021-06-15    642
135 2021-06-16    854
136 2021-06-17    439
137 2021-06-18    640
138 2021-06-19    985
139 2021-06-20   1095
140 2021-06-21    545
141 2021-06-22    444
142 2021-06-23    629
143 2021-06-24   1214
144 2021-06-25    462
145 2021-06-26    400
146 2021-06-27    255
147 2021-06-28    162
148 2021-06-29    127
149 2021-06-30    377
150 2021-07-01    664
151 2021-07-02   1420
152 2021-07-03   2007
153 2021-07-04   1955
154 2021-07-05   1197
155 2021-07-06    887
156 2021-07-07    454
157 2021-07-08    357
158 2021-07-09    547
159 2021-07-10    387
160 2021-07-11    492
161 2021-07-12    412
162 2021-07-13    379
163 2021-07-14    262
164 2021-07-15    287
