          date data
0   2021-02-01    7
1   2021-02-02   17
2   2021-02-03    7
3   2021-02-04    0
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    9
9   2021-02-10    7
10  2021-02-11   17
11  2021-02-12    9
12  2021-02-13    4
13  2021-02-14    4
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    0
18  2021-02-19    7
19  2021-02-20    4
20  2021-02-21    4
21  2021-02-22   12
22  2021-02-23    2
23  2021-02-24    2
24  2021-02-25    2
25  2021-02-26    4
26  2021-02-27    7
27  2021-02-28    0
28  2021-03-01    0
29  2021-03-02    2
30  2021-03-03    2
31  2021-03-04    4
32  2021-03-05    0
33  2021-03-06    2
34  2021-03-07    7
35  2021-03-08    9
36  2021-03-09    7
37  2021-03-10   12
38  2021-03-11   15
39  2021-03-12    9
40  2021-03-13    2
41  2021-03-14    4
42  2021-03-15    0
43  2021-03-16    0
44  2021-03-17   12
45  2021-03-18   15
46  2021-03-19    7
47  2021-03-20    7
48  2021-03-21   22
49  2021-03-22    4
50  2021-03-23   12
51  2021-03-24    4
52  2021-03-25    4
53  2021-03-26   15
54  2021-03-27    2
55  2021-03-28    4
56  2021-03-29   57
57  2021-03-30   25
58  2021-03-31   15
59  2021-04-01    4
60  2021-04-02    9
61  2021-04-03    2
62  2021-04-04    7
63  2021-04-05    4
64  2021-04-06    4
65  2021-04-07    2
66  2021-04-08    9
67  2021-04-09   25
68  2021-04-10   15
69  2021-04-11   30
70  2021-04-12    9
71  2021-04-13    2
72  2021-04-14    9
73  2021-04-15    7
74  2021-04-16    4
75  2021-04-17    7
76  2021-04-18    9
77  2021-04-19    9
78  2021-04-20    9
79  2021-04-21    4
80  2021-04-22    7
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27   22
86  2021-04-28   42
87  2021-04-29   42
88  2021-04-30   52
89  2021-05-01   20
90  2021-05-02    9
91  2021-05-03   32
92  2021-05-04   55
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  210
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   47
109 2021-05-21    2
110 2021-05-22   12
111 2021-05-23   52
112 2021-05-24   52
113 2021-05-25   15
114 2021-05-26   15
115 2021-05-27   27
116 2021-05-28   22
117 2021-05-29   32
118 2021-05-30    9
119 2021-05-31    4
120 2021-06-01    2
121 2021-06-02    4
122 2021-06-03    2
123 2021-06-04    4
124 2021-06-05   27
125 2021-06-06   30
126 2021-06-07  272
127 2021-06-08  897
128 2021-06-09  350
129 2021-06-10  135
130 2021-06-11  857
131 2021-06-12  149
132 2021-06-13  117
133 2021-06-14   95
134 2021-06-15   44
135 2021-06-16  105
136 2021-06-17   49
137 2021-06-18   65
138 2021-06-19   74
139 2021-06-20   74
140 2021-06-21   60
141 2021-06-22   52
142 2021-06-23   47
143 2021-06-24  107
144 2021-06-25   42
145 2021-06-26   25
146 2021-06-27    4
147 2021-06-28   15
148 2021-06-29    9
149 2021-06-30   47
150 2021-07-01   55
151 2021-07-02  107
152 2021-07-03  197
153 2021-07-04  275
154 2021-07-05   89
155 2021-07-06   70
156 2021-07-07   22
157 2021-07-08   42
158 2021-07-09   35
159 2021-07-10   52
160 2021-07-11   39
161 2021-07-12   27
162 2021-07-13   30
163 2021-07-14   25
164 2021-07-15   15
