          date  data
0   2021-02-01     9
1   2021-02-02    32
2   2021-02-03    20
3   2021-02-04    14
4   2021-02-05     7
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    27
10  2021-02-11    32
11  2021-02-12    22
12  2021-02-13    12
13  2021-02-14     0
14  2021-02-15     2
15  2021-02-16     0
16  2021-02-17     9
17  2021-02-18    17
18  2021-02-19    27
19  2021-02-20    32
20  2021-02-21    30
21  2021-02-22    15
22  2021-02-23     9
23  2021-02-24     0
24  2021-02-25     0
25  2021-02-26     0
26  2021-02-27    20
27  2021-02-28     2
28  2021-03-01     9
29  2021-03-02     4
30  2021-03-03     0
31  2021-03-04     7
32  2021-03-05     0
33  2021-03-06     9
34  2021-03-07    12
35  2021-03-08    15
36  2021-03-09    32
37  2021-03-10    47
38  2021-03-11    12
39  2021-03-12    49
40  2021-03-13    22
41  2021-03-14    52
42  2021-03-15    12
43  2021-03-16     4
44  2021-03-17    47
45  2021-03-18    30
46  2021-03-19    39
47  2021-03-20    35
48  2021-03-21    44
49  2021-03-22    22
50  2021-03-23    70
51  2021-03-24    22
52  2021-03-25    30
53  2021-03-26    35
54  2021-03-27    30
55  2021-03-28    17
56  2021-03-29   140
57  2021-03-30    62
58  2021-03-31    67
59  2021-04-01    17
60  2021-04-02    15
61  2021-04-03    22
62  2021-04-04    15
63  2021-04-05    30
64  2021-04-06    30
65  2021-04-07    12
66  2021-04-08    12
67  2021-04-09    30
68  2021-04-10    17
69  2021-04-11    35
70  2021-04-12    22
71  2021-04-13    20
72  2021-04-14     2
73  2021-04-15     9
74  2021-04-16    12
75  2021-04-17    22
76  2021-04-18    15
77  2021-04-19    30
78  2021-04-20    12
79  2021-04-21    12
80  2021-04-22     4
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    15
85  2021-04-27    37
86  2021-04-28    72
87  2021-04-29    44
88  2021-04-30   112
89  2021-05-01    44
90  2021-05-02    47
91  2021-05-03    52
92  2021-05-04   119
93  2021-05-05     4
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09     2
98  2021-05-10     7
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     0
102 2021-05-14    30
103 2021-05-15   610
104 2021-05-16     4
105 2021-05-17     0
106 2021-05-18     2
107 2021-05-19     7
108 2021-05-20   245
109 2021-05-21    35
110 2021-05-22    72
111 2021-05-23   127
112 2021-05-24   145
113 2021-05-25    85
114 2021-05-26    35
115 2021-05-27    65
116 2021-05-28    49
117 2021-05-29    62
118 2021-05-30    52
119 2021-05-31    20
120 2021-06-01    12
121 2021-06-02     2
122 2021-06-03    22
123 2021-06-04    17
124 2021-06-05    39
125 2021-06-06    60
126 2021-06-07   367
127 2021-06-08  1287
128 2021-06-09   524
129 2021-06-10   224
130 2021-06-11  2442
131 2021-06-12   347
132 2021-06-13   162
133 2021-06-14   172
134 2021-06-15   114
135 2021-06-16   165
136 2021-06-17   107
137 2021-06-18   119
138 2021-06-19   207
139 2021-06-20   167
140 2021-06-21   124
141 2021-06-22    92
142 2021-06-23    92
143 2021-06-24   224
144 2021-06-25    89
145 2021-06-26    55
146 2021-06-27    39
147 2021-06-28    30
148 2021-06-29    12
149 2021-06-30    60
150 2021-07-01   124
151 2021-07-02   255
152 2021-07-03   432
153 2021-07-04   454
154 2021-07-05   242
155 2021-07-06   219
156 2021-07-07   105
157 2021-07-08    85
158 2021-07-09   149
159 2021-07-10   107
160 2021-07-11   114
161 2021-07-12    85
162 2021-07-13    72
163 2021-07-14    62
164 2021-07-15    74
