          date   data
0   2021-02-01    109
1   2021-02-02    797
2   2021-02-03    677
3   2021-02-04    234
4   2021-02-05     92
5   2021-02-06      9
6   2021-02-07      0
7   2021-02-08      4
8   2021-02-09    159
9   2021-02-10    392
10  2021-02-11    442
11  2021-02-12    245
12  2021-02-13    105
13  2021-02-14     32
14  2021-02-15      7
15  2021-02-16      2
16  2021-02-17     67
17  2021-02-18    197
18  2021-02-19    325
19  2021-02-20    372
20  2021-02-21    462
21  2021-02-22    317
22  2021-02-23    210
23  2021-02-24    140
24  2021-02-25     42
25  2021-02-26     35
26  2021-02-27    119
27  2021-02-28     74
28  2021-03-01    132
29  2021-03-02    184
30  2021-03-03    147
31  2021-03-04    184
32  2021-03-05    114
33  2021-03-06    119
34  2021-03-07    187
35  2021-03-08    177
36  2021-03-09    255
37  2021-03-10    687
38  2021-03-11    474
39  2021-03-12    347
40  2021-03-13    357
41  2021-03-14    505
42  2021-03-15    259
43  2021-03-16    184
44  2021-03-17    444
45  2021-03-18    840
46  2021-03-19    664
47  2021-03-20    637
48  2021-03-21    652
49  2021-03-22    575
50  2021-03-23    730
51  2021-03-24    312
52  2021-03-25    634
53  2021-03-26    407
54  2021-03-27    507
55  2021-03-28    345
56  2021-03-29    337
57  2021-03-30    219
58  2021-03-31    369
59  2021-04-01    264
60  2021-04-02    275
61  2021-04-03    217
62  2021-04-04    204
63  2021-04-05    320
64  2021-04-06    275
65  2021-04-07    177
66  2021-04-08     85
67  2021-04-09    640
68  2021-04-10    417
69  2021-04-11    462
70  2021-04-12    379
71  2021-04-13    294
72  2021-04-14    192
73  2021-04-15    145
74  2021-04-16    170
75  2021-04-17    282
76  2021-04-18    219
77  2021-04-19    374
78  2021-04-20    290
79  2021-04-21    137
80  2021-04-22    127
81  2021-04-23     39
82  2021-04-24      7
83  2021-04-25     15
84  2021-04-26    202
85  2021-04-27    567
86  2021-04-28    634
87  2021-04-29    592
88  2021-04-30   1279
89  2021-05-01    447
90  2021-05-02    395
91  2021-05-03    532
92  2021-05-04   1277
93  2021-05-05     42
94  2021-05-06     32
95  2021-05-07     25
96  2021-05-08     49
97  2021-05-09    122
98  2021-05-10     57
99  2021-05-11     30
100 2021-05-12      7
101 2021-05-13     47
102 2021-05-14    417
103 2021-05-15   9497
104 2021-05-16     70
105 2021-05-17     60
106 2021-05-18     60
107 2021-05-19    180
108 2021-05-20   4445
109 2021-05-21    807
110 2021-05-22    905
111 2021-05-23   2037
112 2021-05-24   1902
113 2021-05-25    969
114 2021-05-26    624
115 2021-05-27    752
116 2021-05-28    737
117 2021-05-29    749
118 2021-05-30    467
119 2021-05-31    262
120 2021-06-01    204
121 2021-06-02    207
122 2021-06-03    180
123 2021-06-04    269
124 2021-06-05    612
125 2021-06-06    460
126 2021-06-07   2410
127 2021-06-08  10329
128 2021-06-09   3947
129 2021-06-10   1780
130 2021-06-11  25947
131 2021-06-12   2840
132 2021-06-13   1565
133 2021-06-14   1597
134 2021-06-15   1305
135 2021-06-16   1990
136 2021-06-17   1005
137 2021-06-18   1552
138 2021-06-19   2312
139 2021-06-20   2352
140 2021-06-21   1477
141 2021-06-22   1182
142 2021-06-23   1200
143 2021-06-24   2094
144 2021-06-25    962
145 2021-06-26    832
146 2021-06-27    422
147 2021-06-28    482
148 2021-06-29    342
149 2021-06-30    755
150 2021-07-01   1104
151 2021-07-02   3592
152 2021-07-03   4822
153 2021-07-04   4442
154 2021-07-05   2969
155 2021-07-06   2424
156 2021-07-07   1307
157 2021-07-08   1032
158 2021-07-09   1480
159 2021-07-10   1032
160 2021-07-11   1224
161 2021-07-12   1195
162 2021-07-13    802
163 2021-07-14    530
164 2021-07-15    554
