          date data
0   2021-02-01    9
1   2021-02-02    9
2   2021-02-03   15
3   2021-02-04    4
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10   12
10  2021-02-11    7
11  2021-02-12    9
12  2021-02-13    0
13  2021-02-14    2
14  2021-02-15    4
15  2021-02-16    2
16  2021-02-17    0
17  2021-02-18    9
18  2021-02-19    9
19  2021-02-20   12
20  2021-02-21   15
21  2021-02-22    4
22  2021-02-23    9
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    4
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    2
29  2021-03-02    4
30  2021-03-03    2
31  2021-03-04    0
32  2021-03-05    0
33  2021-03-06    0
34  2021-03-07    0
35  2021-03-08    4
36  2021-03-09    9
37  2021-03-10   20
38  2021-03-11    7
39  2021-03-12    9
40  2021-03-13    4
41  2021-03-14    7
42  2021-03-15    7
43  2021-03-16    0
44  2021-03-17   15
45  2021-03-18   12
46  2021-03-19    9
47  2021-03-20   39
48  2021-03-21   12
49  2021-03-22   12
50  2021-03-23   15
51  2021-03-24    7
52  2021-03-25    8
53  2021-03-26   17
54  2021-03-27    9
55  2021-03-28    4
56  2021-03-29   70
57  2021-03-30   22
58  2021-03-31   17
59  2021-04-01    7
60  2021-04-02    0
61  2021-04-03    0
62  2021-04-04    0
63  2021-04-05    0
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09    7
68  2021-04-10    4
69  2021-04-11    7
70  2021-04-12    9
71  2021-04-13    9
72  2021-04-14    4
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17    4
76  2021-04-18    0
77  2021-04-19    7
78  2021-04-20    9
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    2
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    7
86  2021-04-28   32
87  2021-04-29   25
88  2021-04-30   49
89  2021-05-01   22
90  2021-05-02   15
91  2021-05-03   20
92  2021-05-04   49
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    7
97  2021-05-09   12
98  2021-05-10    0
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    0
103 2021-05-15  210
104 2021-05-16    2
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   62
109 2021-05-21   15
110 2021-05-22   17
111 2021-05-23   35
112 2021-05-24   52
113 2021-05-25   39
114 2021-05-26    9
115 2021-05-27    9
116 2021-05-28   30
117 2021-05-29   15
118 2021-05-30   12
119 2021-05-31    4
120 2021-06-01    2
121 2021-06-02    7
122 2021-06-03    2
123 2021-06-04    9
124 2021-06-05   35
125 2021-06-06   17
126 2021-06-07  130
127 2021-06-08  427
128 2021-06-09  219
129 2021-06-10   79
130 2021-06-11  737
131 2021-06-12  119
132 2021-06-13   95
133 2021-06-14   74
134 2021-06-15   35
135 2021-06-16   49
136 2021-06-17   44
137 2021-06-18   39
138 2021-06-19   67
139 2021-06-20   82
140 2021-06-21   70
141 2021-06-22   25
142 2021-06-23   35
143 2021-06-24   95
144 2021-06-25   47
145 2021-06-26   30
146 2021-06-27    2
147 2021-06-28   20
148 2021-06-29    9
149 2021-06-30   49
150 2021-07-01   60
151 2021-07-02  127
152 2021-07-03  162
153 2021-07-04  189
154 2021-07-05   95
155 2021-07-06   85
156 2021-07-07   52
157 2021-07-08   42
158 2021-07-09   52
159 2021-07-10   22
160 2021-07-11   37
161 2021-07-12   27
162 2021-07-13   37
163 2021-07-14   22
164 2021-07-15   27
