          date data
0   2021-02-01   15
1   2021-02-02   25
2   2021-02-03    9
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    9
9   2021-02-10   30
10  2021-02-11   12
11  2021-02-12    2
12  2021-02-13    7
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    9
17  2021-02-18   12
18  2021-02-19    7
19  2021-02-20   17
20  2021-02-21   12
21  2021-02-22   15
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27    9
27  2021-02-28    4
28  2021-03-01    2
29  2021-03-02    4
30  2021-03-03    2
31  2021-03-04    4
32  2021-03-05    0
33  2021-03-06    2
34  2021-03-07    7
35  2021-03-08    4
36  2021-03-09    9
37  2021-03-10   15
38  2021-03-11   17
39  2021-03-12   22
40  2021-03-13    0
41  2021-03-14   12
42  2021-03-15    4
43  2021-03-16    4
44  2021-03-17    7
45  2021-03-18   22
46  2021-03-19   15
47  2021-03-20   22
48  2021-03-21   32
49  2021-03-22   42
50  2021-03-23   35
51  2021-03-24    7
52  2021-03-25   34
53  2021-03-26   12
54  2021-03-27   17
55  2021-03-28    7
56  2021-03-29   72
57  2021-03-30   27
58  2021-03-31   32
59  2021-04-01   22
60  2021-04-02    7
61  2021-04-03   12
62  2021-04-04    9
63  2021-04-05    2
64  2021-04-06   15
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09    9
68  2021-04-10    4
69  2021-04-11    9
70  2021-04-12   12
71  2021-04-13   17
72  2021-04-14    0
73  2021-04-15    2
74  2021-04-16    9
75  2021-04-17   12
76  2021-04-18    9
77  2021-04-19   15
78  2021-04-20   12
79  2021-04-21    2
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    9
86  2021-04-28   15
87  2021-04-29   22
88  2021-04-30   27
89  2021-05-01   15
90  2021-05-02    9
91  2021-05-03   32
92  2021-05-04   30
93  2021-05-05    0
94  2021-05-06    2
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09    4
98  2021-05-10    7
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  302
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    0
108 2021-05-20   87
109 2021-05-21   15
110 2021-05-22   27
111 2021-05-23   44
112 2021-05-24   62
113 2021-05-25   25
114 2021-05-26   25
115 2021-05-27   20
116 2021-05-28   15
117 2021-05-29   27
118 2021-05-30    9
119 2021-05-31    2
120 2021-06-01    7
121 2021-06-02    2
122 2021-06-03    2
123 2021-06-04    9
124 2021-06-05   27
125 2021-06-06   12
126 2021-06-07  124
127 2021-06-08  477
128 2021-06-09  219
129 2021-06-10   85
130 2021-06-11  975
131 2021-06-12  145
132 2021-06-13   82
133 2021-06-14   79
134 2021-06-15   55
135 2021-06-16   82
136 2021-06-17   60
137 2021-06-18   62
138 2021-06-19   49
139 2021-06-20   82
140 2021-06-21   39
141 2021-06-22   39
142 2021-06-23   39
143 2021-06-24   79
144 2021-06-25   27
145 2021-06-26   42
146 2021-06-27    4
147 2021-06-28    2
148 2021-06-29    9
149 2021-06-30   20
150 2021-07-01   30
151 2021-07-02  132
152 2021-07-03  199
153 2021-07-04  192
154 2021-07-05  109
155 2021-07-06   89
156 2021-07-07   32
157 2021-07-08   37
158 2021-07-09   65
159 2021-07-10   37
160 2021-07-11   47
161 2021-07-12   35
162 2021-07-13   60
163 2021-07-14   32
164 2021-07-15   17
