          date    data
0   2021-02-01     655
1   2021-02-02    2287
2   2021-02-03    1920
3   2021-02-04     608
4   2021-02-05     275
5   2021-02-06      89
6   2021-02-07      17
7   2021-02-08      37
8   2021-02-09     502
9   2021-02-10    1389
10  2021-02-11    1617
11  2021-02-12     975
12  2021-02-13     400
13  2021-02-14     145
14  2021-02-15     135
15  2021-02-16      70
16  2021-02-17     362
17  2021-02-18     860
18  2021-02-19     972
19  2021-02-20    1212
20  2021-02-21    1482
21  2021-02-22    1172
22  2021-02-23     737
23  2021-02-24     382
24  2021-02-25     222
25  2021-02-26     224
26  2021-02-27     462
27  2021-02-28     285
28  2021-03-01     452
29  2021-03-02     584
30  2021-03-03     487
31  2021-03-04     582
32  2021-03-05     477
33  2021-03-06     385
34  2021-03-07     697
35  2021-03-08     634
36  2021-03-09    1262
37  2021-03-10    2550
38  2021-03-11    1807
39  2021-03-12    1292
40  2021-03-13    1082
41  2021-03-14    1745
42  2021-03-15     929
43  2021-03-16     822
44  2021-03-17    1990
45  2021-03-18    3087
46  2021-03-19    2234
47  2021-03-20    2355
48  2021-03-21    2407
49  2021-03-22    2062
50  2021-03-23    2634
51  2021-03-24    1195
52  2021-03-25    2498
53  2021-03-26    1522
54  2021-03-27    1785
55  2021-03-28    1177
56  2021-03-29    3439
57  2021-03-30    1764
58  2021-03-31    2239
59  2021-04-01    1340
60  2021-04-02    1037
61  2021-04-03     882
62  2021-04-04     749
63  2021-04-05    1467
64  2021-04-06    1195
65  2021-04-07     584
66  2021-04-08     467
67  2021-04-09    2047
68  2021-04-10    1410
69  2021-04-11    1764
70  2021-04-12    1434
71  2021-04-13    1072
72  2021-04-14     655
73  2021-04-15     524
74  2021-04-16     632
75  2021-04-17    1087
76  2021-04-18     847
77  2021-04-19    1295
78  2021-04-20     962
79  2021-04-21     530
80  2021-04-22     415
81  2021-04-23     135
82  2021-04-24      57
83  2021-04-25      57
84  2021-04-26     594
85  2021-04-27    2217
86  2021-04-28    2817
87  2021-04-29    2414
88  2021-04-30    4764
89  2021-05-01    2129
90  2021-05-02    1762
91  2021-05-03    2427
92  2021-05-04    5019
93  2021-05-05     189
94  2021-05-06     130
95  2021-05-07     114
96  2021-05-08     255
97  2021-05-09     442
98  2021-05-10     237
99  2021-05-11     105
100 2021-05-12      52
101 2021-05-13     177
102 2021-05-14    1300
103 2021-05-15   32709
104 2021-05-16     255
105 2021-05-17     252
106 2021-05-18     252
107 2021-05-19     545
108 2021-05-20   13599
109 2021-05-21    2539
110 2021-05-22    2990
111 2021-05-23    7517
112 2021-05-24    7499
113 2021-05-25    3725
114 2021-05-26    2454
115 2021-05-27    2864
116 2021-05-28    2689
117 2021-05-29    3240
118 2021-05-30    1979
119 2021-05-31    1270
120 2021-06-01     702
121 2021-06-02     774
122 2021-06-03     802
123 2021-06-04    1059
124 2021-06-05    2590
125 2021-06-06    2190
126 2021-06-07   12289
127 2021-06-08   46629
128 2021-06-09   19267
129 2021-06-10    8482
130 2021-06-11  107829
131 2021-06-12   13477
132 2021-06-13    8204
133 2021-06-14    7597
134 2021-06-15    5627
135 2021-06-16    7987
136 2021-06-17    4434
137 2021-06-18    6324
138 2021-06-19    9402
139 2021-06-20    9327
140 2021-06-21    5864
141 2021-06-22    4522
142 2021-06-23    5175
143 2021-06-24    9664
144 2021-06-25    4349
145 2021-06-26    3624
146 2021-06-27    1769
147 2021-06-28    1675
148 2021-06-29    1267
149 2021-06-30    3157
150 2021-07-01    5134
151 2021-07-02   13427
152 2021-07-03   19047
153 2021-07-04   18964
154 2021-07-05   11412
155 2021-07-06    8912
156 2021-07-07    4644
157 2021-07-08    3989
158 2021-07-09    5662
159 2021-07-10    4062
160 2021-07-11    4627
161 2021-07-12    4299
162 2021-07-13    3307
163 2021-07-14    2212
164 2021-07-15    2267
