          date  data
0   2021-02-01    67
1   2021-02-02   252
2   2021-02-03   182
3   2021-02-04    78
4   2021-02-05     9
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09    49
9   2021-02-10   135
10  2021-02-11   130
11  2021-02-12   107
12  2021-02-13    22
13  2021-02-14    12
14  2021-02-15     9
15  2021-02-16     2
16  2021-02-17    30
17  2021-02-18    62
18  2021-02-19    89
19  2021-02-20   100
20  2021-02-21   137
21  2021-02-22   109
22  2021-02-23    79
23  2021-02-24    15
24  2021-02-25     2
25  2021-02-26    15
26  2021-02-27    55
27  2021-02-28    25
28  2021-03-01    52
29  2021-03-02    62
30  2021-03-03    42
31  2021-03-04    74
32  2021-03-05    37
33  2021-03-06    52
34  2021-03-07    92
35  2021-03-08    55
36  2021-03-09   137
37  2021-03-10   292
38  2021-03-11   192
39  2021-03-12   122
40  2021-03-13   152
41  2021-03-14   202
42  2021-03-15   100
43  2021-03-16    77
44  2021-03-17   235
45  2021-03-18   325
46  2021-03-19   187
47  2021-03-20   242
48  2021-03-21   307
49  2021-03-22   192
50  2021-03-23   180
51  2021-03-24    92
52  2021-03-25   378
53  2021-03-26   142
54  2021-03-27   119
55  2021-03-28   130
56  2021-03-29   222
57  2021-03-30   102
58  2021-03-31   177
59  2021-04-01   105
60  2021-04-02   102
61  2021-04-03    85
62  2021-04-04    79
63  2021-04-05   149
64  2021-04-06   124
65  2021-04-07    77
66  2021-04-08    39
67  2021-04-09   219
68  2021-04-10   122
69  2021-04-11   182
70  2021-04-12   114
71  2021-04-13    89
72  2021-04-14    70
73  2021-04-15    30
74  2021-04-16    52
75  2021-04-17   119
76  2021-04-18    72
77  2021-04-19   154
78  2021-04-20   112
79  2021-04-21    39
80  2021-04-22    49
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    87
85  2021-04-27   165
86  2021-04-28   227
87  2021-04-29   215
88  2021-04-30   494
89  2021-05-01   210
90  2021-05-02   162
91  2021-05-03   182
92  2021-05-04   474
93  2021-05-05     9
94  2021-05-06     7
95  2021-05-07     9
96  2021-05-08    44
97  2021-05-09    37
98  2021-05-10    22
99  2021-05-11     2
100 2021-05-12     4
101 2021-05-13    35
102 2021-05-14   145
103 2021-05-15  3629
104 2021-05-16    12
105 2021-05-17     9
106 2021-05-18    37
107 2021-05-19    67
108 2021-05-20  1005
109 2021-05-21   264
110 2021-05-22   304
111 2021-05-23   604
112 2021-05-24   702
113 2021-05-25   342
114 2021-05-26   227
115 2021-05-27   320
116 2021-05-28   262
117 2021-05-29   252
118 2021-05-30   170
119 2021-05-31   130
120 2021-06-01    74
121 2021-06-02    67
122 2021-06-03    70
123 2021-06-04    70
124 2021-06-05   257
125 2021-06-06   229
126 2021-06-07  1020
127 2021-06-08  4189
128 2021-06-09  1930
129 2021-06-10   597
130 2021-06-11  8454
131 2021-06-12  1034
132 2021-06-13   582
133 2021-06-14   494
134 2021-06-15   457
135 2021-06-16   562
136 2021-06-17   369
137 2021-06-18   419
138 2021-06-19   730
139 2021-06-20   752
140 2021-06-21   442
141 2021-06-22   329
142 2021-06-23   379
143 2021-06-24   854
144 2021-06-25   322
145 2021-06-26   237
146 2021-06-27   145
147 2021-06-28   107
148 2021-06-29    87
149 2021-06-30   177
150 2021-07-01   397
151 2021-07-02  1474
152 2021-07-03  1637
153 2021-07-04  1495
154 2021-07-05   945
155 2021-07-06   822
156 2021-07-07   424
157 2021-07-08   367
158 2021-07-09   437
159 2021-07-10   387
160 2021-07-11   334
161 2021-07-12   382
162 2021-07-13   235
163 2021-07-14   147
164 2021-07-15   152
