          date  data
0   2021-02-01    27
1   2021-02-02    15
2   2021-02-03     9
3   2021-02-04     4
4   2021-02-05     0
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10    17
10  2021-02-11    30
11  2021-02-12    20
12  2021-02-13    12
13  2021-02-14     0
14  2021-02-15     2
15  2021-02-16     2
16  2021-02-17     7
17  2021-02-18    20
18  2021-02-19     9
19  2021-02-20    12
20  2021-02-21    20
21  2021-02-22    42
22  2021-02-23     2
23  2021-02-24     7
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27     9
27  2021-02-28     4
28  2021-03-01     9
29  2021-03-02     4
30  2021-03-03     7
31  2021-03-04     9
32  2021-03-05     7
33  2021-03-06    15
34  2021-03-07    17
35  2021-03-08     4
36  2021-03-09    27
37  2021-03-10    27
38  2021-03-11    30
39  2021-03-12    17
40  2021-03-13    37
41  2021-03-14    39
42  2021-03-15    17
43  2021-03-16    20
44  2021-03-17    52
45  2021-03-18    44
46  2021-03-19    32
47  2021-03-20    25
48  2021-03-21    57
49  2021-03-22    62
50  2021-03-23    30
51  2021-03-24    20
52  2021-03-25    40
53  2021-03-26    39
54  2021-03-27    44
55  2021-03-28    22
56  2021-03-29   102
57  2021-03-30    27
58  2021-03-31    39
59  2021-04-01    25
60  2021-04-02    15
61  2021-04-03     0
62  2021-04-04    15
63  2021-04-05     4
64  2021-04-06    22
65  2021-04-07     0
66  2021-04-08     9
67  2021-04-09    35
68  2021-04-10    17
69  2021-04-11    25
70  2021-04-12    20
71  2021-04-13     9
72  2021-04-14     9
73  2021-04-15     7
74  2021-04-16    12
75  2021-04-17    25
76  2021-04-18    15
77  2021-04-19    15
78  2021-04-20    27
79  2021-04-21     0
80  2021-04-22    12
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     2
85  2021-04-27    30
86  2021-04-28    52
87  2021-04-29    42
88  2021-04-30    39
89  2021-05-01    49
90  2021-05-02    22
91  2021-05-03    52
92  2021-05-04    92
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     4
97  2021-05-09     7
98  2021-05-10     4
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    20
103 2021-05-15   472
104 2021-05-16     4
105 2021-05-17     0
106 2021-05-18     4
107 2021-05-19     4
108 2021-05-20   157
109 2021-05-21    35
110 2021-05-22    35
111 2021-05-23   100
112 2021-05-24    79
113 2021-05-25    52
114 2021-05-26    44
115 2021-05-27    27
116 2021-05-28    47
117 2021-05-29    32
118 2021-05-30    37
119 2021-05-31    27
120 2021-06-01     7
121 2021-06-02    17
122 2021-06-03     7
123 2021-06-04    15
124 2021-06-05    55
125 2021-06-06    30
126 2021-06-07   202
127 2021-06-08   627
128 2021-06-09   277
129 2021-06-10   109
130 2021-06-11  1307
131 2021-06-12   177
132 2021-06-13   132
133 2021-06-14   114
134 2021-06-15    70
135 2021-06-16    89
136 2021-06-17    65
137 2021-06-18    74
138 2021-06-19   192
139 2021-06-20   159
140 2021-06-21    89
141 2021-06-22    70
142 2021-06-23    44
143 2021-06-24   175
144 2021-06-25    65
145 2021-06-26    52
146 2021-06-27    12
147 2021-06-28     2
148 2021-06-29     4
149 2021-06-30    44
150 2021-07-01    70
151 2021-07-02   212
152 2021-07-03   255
153 2021-07-04   275
154 2021-07-05   210
155 2021-07-06   105
156 2021-07-07    74
157 2021-07-08    67
158 2021-07-09    70
159 2021-07-10    55
160 2021-07-11    74
161 2021-07-12    72
162 2021-07-13    62
163 2021-07-14    25
164 2021-07-15    25
