          date data
0   2021-02-01    7
1   2021-02-02   12
2   2021-02-03    4
3   2021-02-04   14
4   2021-02-05    0
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    7
10  2021-02-11   12
11  2021-02-12    0
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    0
18  2021-02-19    2
19  2021-02-20    0
20  2021-02-21    4
21  2021-02-22    4
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    2
28  2021-03-01    4
29  2021-03-02    7
30  2021-03-03    0
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07    4
35  2021-03-08    2
36  2021-03-09    9
37  2021-03-10    7
38  2021-03-11   12
39  2021-03-12    4
40  2021-03-13    2
41  2021-03-14    2
42  2021-03-15    7
43  2021-03-16    2
44  2021-03-17    7
45  2021-03-18   17
46  2021-03-19    9
47  2021-03-20   12
48  2021-03-21   15
49  2021-03-22    7
50  2021-03-23    7
51  2021-03-24    7
52  2021-03-25   18
53  2021-03-26    4
54  2021-03-27    4
55  2021-03-28    2
56  2021-03-29   22
57  2021-03-30   12
58  2021-03-31   12
59  2021-04-01   12
60  2021-04-02    2
61  2021-04-03    0
62  2021-04-04   17
63  2021-04-05    0
64  2021-04-06    4
65  2021-04-07    2
66  2021-04-08    4
67  2021-04-09    2
68  2021-04-10    2
69  2021-04-11   12
70  2021-04-12    9
71  2021-04-13    9
72  2021-04-14    7
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    2
76  2021-04-18   12
77  2021-04-19    4
78  2021-04-20    2
79  2021-04-21    4
80  2021-04-22    4
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    2
84  2021-04-26    7
85  2021-04-27   15
86  2021-04-28   17
87  2021-04-29   20
88  2021-04-30   17
89  2021-05-01    9
90  2021-05-02   15
91  2021-05-03    4
92  2021-05-04   32
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09    4
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    2
103 2021-05-15  180
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    4
107 2021-05-19    0
108 2021-05-20   47
109 2021-05-21   15
110 2021-05-22   12
111 2021-05-23   37
112 2021-05-24   25
113 2021-05-25   12
114 2021-05-26   15
115 2021-05-27    9
116 2021-05-28   17
117 2021-05-29    7
118 2021-05-30    9
119 2021-05-31    4
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03    0
123 2021-06-04    4
124 2021-06-05    4
125 2021-06-06    2
126 2021-06-07   32
127 2021-06-08  245
128 2021-06-09  102
129 2021-06-10   39
130 2021-06-11  352
131 2021-06-12   79
132 2021-06-13   35
133 2021-06-14   35
134 2021-06-15   42
135 2021-06-16   27
136 2021-06-17   32
137 2021-06-18   20
138 2021-06-19   30
139 2021-06-20   39
140 2021-06-21   22
141 2021-06-22   12
142 2021-06-23   32
143 2021-06-24   27
144 2021-06-25   15
145 2021-06-26   22
146 2021-06-27    7
147 2021-06-28   17
148 2021-06-29    0
149 2021-06-30   12
150 2021-07-01   22
151 2021-07-02   52
152 2021-07-03  102
153 2021-07-04   79
154 2021-07-05   32
155 2021-07-06   37
156 2021-07-07   20
157 2021-07-08   20
158 2021-07-09   17
159 2021-07-10   25
160 2021-07-11   30
161 2021-07-12   20
162 2021-07-13    9
163 2021-07-14    0
164 2021-07-15    2
