          date  data
0   2021-02-01     2
1   2021-02-02     7
2   2021-02-03    17
3   2021-02-04     0
4   2021-02-05     2
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09     4
9   2021-02-10    12
10  2021-02-11     7
11  2021-02-12    15
12  2021-02-13     2
13  2021-02-14     4
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17     4
17  2021-02-18     2
18  2021-02-19    12
19  2021-02-20     7
20  2021-02-21    22
21  2021-02-22    22
22  2021-02-23     4
23  2021-02-24     2
24  2021-02-25     2
25  2021-02-26     0
26  2021-02-27     2
27  2021-02-28     0
28  2021-03-01    15
29  2021-03-02     7
30  2021-03-03     7
31  2021-03-04     2
32  2021-03-05     9
33  2021-03-06     9
34  2021-03-07     7
35  2021-03-08     4
36  2021-03-09    25
37  2021-03-10    60
38  2021-03-11    25
39  2021-03-12    20
40  2021-03-13     4
41  2021-03-14    25
42  2021-03-15     7
43  2021-03-16     7
44  2021-03-17     7
45  2021-03-18    25
46  2021-03-19     4
47  2021-03-20    15
48  2021-03-21     9
49  2021-03-22     7
50  2021-03-23    22
51  2021-03-24     7
52  2021-03-25    18
53  2021-03-26    22
54  2021-03-27    12
55  2021-03-28    25
56  2021-03-29    72
57  2021-03-30    32
58  2021-03-31    44
59  2021-04-01     7
60  2021-04-02    15
61  2021-04-03     4
62  2021-04-04     4
63  2021-04-05    20
64  2021-04-06     4
65  2021-04-07     2
66  2021-04-08     0
67  2021-04-09     9
68  2021-04-10     7
69  2021-04-11     9
70  2021-04-12     7
71  2021-04-13    12
72  2021-04-14    12
73  2021-04-15     2
74  2021-04-16     0
75  2021-04-17     9
76  2021-04-18     7
77  2021-04-19     7
78  2021-04-20     7
79  2021-04-21     4
80  2021-04-22     0
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     2
85  2021-04-27     9
86  2021-04-28    15
87  2021-04-29    57
88  2021-04-30    62
89  2021-05-01     7
90  2021-05-02    25
91  2021-05-03    17
92  2021-05-04    57
93  2021-05-05     0
94  2021-05-06     4
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09     2
98  2021-05-10     2
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    15
103 2021-05-15   340
104 2021-05-16     0
105 2021-05-17     2
106 2021-05-18     0
107 2021-05-19     4
108 2021-05-20   114
109 2021-05-21    25
110 2021-05-22    22
111 2021-05-23    57
112 2021-05-24    52
113 2021-05-25    27
114 2021-05-26     7
115 2021-05-27    25
116 2021-05-28    20
117 2021-05-29    17
118 2021-05-30    17
119 2021-05-31     7
120 2021-06-01     9
121 2021-06-02     0
122 2021-06-03     9
123 2021-06-04    17
124 2021-06-05    15
125 2021-06-06    20
126 2021-06-07   154
127 2021-06-08   745
128 2021-06-09   367
129 2021-06-10   105
130 2021-06-11  1167
131 2021-06-12   194
132 2021-06-13   132
133 2021-06-14   117
134 2021-06-15    60
135 2021-06-16   100
136 2021-06-17    37
137 2021-06-18    67
138 2021-06-19   100
139 2021-06-20    89
140 2021-06-21    55
141 2021-06-22    39
142 2021-06-23    85
143 2021-06-24   140
144 2021-06-25    49
145 2021-06-26    32
146 2021-06-27    20
147 2021-06-28    20
148 2021-06-29     0
149 2021-06-30    30
150 2021-07-01    62
151 2021-07-02   165
152 2021-07-03   215
153 2021-07-04   212
154 2021-07-05   127
155 2021-07-06    72
156 2021-07-07    39
157 2021-07-08    44
158 2021-07-09    42
159 2021-07-10    37
160 2021-07-11    39
161 2021-07-12    55
162 2021-07-13    49
163 2021-07-14    17
164 2021-07-15    17
