          date data
0   2021-02-01    4
1   2021-02-02    4
2   2021-02-03   12
3   2021-02-04    8
4   2021-02-05    0
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10    9
10  2021-02-11   25
11  2021-02-12    7
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    7
18  2021-02-19    7
19  2021-02-20    7
20  2021-02-21   35
21  2021-02-22    9
22  2021-02-23    2
23  2021-02-24    2
24  2021-02-25    2
25  2021-02-26    4
26  2021-02-27    2
27  2021-02-28    2
28  2021-03-01    0
29  2021-03-02    0
30  2021-03-03    9
31  2021-03-04    7
32  2021-03-05   17
33  2021-03-06    4
34  2021-03-07    9
35  2021-03-08    2
36  2021-03-09    0
37  2021-03-10   17
38  2021-03-11   12
39  2021-03-12   15
40  2021-03-13    7
41  2021-03-14    2
42  2021-03-15    7
43  2021-03-16    2
44  2021-03-17    9
45  2021-03-18   17
46  2021-03-19   25
47  2021-03-20   22
48  2021-03-21   17
49  2021-03-22    9
50  2021-03-23   15
51  2021-03-24    2
52  2021-03-25   14
53  2021-03-26    9
54  2021-03-27   20
55  2021-03-28   15
56  2021-03-29   27
57  2021-03-30    9
58  2021-03-31   12
59  2021-04-01    4
60  2021-04-02    4
61  2021-04-03   12
62  2021-04-04    4
63  2021-04-05    0
64  2021-04-06    4
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09    7
68  2021-04-10    7
69  2021-04-11    0
70  2021-04-12    9
71  2021-04-13    0
72  2021-04-14    4
73  2021-04-15    2
74  2021-04-16    4
75  2021-04-17    9
76  2021-04-18    9
77  2021-04-19    9
78  2021-04-20    9
79  2021-04-21    2
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    4
86  2021-04-28   15
87  2021-04-29    7
88  2021-04-30   27
89  2021-05-01    7
90  2021-05-02    7
91  2021-05-03    0
92  2021-05-04   20
93  2021-05-05    2
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    4
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  157
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   65
109 2021-05-21   27
110 2021-05-22    9
111 2021-05-23   15
112 2021-05-24   39
113 2021-05-25   27
114 2021-05-26    7
115 2021-05-27    4
116 2021-05-28   20
117 2021-05-29   12
118 2021-05-30   17
119 2021-05-31    7
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03    0
123 2021-06-04    4
124 2021-06-05   12
125 2021-06-06   12
126 2021-06-07   72
127 2021-06-08  347
128 2021-06-09  145
129 2021-06-10   44
130 2021-06-11  634
131 2021-06-12   92
132 2021-06-13   49
133 2021-06-14   44
134 2021-06-15   17
135 2021-06-16   39
136 2021-06-17   12
137 2021-06-18   12
138 2021-06-19   67
139 2021-06-20   65
140 2021-06-21   25
141 2021-06-22   15
142 2021-06-23   22
143 2021-06-24   65
144 2021-06-25   30
145 2021-06-26   22
146 2021-06-27    7
147 2021-06-28    9
148 2021-06-29   12
149 2021-06-30   20
150 2021-07-01   35
151 2021-07-02   79
152 2021-07-03   87
153 2021-07-04  114
154 2021-07-05   47
155 2021-07-06   52
156 2021-07-07   17
157 2021-07-08   25
158 2021-07-09   47
159 2021-07-10   35
160 2021-07-11   27
161 2021-07-12   35
162 2021-07-13   12
163 2021-07-14   32
164 2021-07-15   17
