          date data
0   2021-02-01    0
1   2021-02-02    7
2   2021-02-03    4
3   2021-02-04    8
4   2021-02-05    0
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    9
10  2021-02-11    7
11  2021-02-12    4
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    0
18  2021-02-19    0
19  2021-02-20    0
20  2021-02-21    2
21  2021-02-22    2
22  2021-02-23    2
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    2
30  2021-03-03    0
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    0
35  2021-03-08    0
36  2021-03-09    2
37  2021-03-10    4
38  2021-03-11    0
39  2021-03-12    0
40  2021-03-13    0
41  2021-03-14    2
42  2021-03-15    0
43  2021-03-16    7
44  2021-03-17    0
45  2021-03-18    4
46  2021-03-19    4
47  2021-03-20    7
48  2021-03-21   12
49  2021-03-22    4
50  2021-03-23    4
51  2021-03-24    4
52  2021-03-25    4
53  2021-03-26    7
54  2021-03-27    4
55  2021-03-28    2
56  2021-03-29   17
57  2021-03-30   17
58  2021-03-31   17
59  2021-04-01    0
60  2021-04-02    9
61  2021-04-03    2
62  2021-04-04   17
63  2021-04-05    4
64  2021-04-06    0
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09    4
68  2021-04-10    2
69  2021-04-11    2
70  2021-04-12    0
71  2021-04-13    0
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17    0
76  2021-04-18    0
77  2021-04-19    0
78  2021-04-20    4
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    0
86  2021-04-28    7
87  2021-04-29   12
88  2021-04-30   15
89  2021-05-01    9
90  2021-05-02    7
91  2021-05-03    0
92  2021-05-04   12
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    0
103 2021-05-15  102
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    0
108 2021-05-20   27
109 2021-05-21    2
110 2021-05-22    9
111 2021-05-23   22
112 2021-05-24   27
113 2021-05-25   12
114 2021-05-26    0
115 2021-05-27    4
116 2021-05-28   12
117 2021-05-29    7
118 2021-05-30    7
119 2021-05-31    4
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03    4
123 2021-06-04    2
124 2021-06-05    0
125 2021-06-06    7
126 2021-06-07   39
127 2021-06-08  227
128 2021-06-09   87
129 2021-06-10   30
130 2021-06-11  264
131 2021-06-12   67
132 2021-06-13   12
133 2021-06-14   25
134 2021-06-15   17
135 2021-06-16   27
136 2021-06-17    7
137 2021-06-18   20
138 2021-06-19   32
139 2021-06-20   25
140 2021-06-21    0
141 2021-06-22    7
142 2021-06-23   12
143 2021-06-24   39
144 2021-06-25    9
145 2021-06-26    2
146 2021-06-27    2
147 2021-06-28    4
148 2021-06-29    2
149 2021-06-30    7
150 2021-07-01   35
151 2021-07-02   35
152 2021-07-03   32
153 2021-07-04   74
154 2021-07-05   42
155 2021-07-06   32
156 2021-07-07   15
157 2021-07-08    9
158 2021-07-09   17
159 2021-07-10    7
160 2021-07-11   22
161 2021-07-12   20
162 2021-07-13   17
163 2021-07-14    7
164 2021-07-15    4
