          date   data
0   2021-02-01    189
1   2021-02-02    424
2   2021-02-03    342
3   2021-02-04    170
4   2021-02-05     35
5   2021-02-06     22
6   2021-02-07      2
7   2021-02-08     12
8   2021-02-09    127
9   2021-02-10    310
10  2021-02-11    367
11  2021-02-12    262
12  2021-02-13     74
13  2021-02-14     32
14  2021-02-15     30
15  2021-02-16      4
16  2021-02-17     79
17  2021-02-18    140
18  2021-02-19    199
19  2021-02-20    189
20  2021-02-21    315
21  2021-02-22    304
22  2021-02-23    147
23  2021-02-24     65
24  2021-02-25     37
25  2021-02-26     49
26  2021-02-27    119
27  2021-02-28     72
28  2021-03-01    127
29  2021-03-02    142
30  2021-03-03    107
31  2021-03-04    135
32  2021-03-05    135
33  2021-03-06    130
34  2021-03-07    199
35  2021-03-08    122
36  2021-03-09    332
37  2021-03-10    722
38  2021-03-11    449
39  2021-03-12    272
40  2021-03-13    282
41  2021-03-14    437
42  2021-03-15    239
43  2021-03-16    189
44  2021-03-17    484
45  2021-03-18    704
46  2021-03-19    417
47  2021-03-20    522
48  2021-03-21    640
49  2021-03-22    415
50  2021-03-23    477
51  2021-03-24    237
52  2021-03-25    704
53  2021-03-26    377
54  2021-03-27    334
55  2021-03-28    287
56  2021-03-29    884
57  2021-03-30    415
58  2021-03-31    552
59  2021-04-01    285
60  2021-04-02    285
61  2021-04-03    189
62  2021-04-04    202
63  2021-04-05    290
64  2021-04-06    257
65  2021-04-07    137
66  2021-04-08     92
67  2021-04-09    417
68  2021-04-10    252
69  2021-04-11    397
70  2021-04-12    267
71  2021-04-13    187
72  2021-04-14    137
73  2021-04-15     77
74  2021-04-16    132
75  2021-04-17    242
76  2021-04-18    180
77  2021-04-19    310
78  2021-04-20    217
79  2021-04-21    102
80  2021-04-22    107
81  2021-04-23     32
82  2021-04-24      0
83  2021-04-25      7
84  2021-04-26    135
85  2021-04-27    395
86  2021-04-28    607
87  2021-04-29    604
88  2021-04-30   1137
89  2021-05-01    517
90  2021-05-02    337
91  2021-05-03    484
92  2021-05-04   1099
93  2021-05-05     17
94  2021-05-06     27
95  2021-05-07     20
96  2021-05-08     95
97  2021-05-09    100
98  2021-05-10     42
99  2021-05-11     12
100 2021-05-12      9
101 2021-05-13     62
102 2021-05-14    280
103 2021-05-15   7469
104 2021-05-16     37
105 2021-05-17     27
106 2021-05-18     65
107 2021-05-19    122
108 2021-05-20   2237
109 2021-05-21    604
110 2021-05-22    687
111 2021-05-23   1347
112 2021-05-24   1552
113 2021-05-25    792
114 2021-05-26    537
115 2021-05-27    650
116 2021-05-28    627
117 2021-05-29    632
118 2021-05-30    432
119 2021-05-31    307
120 2021-06-01    147
121 2021-06-02    175
122 2021-06-03    172
123 2021-06-04    187
124 2021-06-05    552
125 2021-06-06    502
126 2021-06-07   2532
127 2021-06-08  10412
128 2021-06-09   4857
129 2021-06-10   1617
130 2021-06-11  20362
131 2021-06-12   2655
132 2021-06-13   1647
133 2021-06-14   1319
134 2021-06-15   1102
135 2021-06-16   1399
136 2021-06-17    879
137 2021-06-18   1079
138 2021-06-19   1877
139 2021-06-20   1790
140 2021-06-21   1157
141 2021-06-22    817
142 2021-06-23   1015
143 2021-06-24   2164
144 2021-06-25    872
145 2021-06-26    617
146 2021-06-27    304
147 2021-06-28    235
148 2021-06-29    189
149 2021-06-30    439
150 2021-07-01   1024
151 2021-07-02   3132
152 2021-07-03   3675
153 2021-07-04   3597
154 2021-07-05   2279
155 2021-07-06   1899
156 2021-07-07    935
157 2021-07-08    784
158 2021-07-09   1052
159 2021-07-10    837
160 2021-07-11    812
161 2021-07-12    912
162 2021-07-13    572
163 2021-07-14    402
164 2021-07-15    347
