          date data
0   2021-02-01   15
1   2021-02-02   17
2   2021-02-03    7
3   2021-02-04    4
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    2
9   2021-02-10   30
10  2021-02-11   15
11  2021-02-12   17
12  2021-02-13   25
13  2021-02-14    7
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    7
18  2021-02-19    9
19  2021-02-20   12
20  2021-02-21   12
21  2021-02-22   17
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    7
29  2021-03-02    0
30  2021-03-03    2
31  2021-03-04    7
32  2021-03-05    7
33  2021-03-06    2
34  2021-03-07    9
35  2021-03-08    4
36  2021-03-09   17
37  2021-03-10   27
38  2021-03-11    7
39  2021-03-12   12
40  2021-03-13   12
41  2021-03-14   12
42  2021-03-15    4
43  2021-03-16    7
44  2021-03-17   17
45  2021-03-18   12
46  2021-03-19   15
47  2021-03-20   27
48  2021-03-21   12
49  2021-03-22   12
50  2021-03-23   25
51  2021-03-24    9
52  2021-03-25   18
53  2021-03-26   17
54  2021-03-27    9
55  2021-03-28    2
56  2021-03-29   47
57  2021-03-30   37
58  2021-03-31   22
59  2021-04-01   22
60  2021-04-02   12
61  2021-04-03    2
62  2021-04-04    4
63  2021-04-05   15
64  2021-04-06    0
65  2021-04-07    7
66  2021-04-08    7
67  2021-04-09   20
68  2021-04-10    9
69  2021-04-11    7
70  2021-04-12    9
71  2021-04-13   12
72  2021-04-14    4
73  2021-04-15    2
74  2021-04-16    4
75  2021-04-17    4
76  2021-04-18    2
77  2021-04-19    0
78  2021-04-20    4
79  2021-04-21    2
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   12
85  2021-04-27   20
86  2021-04-28   17
87  2021-04-29   20
88  2021-04-30   32
89  2021-05-01   15
90  2021-05-02    9
91  2021-05-03   17
92  2021-05-04   35
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  275
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   60
109 2021-05-21   22
110 2021-05-22   39
111 2021-05-23   37
112 2021-05-24   52
113 2021-05-25   44
114 2021-05-26   12
115 2021-05-27   27
116 2021-05-28   15
117 2021-05-29   22
118 2021-05-30    9
119 2021-05-31    9
120 2021-06-01    2
121 2021-06-02    9
122 2021-06-03    2
123 2021-06-04    2
124 2021-06-05   12
125 2021-06-06    9
126 2021-06-07   77
127 2021-06-08  337
128 2021-06-09  194
129 2021-06-10   39
130 2021-06-11  914
131 2021-06-12   89
132 2021-06-13   52
133 2021-06-14   49
134 2021-06-15   44
135 2021-06-16   62
136 2021-06-17   37
137 2021-06-18   37
138 2021-06-19   65
139 2021-06-20   70
140 2021-06-21   39
141 2021-06-22   27
142 2021-06-23   32
143 2021-06-24   72
144 2021-06-25   17
145 2021-06-26   25
146 2021-06-27    2
147 2021-06-28    4
148 2021-06-29    2
149 2021-06-30    9
150 2021-07-01   30
151 2021-07-02  114
152 2021-07-03   97
153 2021-07-04  100
154 2021-07-05   85
155 2021-07-06   39
156 2021-07-07   17
157 2021-07-08   42
158 2021-07-09   39
159 2021-07-10   25
160 2021-07-11   32
161 2021-07-12   27
162 2021-07-13   15
163 2021-07-14   20
164 2021-07-15    9
