          date data
0   2021-02-01    4
1   2021-02-02    4
2   2021-02-03    0
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    9
10  2021-02-11    4
11  2021-02-12    4
12  2021-02-13    2
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    0
17  2021-02-18    4
18  2021-02-19    7
19  2021-02-20    9
20  2021-02-21   12
21  2021-02-22    7
22  2021-02-23    7
23  2021-02-24    7
24  2021-02-25    2
25  2021-02-26    2
26  2021-02-27    2
27  2021-02-28    0
28  2021-03-01    7
29  2021-03-02    4
30  2021-03-03    0
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07    2
35  2021-03-08    4
36  2021-03-09    7
37  2021-03-10    7
38  2021-03-11    9
39  2021-03-12    7
40  2021-03-13    4
41  2021-03-14    4
42  2021-03-15   12
43  2021-03-16    4
44  2021-03-17   17
45  2021-03-18   15
46  2021-03-19    9
47  2021-03-20   20
48  2021-03-21    7
49  2021-03-22   17
50  2021-03-23    2
51  2021-03-24    7
52  2021-03-25   14
53  2021-03-26    9
54  2021-03-27    7
55  2021-03-28   17
56  2021-03-29   25
57  2021-03-30    9
58  2021-03-31    7
59  2021-04-01    4
60  2021-04-02    0
61  2021-04-03    2
62  2021-04-04    2
63  2021-04-05    0
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09    2
68  2021-04-10    7
69  2021-04-11    0
70  2021-04-12    2
71  2021-04-13    7
72  2021-04-14    0
73  2021-04-15    2
74  2021-04-16    4
75  2021-04-17    4
76  2021-04-18    2
77  2021-04-19    0
78  2021-04-20    2
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27    2
86  2021-04-28    4
87  2021-04-29    4
88  2021-04-30   17
89  2021-05-01    9
90  2021-05-02    7
91  2021-05-03    9
92  2021-05-04   15
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    4
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  192
104 2021-05-16   12
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    0
108 2021-05-20   62
109 2021-05-21    9
110 2021-05-22    9
111 2021-05-23   32
112 2021-05-24   27
113 2021-05-25    7
114 2021-05-26    7
115 2021-05-27   15
116 2021-05-28    7
117 2021-05-29   20
118 2021-05-30    9
119 2021-05-31    4
120 2021-06-01    0
121 2021-06-02    0
122 2021-06-03    0
123 2021-06-04    2
124 2021-06-05    7
125 2021-06-06    2
126 2021-06-07   32
127 2021-06-08  117
128 2021-06-09   62
129 2021-06-10   25
130 2021-06-11  367
131 2021-06-12   44
132 2021-06-13   35
133 2021-06-14   25
134 2021-06-15   22
135 2021-06-16   22
136 2021-06-17    7
137 2021-06-18   15
138 2021-06-19   39
139 2021-06-20   39
140 2021-06-21   27
141 2021-06-22   17
142 2021-06-23   17
143 2021-06-24   35
144 2021-06-25   12
145 2021-06-26    9
146 2021-06-27    0
147 2021-06-28    4
148 2021-06-29    0
149 2021-06-30   20
150 2021-07-01    4
151 2021-07-02   47
152 2021-07-03   52
153 2021-07-04   62
154 2021-07-05   39
155 2021-07-06   37
156 2021-07-07    9
157 2021-07-08   12
158 2021-07-09   12
159 2021-07-10    9
160 2021-07-11   12
161 2021-07-12    7
162 2021-07-13    0
163 2021-07-14   20
164 2021-07-15    7
