          date data
0   2021-02-01    9
1   2021-02-02    4
2   2021-02-03    7
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    4
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    7
9   2021-02-10    9
10  2021-02-11   17
11  2021-02-12    7
12  2021-02-13    4
13  2021-02-14    4
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18    7
18  2021-02-19    2
19  2021-02-20   12
20  2021-02-21    9
21  2021-02-22    7
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    2
26  2021-02-27    2
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    7
30  2021-03-03    7
31  2021-03-04    0
32  2021-03-05    0
33  2021-03-06    7
34  2021-03-07    0
35  2021-03-08    0
36  2021-03-09    0
37  2021-03-10   25
38  2021-03-11    9
39  2021-03-12    4
40  2021-03-13   12
41  2021-03-14   12
42  2021-03-15    4
43  2021-03-16    9
44  2021-03-17    7
45  2021-03-18   12
46  2021-03-19    4
47  2021-03-20    9
48  2021-03-21   30
49  2021-03-22    4
50  2021-03-23   20
51  2021-03-24    2
52  2021-03-25    0
53  2021-03-26   15
54  2021-03-27    9
55  2021-03-28   15
56  2021-03-29   55
57  2021-03-30   17
58  2021-03-31    7
59  2021-04-01    4
60  2021-04-02    2
61  2021-04-03    4
62  2021-04-04   17
63  2021-04-05    2
64  2021-04-06    7
65  2021-04-07    0
66  2021-04-08    4
67  2021-04-09   15
68  2021-04-10   12
69  2021-04-11    7
70  2021-04-12    4
71  2021-04-13   20
72  2021-04-14   15
73  2021-04-15    2
74  2021-04-16    0
75  2021-04-17   12
76  2021-04-18   15
77  2021-04-19   15
78  2021-04-20    2
79  2021-04-21    0
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27    9
86  2021-04-28   20
87  2021-04-29   20
88  2021-04-30   17
89  2021-05-01   15
90  2021-05-02   17
91  2021-05-03   20
92  2021-05-04   35
93  2021-05-05    2
94  2021-05-06    4
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    4
98  2021-05-10    7
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  302
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   70
109 2021-05-21    9
110 2021-05-22   49
111 2021-05-23   60
112 2021-05-24   97
113 2021-05-25   35
114 2021-05-26   17
115 2021-05-27   15
116 2021-05-28   35
117 2021-05-29    7
118 2021-05-30   20
119 2021-05-31    4
120 2021-06-01    9
121 2021-06-02    2
122 2021-06-03    4
123 2021-06-04    9
124 2021-06-05   27
125 2021-06-06    9
126 2021-06-07   65
127 2021-06-08  329
128 2021-06-09  184
129 2021-06-10   65
130 2021-06-11  807
131 2021-06-12   87
132 2021-06-13   49
133 2021-06-14   35
134 2021-06-15   52
135 2021-06-16   52
136 2021-06-17   42
137 2021-06-18   52
138 2021-06-19   55
139 2021-06-20   65
140 2021-06-21   44
141 2021-06-22    9
142 2021-06-23   35
143 2021-06-24   87
144 2021-06-25   60
145 2021-06-26   17
146 2021-06-27    2
147 2021-06-28   15
148 2021-06-29   12
149 2021-06-30   12
150 2021-07-01   39
151 2021-07-02  135
152 2021-07-03   97
153 2021-07-04  142
154 2021-07-05   62
155 2021-07-06   87
156 2021-07-07   32
157 2021-07-08   30
158 2021-07-09   17
159 2021-07-10   17
160 2021-07-11   25
161 2021-07-12   27
162 2021-07-13    9
163 2021-07-14   15
164 2021-07-15    4
