          date data
0   2021-02-01    7
1   2021-02-02   30
2   2021-02-03    2
3   2021-02-04   14
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    7
9   2021-02-10    4
10  2021-02-11   25
11  2021-02-12   17
12  2021-02-13    4
13  2021-02-14    2
14  2021-02-15    4
15  2021-02-16    2
16  2021-02-17    2
17  2021-02-18   12
18  2021-02-19    4
19  2021-02-20   12
20  2021-02-21    4
21  2021-02-22   20
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    2
29  2021-03-02    2
30  2021-03-03    4
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    4
34  2021-03-07    4
35  2021-03-08    2
36  2021-03-09    7
37  2021-03-10    4
38  2021-03-11    4
39  2021-03-12    9
40  2021-03-13    9
41  2021-03-14   15
42  2021-03-15    4
43  2021-03-16    2
44  2021-03-17    7
45  2021-03-18   15
46  2021-03-19   27
47  2021-03-20   25
48  2021-03-21   22
49  2021-03-22   12
50  2021-03-23    7
51  2021-03-24    7
52  2021-03-25   14
53  2021-03-26   25
54  2021-03-27    2
55  2021-03-28    4
56  2021-03-29   12
57  2021-03-30   20
58  2021-03-31   15
59  2021-04-01   17
60  2021-04-02    7
61  2021-04-03    0
62  2021-04-04    2
63  2021-04-05    4
64  2021-04-06    7
65  2021-04-07    4
66  2021-04-08    2
67  2021-04-09    7
68  2021-04-10    4
69  2021-04-11   12
70  2021-04-12    9
71  2021-04-13    7
72  2021-04-14    4
73  2021-04-15    2
74  2021-04-16    0
75  2021-04-17    7
76  2021-04-18    0
77  2021-04-19    7
78  2021-04-20    2
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    2
84  2021-04-26    2
85  2021-04-27   12
86  2021-04-28   20
87  2021-04-29    7
88  2021-04-30   37
89  2021-05-01   22
90  2021-05-02    2
91  2021-05-03    9
92  2021-05-04   32
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  237
104 2021-05-16    4
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   79
109 2021-05-21    4
110 2021-05-22   27
111 2021-05-23   30
112 2021-05-24   27
113 2021-05-25   12
114 2021-05-26   17
115 2021-05-27    7
116 2021-05-28   12
117 2021-05-29   25
118 2021-05-30    7
119 2021-05-31    2
120 2021-06-01    2
121 2021-06-02    0
122 2021-06-03    2
123 2021-06-04    2
124 2021-06-05   15
125 2021-06-06   30
126 2021-06-07   55
127 2021-06-08  194
128 2021-06-09  102
129 2021-06-10   70
130 2021-06-11  465
131 2021-06-12   47
132 2021-06-13   55
133 2021-06-14   25
134 2021-06-15   30
135 2021-06-16   20
136 2021-06-17   15
137 2021-06-18   39
138 2021-06-19   37
139 2021-06-20   27
140 2021-06-21   32
141 2021-06-22   20
142 2021-06-23    7
143 2021-06-24   20
144 2021-06-25    4
145 2021-06-26    7
146 2021-06-27    4
147 2021-06-28   12
148 2021-06-29    2
149 2021-06-30    9
150 2021-07-01   22
151 2021-07-02   55
152 2021-07-03   85
153 2021-07-04   72
154 2021-07-05   55
155 2021-07-06   39
156 2021-07-07   22
157 2021-07-08    7
158 2021-07-09   20
159 2021-07-10   15
160 2021-07-11   12
161 2021-07-12   15
162 2021-07-13    4
163 2021-07-14    2
164 2021-07-15    9
