          date   data
0   2021-02-01    130
1   2021-02-02    739
2   2021-02-03    442
3   2021-02-04    224
4   2021-02-05     77
5   2021-02-06     32
6   2021-02-07     12
7   2021-02-08      7
8   2021-02-09    122
9   2021-02-10    350
10  2021-02-11    537
11  2021-02-12    297
12  2021-02-13     97
13  2021-02-14     35
14  2021-02-15     42
15  2021-02-16      4
16  2021-02-17     74
17  2021-02-18    262
18  2021-02-19    282
19  2021-02-20    397
20  2021-02-21    502
21  2021-02-22    467
22  2021-02-23    247
23  2021-02-24    105
24  2021-02-25     47
25  2021-02-26     65
26  2021-02-27    165
27  2021-02-28     57
28  2021-03-01    170
29  2021-03-02    159
30  2021-03-03    165
31  2021-03-04    119
32  2021-03-05    107
33  2021-03-06    142
34  2021-03-07    262
35  2021-03-08    202
36  2021-03-09    292
37  2021-03-10    897
38  2021-03-11    540
39  2021-03-12    385
40  2021-03-13    275
41  2021-03-14    617
42  2021-03-15    385
43  2021-03-16    290
44  2021-03-17    702
45  2021-03-18   1137
46  2021-03-19    797
47  2021-03-20    637
48  2021-03-21    637
49  2021-03-22    514
50  2021-03-23    634
51  2021-03-24    374
52  2021-03-25    898
53  2021-03-26    502
54  2021-03-27    512
55  2021-03-28    417
56  2021-03-29    580
57  2021-03-30    390
58  2021-03-31    559
59  2021-04-01    392
60  2021-04-02    417
61  2021-04-03    345
62  2021-04-04    282
63  2021-04-05    430
64  2021-04-06    392
65  2021-04-07    184
66  2021-04-08    199
67  2021-04-09    712
68  2021-04-10    400
69  2021-04-11    580
70  2021-04-12    535
71  2021-04-13    390
72  2021-04-14    229
73  2021-04-15    137
74  2021-04-16    232
75  2021-04-17    290
76  2021-04-18    245
77  2021-04-19    532
78  2021-04-20    332
79  2021-04-21    224
80  2021-04-22    192
81  2021-04-23     74
82  2021-04-24     20
83  2021-04-25     22
84  2021-04-26    177
85  2021-04-27    739
86  2021-04-28   1002
87  2021-04-29    645
88  2021-04-30   1354
89  2021-05-01    549
90  2021-05-02    452
91  2021-05-03    702
92  2021-05-04   1790
93  2021-05-05     20
94  2021-05-06     25
95  2021-05-07     25
96  2021-05-08     42
97  2021-05-09    127
98  2021-05-10     52
99  2021-05-11     25
100 2021-05-12     22
101 2021-05-13     65
102 2021-05-14    395
103 2021-05-15   9839
104 2021-05-16     67
105 2021-05-17     79
106 2021-05-18    117
107 2021-05-19    127
108 2021-05-20   3535
109 2021-05-21    849
110 2021-05-22    994
111 2021-05-23   2057
112 2021-05-24   2309
113 2021-05-25   1090
114 2021-05-26    624
115 2021-05-27   1077
116 2021-05-28    870
117 2021-05-29    857
118 2021-05-30    572
119 2021-05-31    592
120 2021-06-01    197
121 2021-06-02    239
122 2021-06-03    224
123 2021-06-04    269
124 2021-06-05    749
125 2021-06-06    530
126 2021-06-07   3264
127 2021-06-08  10399
128 2021-06-09   4289
129 2021-06-10   1915
130 2021-06-11  25364
131 2021-06-12   3212
132 2021-06-13   1764
133 2021-06-14   1612
134 2021-06-15   1357
135 2021-06-16   1757
136 2021-06-17   1222
137 2021-06-18   1609
138 2021-06-19   2097
139 2021-06-20   1970
140 2021-06-21   1522
141 2021-06-22   1020
142 2021-06-23   1197
143 2021-06-24   2665
144 2021-06-25   1024
145 2021-06-26    570
146 2021-06-27    360
147 2021-06-28    280
148 2021-06-29    235
149 2021-06-30    627
150 2021-07-01   1069
151 2021-07-02   3412
152 2021-07-03   4369
153 2021-07-04   4202
154 2021-07-05   2949
155 2021-07-06   2087
156 2021-07-07    942
157 2021-07-08    894
158 2021-07-09   1162
159 2021-07-10    832
160 2021-07-11    809
161 2021-07-12    960
162 2021-07-13    500
163 2021-07-14    392
164 2021-07-15    397
