          date  data
0   2021-02-01    77
1   2021-02-02   222
2   2021-02-03    92
3   2021-02-04    40
4   2021-02-05    20
5   2021-02-06     9
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    15
9   2021-02-10    97
10  2021-02-11   142
11  2021-02-12    92
12  2021-02-13    30
13  2021-02-14     0
14  2021-02-15     9
15  2021-02-16     7
16  2021-02-17    32
17  2021-02-18    89
18  2021-02-19    85
19  2021-02-20    82
20  2021-02-21   112
21  2021-02-22   105
22  2021-02-23    47
23  2021-02-24    20
24  2021-02-25    15
25  2021-02-26    20
26  2021-02-27    35
27  2021-02-28    22
28  2021-03-01    49
29  2021-03-02    39
30  2021-03-03    17
31  2021-03-04    25
32  2021-03-05    30
33  2021-03-06    20
34  2021-03-07    42
35  2021-03-08    67
36  2021-03-09   114
37  2021-03-10   222
38  2021-03-11    89
39  2021-03-12   107
40  2021-03-13    57
41  2021-03-14    87
42  2021-03-15    65
43  2021-03-16    67
44  2021-03-17   135
45  2021-03-18   197
46  2021-03-19   119
47  2021-03-20   140
48  2021-03-21   167
49  2021-03-22   102
50  2021-03-23   154
51  2021-03-24    85
52  2021-03-25   210
53  2021-03-26   145
54  2021-03-27   114
55  2021-03-28    87
56  2021-03-29   479
57  2021-03-30   252
58  2021-03-31   235
59  2021-04-01   132
60  2021-04-02    62
61  2021-04-03    49
62  2021-04-04    49
63  2021-04-05    57
64  2021-04-06    62
65  2021-04-07    27
66  2021-04-08    39
67  2021-04-09   105
68  2021-04-10   100
69  2021-04-11   135
70  2021-04-12   140
71  2021-04-13    72
72  2021-04-14    62
73  2021-04-15    35
74  2021-04-16    47
75  2021-04-17    47
76  2021-04-18    57
77  2021-04-19    79
78  2021-04-20    74
79  2021-04-21    22
80  2021-04-22    22
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    47
85  2021-04-27   217
86  2021-04-28   172
87  2021-04-29   229
88  2021-04-30   317
89  2021-05-01   167
90  2021-05-02   112
91  2021-05-03   180
92  2021-05-04   332
93  2021-05-05     7
94  2021-05-06     2
95  2021-05-07     7
96  2021-05-08    22
97  2021-05-09    12
98  2021-05-10     4
99  2021-05-11     7
100 2021-05-12     2
101 2021-05-13     7
102 2021-05-14    87
103 2021-05-15  2164
104 2021-05-16    15
105 2021-05-17     9
106 2021-05-18    20
107 2021-05-19    22
108 2021-05-20   497
109 2021-05-21   177
110 2021-05-22   149
111 2021-05-23   527
112 2021-05-24   460
113 2021-05-25   290
114 2021-05-26   199
115 2021-05-27   197
116 2021-05-28   162
117 2021-05-29   275
118 2021-05-30   132
119 2021-05-31   107
120 2021-06-01    52
121 2021-06-02    44
122 2021-06-03    57
123 2021-06-04    55
124 2021-06-05   207
125 2021-06-06   154
126 2021-06-07  1082
127 2021-06-08  3530
128 2021-06-09  1582
129 2021-06-10   577
130 2021-06-11  6402
131 2021-06-12   749
132 2021-06-13   530
133 2021-06-14   554
134 2021-06-15   447
135 2021-06-16   474
136 2021-06-17   320
137 2021-06-18   397
138 2021-06-19   457
139 2021-06-20   549
140 2021-06-21   402
141 2021-06-22   264
142 2021-06-23   312
143 2021-06-24   677
144 2021-06-25   239
145 2021-06-26   187
146 2021-06-27    60
147 2021-06-28    65
148 2021-06-29    74
149 2021-06-30   184
150 2021-07-01   437
151 2021-07-02   882
152 2021-07-03  1117
153 2021-07-04  1190
154 2021-07-05   685
155 2021-07-06   510
156 2021-07-07   304
157 2021-07-08   290
158 2021-07-09   345
159 2021-07-10   210
160 2021-07-11   257
161 2021-07-12   247
162 2021-07-13   194
163 2021-07-14   145
164 2021-07-15   147
