          date  data
0   2021-02-01    42
1   2021-02-02    55
2   2021-02-03    44
3   2021-02-04    14
4   2021-02-05    25
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     7
9   2021-02-10    47
10  2021-02-11    72
11  2021-02-12    60
12  2021-02-13    22
13  2021-02-14     9
14  2021-02-15     4
15  2021-02-16     7
16  2021-02-17    39
17  2021-02-18    32
18  2021-02-19    55
19  2021-02-20    37
20  2021-02-21    35
21  2021-02-22    37
22  2021-02-23    30
23  2021-02-24    12
24  2021-02-25    12
25  2021-02-26     7
26  2021-02-27    22
27  2021-02-28     7
28  2021-03-01    22
29  2021-03-02     9
30  2021-03-03    12
31  2021-03-04    17
32  2021-03-05     9
33  2021-03-06     7
34  2021-03-07    32
35  2021-03-08    15
36  2021-03-09    65
37  2021-03-10   105
38  2021-03-11    39
39  2021-03-12    70
40  2021-03-13    57
41  2021-03-14    87
42  2021-03-15    62
43  2021-03-16    42
44  2021-03-17   105
45  2021-03-18   102
46  2021-03-19    74
47  2021-03-20    82
48  2021-03-21   114
49  2021-03-22    97
50  2021-03-23    95
51  2021-03-24    60
52  2021-03-25    60
53  2021-03-26    62
54  2021-03-27    67
55  2021-03-28    62
56  2021-03-29   264
57  2021-03-30   109
58  2021-03-31   117
59  2021-04-01    77
60  2021-04-02    67
61  2021-04-03    52
62  2021-04-04    52
63  2021-04-05    92
64  2021-04-06    72
65  2021-04-07    25
66  2021-04-08    25
67  2021-04-09    82
68  2021-04-10    77
69  2021-04-11    87
70  2021-04-12    82
71  2021-04-13    60
72  2021-04-14    32
73  2021-04-15    30
74  2021-04-16    39
75  2021-04-17    27
76  2021-04-18    55
77  2021-04-19    49
78  2021-04-20    32
79  2021-04-21    20
80  2021-04-22    15
81  2021-04-23     7
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    67
85  2021-04-27   184
86  2021-04-28   172
87  2021-04-29   159
88  2021-04-30   267
89  2021-05-01   107
90  2021-05-02   107
91  2021-05-03   145
92  2021-05-04   272
93  2021-05-05     7
94  2021-05-06     7
95  2021-05-07     4
96  2021-05-08    20
97  2021-05-09    17
98  2021-05-10     9
99  2021-05-11    12
100 2021-05-12     7
101 2021-05-13     2
102 2021-05-14    32
103 2021-05-15  1342
104 2021-05-16     7
105 2021-05-17     2
106 2021-05-18     9
107 2021-05-19     4
108 2021-05-20   460
109 2021-05-21   137
110 2021-05-22   157
111 2021-05-23   299
112 2021-05-24   287
113 2021-05-25   149
114 2021-05-26   119
115 2021-05-27   162
116 2021-05-28   177
117 2021-05-29   132
118 2021-05-30    87
119 2021-05-31    70
120 2021-06-01    32
121 2021-06-02    39
122 2021-06-03    42
123 2021-06-04    47
124 2021-06-05   102
125 2021-06-06   149
126 2021-06-07   997
127 2021-06-08  2824
128 2021-06-09  1122
129 2021-06-10   472
130 2021-06-11  3650
131 2021-06-12   489
132 2021-06-13   404
133 2021-06-14   352
134 2021-06-15   267
135 2021-06-16   337
136 2021-06-17   257
137 2021-06-18   252
138 2021-06-19   392
139 2021-06-20   392
140 2021-06-21   257
141 2021-06-22   257
142 2021-06-23   215
143 2021-06-24   477
144 2021-06-25   187
145 2021-06-26   102
146 2021-06-27    49
147 2021-06-28    42
148 2021-06-29    39
149 2021-06-30   114
150 2021-07-01   247
151 2021-07-02   462
152 2021-07-03   725
153 2021-07-04   889
154 2021-07-05   489
155 2021-07-06   322
156 2021-07-07   119
157 2021-07-08   159
158 2021-07-09   217
159 2021-07-10   147
160 2021-07-11   172
161 2021-07-12   175
162 2021-07-13   119
163 2021-07-14    79
164 2021-07-15    57
